,ATP5L (10632)
ACH-000004,-0.605835220322
ACH-000007,-0.604769367403
ACH-000009,-0.438241987672
ACH-000011,-0.26678577694
ACH-000012,-0.430518831479
ACH-000013,-0.878329009501
ACH-000014,-0.47628480461499995
ACH-000015,-0.565853617517
ACH-000017,-0.38367744881399996
ACH-000018,-0.586598962649
ACH-000019,-0.44050385540799997
ACH-000021,-0.467520455198
ACH-000022,-0.501122164564
ACH-000025,-0.36080325192
ACH-000028,-0.588391047972
ACH-000030,-0.37854242625600004
ACH-000035,-0.566954080535
ACH-000036,-0.17355732479400002
ACH-000037,-0.496715363697
ACH-000039,-0.542755893559
ACH-000040,-0.306116953079
ACH-000041,-0.505199145818
ACH-000042,-0.314730174303
ACH-000045,-0.29875915253400004
ACH-000047,-0.530977602873
ACH-000052,-0.332261988503
ACH-000053,-0.597578512446
ACH-000054,-0.518029801395
ACH-000055,-0.40235139043300006
ACH-000060,-0.5401111832909999
ACH-000067,-0.265423096237
ACH-000070,-0.6910718165209999
ACH-000075,-0.705777383245
ACH-000078,-0.403082531251
ACH-000082,-0.573905717695
ACH-000085,-0.352008527686
ACH-000086,-0.6101770484669999
ACH-000087,-0.608487904396
ACH-000092,-0.479363794093
ACH-000095,-0.318993782015
ACH-000097,-0.638446670129
ACH-000098,-0.39591030505400004
ACH-000099,-0.537596449856
ACH-000108,-0.552123745093
ACH-000113,-0.429658115577
ACH-000115,-0.474696989256
ACH-000116,-0.698302631389
ACH-000118,-0.902795351582
ACH-000120,-0.630743241485
ACH-000123,-0.423687107265
ACH-000127,-0.391918181268
ACH-000128,-0.668053251875
ACH-000132,-0.583104256846
ACH-000133,-0.509946153538
ACH-000137,-0.48087196360699996
ACH-000138,-0.504652071823
ACH-000142,-0.380263826001
ACH-000143,-0.5036579473430001
ACH-000146,-0.316921170002
ACH-000148,-0.475052439396
ACH-000150,-0.782170132916
ACH-000152,-0.742100236003
ACH-000153,-0.370696251276
ACH-000159,-0.264586159052
ACH-000160,-0.866657440812
ACH-000163,-0.328083816964
ACH-000167,-0.636902303697
ACH-000168,-0.465695203504
ACH-000169,-0.649355387256
ACH-000178,-0.469795790942
ACH-000182,-0.583381924632
ACH-000183,-0.590270166251
ACH-000188,-0.6171656843760001
ACH-000189,-0.836008762347
ACH-000190,-0.477476319076
ACH-000198,-0.627453743916
ACH-000204,-0.37858125212300003
ACH-000206,-0.72486653807
ACH-000207,-0.653942405258
ACH-000211,-0.6041455466610001
ACH-000215,-0.54423553688
ACH-000221,-0.6492771880179999
ACH-000222,-0.444263591273
ACH-000223,-0.608816656113
ACH-000226,-0.213735958191
ACH-000227,-0.733631897712
ACH-000228,-0.674539851198
ACH-000231,-0.292157979661
ACH-000232,-0.583254752851
ACH-000233,-0.37899136428499997
ACH-000234,-0.35290149748300004
ACH-000235,-0.351333617434
ACH-000237,-0.14236727308
ACH-000238,-0.364093773106
ACH-000243,-0.38200828649499996
ACH-000244,-0.378501665529
ACH-000246,-0.6052855100069999
ACH-000248,-0.445262739504
ACH-000250,-0.325208507014
ACH-000251,-0.297139373349
ACH-000253,-0.288534839424
ACH-000255,-0.534906264631
ACH-000256,-0.5019620105529999
ACH-000257,-0.733868493531
ACH-000258,-0.5874239861330001
ACH-000259,-0.951416014221
ACH-000260,-0.34467386218699997
ACH-000261,-0.44128440186499995
ACH-000262,-0.695861267931
ACH-000263,-0.5053669927359999
ACH-000264,-0.57162541567
ACH-000265,-0.6757530594560001
ACH-000266,-0.315264240753
ACH-000272,-0.399141465707
ACH-000273,-0.516279707252
ACH-000274,-0.5701585350639999
ACH-000277,-0.780219756077
ACH-000278,-0.515419449795
ACH-000279,-0.521776905978
ACH-000280,-0.767137542896
ACH-000281,-0.35866746755
ACH-000288,-0.58801194263
ACH-000291,-0.42922836847400003
ACH-000293,-0.8701324584260001
ACH-000294,-0.221898442346
ACH-000295,-0.43012995203000004
ACH-000296,-0.412217747813
ACH-000302,-0.37452410102300004
ACH-000304,-0.542652043781
ACH-000307,-0.24110093376
ACH-000308,-0.542236990173
ACH-000310,-0.634273201757
ACH-000311,-0.581727352744
ACH-000312,-0.558424950983
ACH-000315,-0.6293491093169999
ACH-000316,-0.618382104762
ACH-000317,-0.7535908739309999
ACH-000318,-0.653744038781
ACH-000319,-0.502385749473
ACH-000320,-0.567810136228
ACH-000322,-0.722014882111
ACH-000323,-0.294584933437
ACH-000324,-0.27527542732
ACH-000329,-0.6056270738530001
ACH-000330,-0.543285827575
ACH-000331,-0.6206322995019999
ACH-000332,-0.487786605584
ACH-000334,-0.525233479949
ACH-000335,-0.610480608093
ACH-000336,-0.5158594852139999
ACH-000337,0.00149465843705
ACH-000339,-0.304862586298
ACH-000341,-0.09660802519169999
ACH-000348,-0.45479338324699997
ACH-000350,-0.404540042932
ACH-000352,-0.5568881913889999
ACH-000356,-0.458289600897
ACH-000361,-0.466450924572
ACH-000362,-0.5059335746670001
ACH-000363,-0.66185687896
ACH-000364,-0.643822730333
ACH-000365,-0.532674575143
ACH-000366,-0.5381289515259999
ACH-000368,-0.520238262835
ACH-000374,-0.843923419504
ACH-000375,-0.550909114407
ACH-000376,-0.552566364768
ACH-000381,-0.269157228
ACH-000383,-0.371155557121
ACH-000387,-0.265661152066
ACH-000389,-0.18861152959199998
ACH-000390,-0.218812886469
ACH-000393,-0.414282846515
ACH-000395,-0.24667985391
ACH-000397,-0.311419310328
ACH-000401,-0.331201004724
ACH-000402,-0.425477065444
ACH-000403,-0.410512716166
ACH-000404,-0.276297927352
ACH-000406,-0.631783618454
ACH-000407,-0.463179126402
ACH-000408,-0.836977447306
ACH-000410,-0.576046752714
ACH-000411,-0.549994034345
ACH-000414,-0.6771932560609999
ACH-000415,-0.579978353363
ACH-000416,-0.31150442761
ACH-000420,-0.313453327028
ACH-000421,-0.31840517280499997
ACH-000424,-0.820792516769
ACH-000425,-0.380541263292
ACH-000426,-0.400396206854
ACH-000427,-0.6637482506360001
ACH-000433,-0.5851623284309999
ACH-000436,-0.459949644543
ACH-000444,-0.506058107326
ACH-000445,-0.41301379778499997
ACH-000448,-0.55428261273
ACH-000450,-0.5084729736770001
ACH-000452,-0.428681300792
ACH-000454,-0.253777705202
ACH-000458,-0.326453008639
ACH-000459,-0.824267408004
ACH-000460,-0.42502911433300006
ACH-000461,-0.48232525665299997
ACH-000463,-0.517813316594
ACH-000464,-0.628856301608
ACH-000466,-0.6769844583779999
ACH-000467,-0.41153000621200003
ACH-000468,-0.468696247508
ACH-000469,-0.609950895306
ACH-000470,-0.43323022417199997
ACH-000471,-0.436502160444
ACH-000472,-0.34421999098899997
ACH-000473,-0.53905436957
ACH-000475,-0.607884448151
ACH-000476,-0.593520240219
ACH-000477,-0.584314914633
ACH-000480,-0.9691193470280001
ACH-000481,-0.194466287895
ACH-000483,-0.6836548816179999
ACH-000484,-0.399862509933
ACH-000485,-0.281602687623
ACH-000486,-0.624689123425
ACH-000487,-0.37533201883100004
ACH-000488,-0.651616225179
ACH-000490,-0.5076110007769999
ACH-000491,-0.63243226215
ACH-000495,-0.18901726248
ACH-000496,-0.296823106251
ACH-000499,-0.33383268035999997
ACH-000500,0.13367564264100001
ACH-000502,-0.524677203842
ACH-000503,-0.20492458115200002
ACH-000505,-0.37776451574299996
ACH-000507,-0.225084551478
ACH-000510,-0.430106059077
