,BTG2 (7832)
ACH-000004,0.320675905263
ACH-000007,0.133383047572
ACH-000009,-0.014875483003200001
ACH-000011,-0.216744993763
ACH-000012,-0.173332823075
ACH-000013,-0.012046146838
ACH-000014,-0.216085215807
ACH-000015,-0.0583879812787
ACH-000017,-0.26549430933400003
ACH-000018,-0.13924247920399999
ACH-000019,-0.567780635246
ACH-000021,-0.20299455210700001
ACH-000022,0.019754060366499997
ACH-000025,-0.0486158846464
ACH-000028,-0.21772716329300001
ACH-000030,-0.024412870410400002
ACH-000035,0.0135024050049
ACH-000036,-0.06630198766130001
ACH-000037,0.0763143369872
ACH-000039,-0.11698202797900001
ACH-000040,-0.15134363572
ACH-000041,-0.19950367020799997
ACH-000042,-0.10750740309699999
ACH-000045,0.0670295093992
ACH-000047,-0.189066927728
ACH-000052,-0.135898332373
ACH-000053,-0.13917590719200001
ACH-000054,-0.14457570526
ACH-000055,-0.0600300578495
ACH-000060,-0.137409459547
ACH-000067,-0.229035420612
ACH-000070,-0.14404950275
ACH-000075,0.243900508424
ACH-000078,0.09376081064539998
ACH-000082,-0.0359823888496
ACH-000085,-0.0313271980455
ACH-000086,-0.188987790922
ACH-000087,-0.174751759917
ACH-000092,-0.20161237154300002
ACH-000095,-0.060374802339699996
ACH-000097,-0.22933387907900002
ACH-000098,0.021368699544500002
ACH-000099,-0.0438688160159
ACH-000108,-0.0687267691452
ACH-000113,-0.170468606384
ACH-000115,0.111402800302
ACH-000116,0.0023296419361300003
ACH-000118,-0.0918243451896
ACH-000120,0.006195149026350001
ACH-000123,-0.103058815878
ACH-000127,0.029121818033500002
ACH-000128,0.166722197917
ACH-000132,-0.064234893986
ACH-000133,-0.15574222305299998
ACH-000137,0.12345124886499999
ACH-000138,-0.106807671515
ACH-000142,-0.026919510427599998
ACH-000143,0.0915961736663
ACH-000146,-0.142525712365
ACH-000148,-0.16977499167100002
ACH-000150,0.00248826103797
ACH-000152,-0.121117464463
ACH-000153,0.0163194127784
ACH-000159,-0.116272491884
ACH-000160,-0.28132744412300004
ACH-000163,-0.03993606572530001
ACH-000167,-0.0643134577434
ACH-000168,0.102597224829
ACH-000169,-0.0660209418652
ACH-000178,-0.115478195009
ACH-000182,0.0411219097374
ACH-000183,0.00942627500793
ACH-000188,-0.209234111205
ACH-000189,-0.319415949049
ACH-000190,-0.0323661202705
ACH-000198,-0.044439312462599995
ACH-000204,-0.0009377807280569999
ACH-000206,-0.320978350638
ACH-000207,0.150622935117
ACH-000211,0.0135842021937
ACH-000215,-0.0360654671944
ACH-000221,-0.10111893389900001
ACH-000222,-0.14264191788799999
ACH-000223,-0.14526883465999998
ACH-000226,-0.431809291313
ACH-000227,0.0185780860621
ACH-000228,-0.09580891006000002
ACH-000231,-0.0151060248854
ACH-000232,0.155409158118
ACH-000233,-0.199282219362
ACH-000234,-0.10533896762
ACH-000235,-0.159943362193
ACH-000237,-0.15836179095
ACH-000238,-0.155770209537
ACH-000243,-0.0383489621044
ACH-000244,-0.274201379347
ACH-000246,-0.170444581065
ACH-000248,-0.020564835273
ACH-000250,-0.0110352428515
ACH-000251,0.20891720273699999
ACH-000253,0.058725973852000006
ACH-000255,-0.15003910658199998
ACH-000256,-0.027115727755400002
ACH-000257,-0.298164031505
ACH-000258,-0.575744827237
ACH-000259,-0.0681777096119
ACH-000260,-0.169994956728
ACH-000261,-0.0428719379601
ACH-000262,0.09860059730170001
ACH-000263,-0.15632000987400002
ACH-000264,-0.008158526620520001
ACH-000265,-0.106975034573
ACH-000266,0.0431969134966
ACH-000272,-0.0876521697064
ACH-000273,-0.04711269572480001
ACH-000274,-0.117369648799
ACH-000277,-0.176495337288
ACH-000278,-0.0423988275944
