,NCDN (23154)
ACH-000004,-0.438616638671
ACH-000007,0.0269635837067
ACH-000009,-0.28640146885400003
ACH-000011,-0.00721638906786
ACH-000012,-0.18983344679699998
ACH-000013,-0.22797799339000002
ACH-000014,-0.43465052886999994
ACH-000015,-0.324264685004
ACH-000017,-0.353851000189
ACH-000018,-0.205325591233
ACH-000019,-0.156307749184
ACH-000021,-0.126833450963
ACH-000022,-0.12149930451199999
ACH-000025,-0.238780525277
ACH-000028,-0.21043448978300003
ACH-000030,-0.0821439457682
ACH-000035,-0.350032437541
ACH-000036,-0.254718883273
ACH-000037,-0.13869725487
ACH-000039,-0.0866627256165
ACH-000040,-0.314749314492
ACH-000041,-0.06019364186869999
ACH-000042,-0.329838352461
ACH-000045,-0.055292462075899995
ACH-000047,-0.151798063431
ACH-000052,-0.327192051598
ACH-000053,-0.41115652426700006
ACH-000054,-0.132339809966
ACH-000055,-0.457692201246
ACH-000060,-0.503501304718
ACH-000067,-0.304402668989
ACH-000070,-0.0499982410895
ACH-000075,-0.184208014451
ACH-000078,-0.0226204864662
ACH-000082,-0.5980070796060001
ACH-000085,0.0366657251717
ACH-000086,-0.100163555639
ACH-000087,0.17523668881299997
ACH-000092,-0.191940135387
ACH-000095,-0.151366885423
ACH-000097,-0.11180043249399998
ACH-000098,-0.10737589426699999
ACH-000099,0.00728060573218
ACH-000108,-0.299447783841
ACH-000113,-0.155291555882
ACH-000115,-0.195834055024
ACH-000116,-0.208178117082
ACH-000118,-0.28954374737
ACH-000120,0.045252947335900004
ACH-000123,-0.225318123041
ACH-000127,-0.0536122948992
ACH-000128,-0.0945388792175
ACH-000132,-0.20969956818100002
ACH-000133,-0.24379529871599998
ACH-000137,-0.0767467759574
ACH-000138,-0.175299070185
ACH-000142,-0.484461077108
ACH-000143,-0.52553738889
ACH-000146,-0.122647956592
ACH-000148,-0.351962247839
ACH-000150,-0.417827641603
ACH-000152,-0.262319685596
ACH-000153,-0.0930084281842
ACH-000159,-0.09276906742589999
ACH-000160,-0.145056996377
ACH-000163,-0.20719545859400001
ACH-000167,-0.474974772084
ACH-000168,0.0227126315704
ACH-000169,-0.19862467398800002
ACH-000178,-0.205337036168
ACH-000182,-0.125440335286
ACH-000183,-0.8369016221690001
ACH-000188,-0.433304363139
ACH-000189,-0.28920140324099997
ACH-000190,-0.0448050375962
ACH-000198,-0.726792433352
ACH-000204,-0.38166064296999996
ACH-000206,-0.271466028302
ACH-000207,0.0909753804092
ACH-000211,0.0333950345036
ACH-000215,-0.27110366782699996
ACH-000221,-0.0100256557307
ACH-000222,-0.024170957749900003
ACH-000223,-0.17891311054
ACH-000226,-0.288417932504
ACH-000227,-0.30479505609700003
ACH-000228,-0.32090299805100003
ACH-000231,-0.153327352698
ACH-000232,-0.211863983457
ACH-000233,0.0171610011873
ACH-000234,-0.101621842853
ACH-000235,-0.27805655960000003
ACH-000237,-0.149238678884
ACH-000238,-0.370656344525
ACH-000243,-0.164818511107
ACH-000244,-0.0122876043991
ACH-000246,-0.208526830897
ACH-000248,-0.164705834766
ACH-000250,-0.320283858636
ACH-000251,-0.35776241478500004
ACH-000253,-0.08918845717280001
ACH-000255,-0.063502707168
ACH-000256,-0.15493602832599998
ACH-000257,-0.141707091668
ACH-000258,-0.35121092502499995
ACH-000259,-0.144430021224
ACH-000260,-0.718090059903
ACH-000261,-0.0863342768144
ACH-000262,-0.217590626911
ACH-000263,-0.041713878278
ACH-000264,-0.0894480850801
ACH-000265,-0.230329276934
ACH-000266,-0.199008555398
ACH-000272,-0.178151236754
ACH-000273,-0.114158989907
ACH-000274,-0.3249057939
ACH-000277,-0.176003279515
ACH-000278,-0.325794652563
ACH-000279,-0.13269933609200002
ACH-000280,-0.318264700467
ACH-000281,-0.21545463340100002
ACH-000288,-0.322279391746
ACH-000291,-0.221372613256
ACH-000293,-0.31101021998100004
ACH-000294,-0.182460793886
ACH-000295,-0.484142099582
ACH-000296,-0.258681804308
ACH-000302,-0.175347551965
ACH-000304,-0.251164419843
ACH-000307,-0.238260482327
ACH-000308,-0.048307971394999996
ACH-000310,-0.100643631253
ACH-000311,-0.091818122751
ACH-000312,-0.245527947064
ACH-000315,-0.241334598932
ACH-000316,-0.0937297131397
ACH-000317,-0.373921874587
ACH-000318,-0.162555883343
ACH-000319,-0.244817136817
ACH-000320,-0.28787001361
ACH-000322,-0.178290540168
ACH-000323,-0.0991432305324
ACH-000324,-0.25650651017299997
ACH-000329,-0.492826700892
ACH-000330,-0.29454852485399996
ACH-000331,-0.0299267998529
ACH-000332,-0.0386907724423
ACH-000334,-0.307722083837
ACH-000335,-0.148875646527
ACH-000336,-0.411615022517
ACH-000337,-0.103625762843
ACH-000339,-0.0872056817276
ACH-000341,-0.251959240726
ACH-000348,-0.184275989801
ACH-000350,-0.168137360817
ACH-000352,-0.130447989568
ACH-000356,-0.27383635475
ACH-000361,-0.17580528385000002
ACH-000362,-0.09611307759299999
ACH-000363,-0.227769415005
ACH-000364,-0.376291494948
ACH-000365,-0.213910829283
ACH-000366,-0.26950628768
ACH-000368,-0.165267185319
ACH-000374,-0.208903607945
ACH-000375,-0.36162448405299996
ACH-000376,-0.234686116739
ACH-000381,-0.184985715593
ACH-000383,-0.47034875654700004
ACH-000387,-0.287660501548
ACH-000389,-0.197963054417
ACH-000390,-0.154146849648
ACH-000393,-0.115615570203
ACH-000395,-0.171000697898
ACH-000397,-0.132598800965
ACH-000401,-0.0267532295603
ACH-000402,-0.520184891812
ACH-000403,-0.199750239665
ACH-000404,0.014263139682
ACH-000406,-0.151361531725
ACH-000407,-0.45880216752700004
ACH-000408,-0.157300043452
ACH-000410,-0.0366262365037
ACH-000411,-0.317092321888
ACH-000414,-0.19183736586199998
ACH-000415,-0.319114706453
ACH-000416,-0.07584975075289999
ACH-000420,-0.22099081800099998
ACH-000421,-0.155242639479
ACH-000424,-0.063629303592
ACH-000425,-0.146341487695
ACH-000426,-0.257966068342
ACH-000427,-0.239226274109
ACH-000433,-0.42402425906999996
ACH-000436,-0.165251874946
ACH-000444,-0.06181300061700001
ACH-000445,-0.7336920926360001
ACH-000448,-0.151934161716
ACH-000450,0.0333396918918
ACH-000452,-0.09473478159269999
ACH-000454,-0.144347804274
ACH-000458,-0.15501657457499998
ACH-000459,-0.552734524021
ACH-000460,-0.284316079447
ACH-000461,-0.24418041548500002
ACH-000463,-0.0843330839377
ACH-000464,-0.341329297926
ACH-000466,-0.160035345746
ACH-000467,-0.205522660599
ACH-000468,-0.385424763406
ACH-000469,-0.250538799348
ACH-000470,-0.132543526589
ACH-000471,-0.09212817215199999
ACH-000472,-0.126674354223
ACH-000473,-0.343439527164
ACH-000475,-0.112471270992
ACH-000476,-0.027504321357400004
