,IRAK1BP1 (134728)
ACH-000004,-0.27311048755399997
ACH-000007,-0.190252440508
ACH-000009,0.12523356487099999
ACH-000011,-0.113217533102
ACH-000012,-0.0989846829059
ACH-000013,-0.145232577748
ACH-000014,-0.169198740534
ACH-000015,-0.157009882066
ACH-000017,-0.0482274876248
ACH-000018,-0.268760888381
ACH-000019,-0.00022348872417400002
ACH-000021,-0.305022092469
ACH-000022,-0.196169530303
ACH-000025,-0.221651613285
ACH-000028,-0.020591118545799997
ACH-000030,-0.16802486362799998
ACH-000035,0.0835783750068
ACH-000036,-0.137230323082
ACH-000037,0.0578946136135
ACH-000039,-0.370007007994
ACH-000040,0.0291199443609
ACH-000041,-0.46373003815700004
ACH-000042,-0.10757972645099999
ACH-000045,0.0192444953879
ACH-000047,-0.155980827632
ACH-000052,0.08052734717969999
ACH-000053,0.010437923127
ACH-000054,-0.10081412644099999
ACH-000055,-0.0754876110424
ACH-000060,-0.161587020222
ACH-000067,-0.04089744753980001
ACH-000070,-0.37920610719000003
ACH-000075,-0.190150173398
ACH-000078,-0.054637677521
ACH-000082,-0.11682105544600001
ACH-000085,-0.149453873293
ACH-000086,-0.119695559743
ACH-000087,-0.400941503737
ACH-000092,-0.20699778776500002
ACH-000095,-0.271797055439
ACH-000097,-0.029814485483800002
ACH-000098,-0.050197428642999996
ACH-000099,-0.0624856345595
ACH-000108,0.0842614777905
ACH-000113,-0.0434324427877
ACH-000115,0.251745747528
ACH-000116,-0.007917803568470001
ACH-000118,-0.0697915391977
ACH-000120,0.00337517051607
ACH-000123,0.029550174887599995
ACH-000127,-0.105439989093
ACH-000128,-0.027615645050099998
ACH-000132,-0.199326849292
ACH-000133,-0.239348166869
ACH-000137,-0.215633175169
ACH-000138,-0.0173986309792
ACH-000142,-0.19206159378899998
ACH-000143,-0.161154144509
ACH-000146,-0.09934176644439999
ACH-000148,-0.19094552113699997
ACH-000150,-0.184606539591
ACH-000152,0.0583818570796
ACH-000153,0.15398051262499998
ACH-000159,-0.048725746730699994
ACH-000160,-0.133516415508
ACH-000163,0.130595102575
ACH-000167,-0.12285242615900001
ACH-000168,0.0797345735947
ACH-000169,-0.0544920043381
ACH-000178,-0.0037973358474200003
ACH-000182,-0.0512837958385
ACH-000183,0.101358517732
ACH-000188,-0.024987880687500002
ACH-000189,-0.45824394538400004
ACH-000190,0.0382993342484
ACH-000198,-0.0179543434269
ACH-000204,0.19224368592799998
ACH-000206,-0.597629886333
ACH-000207,-0.0015204936841100001
ACH-000211,-0.240434692416
ACH-000215,0.053837822478199994
ACH-000221,-0.100253926733
ACH-000222,-0.205476321831
ACH-000223,-0.155694207868
ACH-000226,-0.09394421148019999
ACH-000227,-0.055055781627000006
ACH-000228,0.0157032238808
ACH-000231,-0.267247201931
ACH-000232,-0.196252561908
ACH-000233,-0.0395427725058
ACH-000234,0.185606210075
ACH-000235,-0.24352879681200001
ACH-000237,-0.0956381663841
ACH-000238,-0.047678103049400004
ACH-000243,-0.06441538689989999
ACH-000244,0.277898540758
ACH-000246,-0.170180486615
ACH-000248,0.108343007697
ACH-000250,-0.035622206874300004
ACH-000251,0.0267443380375
ACH-000253,0.0463740915654
