,NFYA (4800)
ACH-000004,-0.398352174242
ACH-000007,-0.7827333004899999
ACH-000009,-0.179427847299
ACH-000011,-0.25494157042800003
ACH-000012,-0.471597910713
ACH-000013,-0.350514866188
ACH-000014,-0.511071895129
ACH-000015,-0.436794865605
ACH-000017,-0.595158230331
ACH-000018,-0.341727708209
ACH-000019,-0.504428835334
ACH-000021,-0.126842938148
ACH-000022,-0.45393032416
ACH-000025,-0.277479035396
ACH-000028,-0.422353922087
ACH-000030,-0.39723413631300003
ACH-000035,-0.504505873909
ACH-000036,-0.14417809291099998
ACH-000037,-0.210803939976
ACH-000039,-0.219375262138
ACH-000040,-0.477919516651
ACH-000041,-0.34494777337899996
ACH-000042,-0.389918273313
ACH-000045,-0.62723424209
ACH-000047,-0.345347847813
ACH-000052,-0.706958502408
ACH-000053,-0.408089390687
ACH-000054,-0.5987757921760001
ACH-000055,-0.1187417181
ACH-000060,-0.212929410496
ACH-000067,-0.34094287825499997
ACH-000070,-0.572336552153
ACH-000075,-0.42533519342500004
ACH-000078,-0.356685395154
ACH-000082,-0.550784528943
ACH-000085,-0.397507063502
ACH-000086,-0.483855839774
ACH-000087,-0.324169151219
ACH-000092,-0.255964617786
ACH-000095,-0.454217959625
ACH-000097,-0.5573896118689999
ACH-000098,-0.296078621898
ACH-000099,-0.350162214704
ACH-000108,-0.6259496735260001
ACH-000113,-0.30126377863000003
ACH-000115,-0.396066867314
ACH-000116,-0.309043271739
ACH-000118,-0.820203342888
ACH-000120,-0.5301973173619999
ACH-000123,-0.623284973402
ACH-000127,-0.482030566431
ACH-000128,-0.533636026322
ACH-000132,-0.365563944784
ACH-000133,-0.130911528313
ACH-000137,-0.566106619896
ACH-000138,-0.39348402493900003
ACH-000142,-0.248857008228
ACH-000143,-0.254348012866
ACH-000146,-0.365597214419
ACH-000148,-0.20153489875999997
ACH-000150,-0.298659871081
ACH-000152,-0.357593949763
ACH-000153,-0.346848313241
ACH-000159,-0.42772862159599995
ACH-000160,0.20204715458500003
ACH-000163,-0.15023145126499998
ACH-000167,-0.0342042667678
ACH-000168,-0.179097089871
ACH-000169,-0.422899206883
ACH-000178,-0.48451884807499995
ACH-000182,-0.34621565412
ACH-000183,-0.38117948844800004
ACH-000188,-0.18155076733199998
ACH-000189,-0.263949697839
ACH-000190,-0.028466687078200003
ACH-000198,-0.40827726351
ACH-000204,-0.22827530371899998
ACH-000206,-0.303137597529
ACH-000207,-0.36679385838899997
ACH-000211,-0.29551418407900004
ACH-000215,0.020488415156900003
ACH-000221,-0.434758924431
ACH-000222,-0.387521890943
ACH-000223,-0.216400052519
ACH-000226,-0.28445006359499997
ACH-000227,-0.358244129933
ACH-000228,-0.573112616734
ACH-000231,-0.251141620591
ACH-000232,-0.18358772061999998
ACH-000233,-0.227308013019
ACH-000234,-0.15570307935900002
ACH-000235,-0.45059079118100004
ACH-000237,-0.329345542475
ACH-000238,-0.24221294090300002
ACH-000243,-0.43547616217699997
ACH-000244,-0.556819864161
ACH-000246,-0.508398112771
ACH-000248,-0.620874039911
ACH-000250,-0.22760865255600002
ACH-000251,-0.13582743472
ACH-000253,-0.277213070226
ACH-000255,-0.417152861509
ACH-000256,-0.18323651153999998
ACH-000257,-0.551539359827
ACH-000258,-1.11886720228
ACH-000259,-0.44706234832099995
ACH-000260,-0.327790793303
ACH-000261,-0.48477019390799997
ACH-000262,-0.126387298024
ACH-000263,-0.48510990587999997
ACH-000264,-0.565965464375
ACH-000265,-0.585998510619
ACH-000266,-0.307564063998
ACH-000272,-0.277573893012
ACH-000273,-0.30107422196
ACH-000274,-0.20389782754799998
ACH-000277,-0.35064747019000003
ACH-000278,-0.148178962423
ACH-000279,-0.162744302712
ACH-000280,-0.224694271961
ACH-000281,-0.0351318783211
ACH-000288,-0.064359121639
ACH-000291,-0.547002106815
ACH-000293,-0.419487021365
ACH-000294,-0.3080031077
ACH-000295,-0.288726243193
ACH-000296,-0.200296021678
ACH-000302,-0.342119063252
ACH-000304,-0.523154801089
ACH-000307,-0.511754888957
ACH-000308,-0.500771482952
ACH-000310,-0.42747971477799995
ACH-000311,-0.512188388074
ACH-000312,-0.25089115317099997
ACH-000315,-0.0422411890955
ACH-000316,-0.373814707534
ACH-000317,-0.7014236782800001
ACH-000318,-0.303442771765
ACH-000319,-0.367888021976
ACH-000320,-0.293149773691
ACH-000322,-0.484898278332
ACH-000323,-0.265693725118
ACH-000324,-0.404778955215
ACH-000329,-0.126490182007
ACH-000330,-0.633802629826
ACH-000331,-0.571174124514
ACH-000332,-0.215365290094
ACH-000334,-0.051768128531
ACH-000335,-0.30401333031100003
ACH-000336,-0.199095412482
ACH-000337,-0.5050159870250001
ACH-000339,-0.345354794418
ACH-000341,-0.689416446407
ACH-000348,-0.12401444145099999
ACH-000350,-0.32305192565499996
ACH-000352,-0.428470446433
ACH-000356,-0.298353313794
ACH-000361,-0.493297745139
ACH-000362,-0.41367132523500005
ACH-000363,-0.5313571125859999
ACH-000364,-0.409105258591
ACH-000365,-0.296844058286
ACH-000366,-0.049569345821400004
ACH-000368,-0.246469611297
ACH-000374,-0.29356045193700003
ACH-000375,-0.298599204851
ACH-000376,-0.13729096092
ACH-000381,-0.21240346342
ACH-000383,-0.241289870153
ACH-000387,-0.397266865436
ACH-000389,-0.346399937275
ACH-000390,-0.25812876465999995
ACH-000393,-0.534839402937
ACH-000395,0.059334734979099996
ACH-000397,-0.295271969237
ACH-000401,-0.35769990790600004
ACH-000402,-0.221678067272
ACH-000403,-0.351177524827
ACH-000404,-0.6272635700770001
ACH-000406,-0.18048419348900002
ACH-000407,-0.107874954881
ACH-000408,-0.384369028534
ACH-000410,-0.471318553371
ACH-000411,-0.494744007953
ACH-000414,-0.45214940685500005
ACH-000415,-0.334527895395
ACH-000416,-0.433094626897
ACH-000420,-0.08033964429219999
ACH-000421,-0.49259640218199996
ACH-000424,-0.23703871405699997
ACH-000425,-0.366653118737
ACH-000426,-0.6767018265479999
ACH-000427,-0.442354874103
ACH-000433,-0.5138112006800001
ACH-000436,-0.5522372454860001
ACH-000444,-0.43492814329499996
ACH-000445,0.023333263415999998
ACH-000448,-0.38669254283
ACH-000450,-0.22564055901900001
ACH-000452,-0.257250785988
ACH-000454,-0.217475158561
ACH-000458,-0.352370530507
ACH-000459,-0.12552700368699998
ACH-000460,-0.572461339723
ACH-000461,-0.241309270803
ACH-000463,-0.39037503338600005
ACH-000464,-0.44947941440800004
ACH-000466,-0.310383089713
ACH-000467,-0.531543686092
ACH-000468,-0.0818109725054
ACH-000469,-0.47694950034100003
ACH-000470,-0.125652209649
ACH-000471,-0.307767130647
ACH-000472,-0.318758423322
ACH-000473,-0.594010179021
ACH-000475,-0.152322675086
ACH-000476,-0.470198892213
ACH-000477,-0.230823492882
ACH-000480,-0.259293593719
ACH-000481,-0.264957275313
ACH-000483,-0.179840748901
ACH-000484,-0.671296534842
ACH-000485,-0.614140208597
ACH-000486,-0.7861471956389999
ACH-000487,-0.266382498208
ACH-000488,-0.372107996918
ACH-000490,-0.5630274871350001
ACH-000491,-0.416086866762
ACH-000495,-0.20243222077999998
ACH-000496,-0.35373700179799994
ACH-000499,-0.10718669388
ACH-000500,-0.24671909409
ACH-000502,-0.250885407131
ACH-000503,0.0911399682598
ACH-000505,-0.394622421992
ACH-000507,-0.26682685474199996
ACH-000510,-0.262338386515
ACH-000511,-0.36870583594899997
ACH-000512,-0.542923504269
ACH-000516,-0.317351947661
ACH-000517,-0.477858387878
ACH-000518,-0.363747878808
ACH-000520,-0.28211846793900003
ACH-000521,-0.18416308015000002
ACH-000522,-0.49356314793899997
ACH-000524,-0.571705379907
ACH-000527,-0.473069797404
ACH-000528,-0.37657594022
ACH-000537,-0.424278437414
ACH-000541,-0.755265063502
ACH-000542,-0.29761757801100003
ACH-000544,-0.579580799505
ACH-000545,-0.507898334022
ACH-000547,-0.412664077491
ACH-000548,-0.481245871276
ACH-000549,-0.435889382819
ACH-000550,-0.429178238099
ACH-000552,-0.560036794688
ACH-000556,-0.437731417667
ACH-000557,-0.22870524957199997
ACH-000570,-0.39020256538500003
ACH-000571,-0.157063954391
ACH-000573,-0.533934753094
ACH-000576,-0.641371295893
ACH-000580,-0.624431217341
ACH-000584,-0.151116550013
ACH-000585,-0.23972052960999998
ACH-000588,-0.223081183475
ACH-000589,-0.671237338592
ACH-000591,-0.283208958515
ACH-000593,-0.27733378063299996
ACH-000600,-0.428074204958
ACH-000601,-0.25494348869600003
ACH-000604,-0.663996174423
ACH-000605,-0.346190285638
ACH-000606,-0.163857562486
ACH-000608,-0.368601301273
ACH-000614,-0.23714902935899998
ACH-000616,-0.484670824966
ACH-000618,-0.586730488458
ACH-000619,-0.42519624276699997
ACH-000620,-0.160819434347
ACH-000621,-0.31671441808899997
ACH-000622,-0.163857880816
ACH-000623,-0.251653720721
ACH-000624,-0.284812165418
ACH-000627,-0.45137260674999996
ACH-000630,-0.22149222569200003
ACH-000632,-0.25057771325
ACH-000633,-0.325534867068
ACH-000637,-0.943265298483
ACH-000638,-0.336538513302
ACH-000646,-0.649643986723
ACH-000647,-0.37420024109300004
ACH-000648,-0.547523032619
ACH-000649,-0.296600336262
ACH-000651,-0.46422817568
ACH-000652,-0.303385958139
ACH-000653,-0.390759160264
ACH-000657,-0.326327730759
ACH-000658,-0.328960894255
ACH-000661,-0.46875040029
ACH-000662,-0.37006460175800004
ACH-000663,-0.404150629118
ACH-000665,-0.47481564666599996
ACH-000671,-0.371064805532
ACH-000673,-0.25564978789000004
ACH-000676,-0.415945465445
ACH-000677,-0.508485137064
ACH-000681,-0.240010084764
ACH-000682,-0.16695949898
ACH-000683,-0.41945938830300006
ACH-000684,-0.0736562364559
ACH-000688,-0.456457469926
ACH-000693,-0.187826783933
ACH-000694,-0.280697567501
ACH-000695,-0.196524562691
ACH-000696,-0.508373133999
ACH-000697,-0.692085789275
ACH-000699,-0.423831832912
ACH-000701,-0.201501821046
ACH-000706,-0.577094571219
ACH-000711,-0.229149019775
ACH-000713,-0.190459014722
ACH-000714,-0.49313386898
ACH-000718,-0.24117642561799998
ACH-000720,-0.359841143916
ACH-000721,-0.35750080814499996
ACH-000724,-0.4162683784
ACH-000725,-0.5823164515829999
ACH-000732,-0.7624221416079999
ACH-000734,-0.310912598027
ACH-000735,-0.149286059667
ACH-000736,-0.254889789566
ACH-000738,-0.350402066655
ACH-000746,-0.360884690694
ACH-000747,-0.427597285317
ACH-000748,-0.539609308545
ACH-000753,-0.270619171815
ACH-000756,-0.293378857698
ACH-000757,-0.363878632107
ACH-000758,-0.36575605328
ACH-000760,-0.36969074579000005
ACH-000763,-0.562835265101
ACH-000764,-0.48636961586499994
ACH-000765,-0.161159398027
ACH-000766,-0.423998167207
ACH-000767,-0.64695872328
ACH-000768,-0.199092467198
ACH-000769,-0.28930658486
ACH-000770,-0.281553334685
ACH-000771,-0.494907989719
ACH-000773,-0.321613904034
ACH-000776,-0.209862441473
ACH-000777,-0.34677274887599996
ACH-000778,-0.8787126066940001
ACH-000781,-0.48689584185900003
ACH-000782,-0.7202076854430001
ACH-000783,-0.206088068599
ACH-000784,-0.41612173126900004
ACH-000785,-0.574114030708
ACH-000787,-0.43787888250600004
ACH-000788,-0.272200174011
ACH-000791,-0.17626679743700002
ACH-000792,-0.20158152724199999
ACH-000794,-0.254971021357
ACH-000796,-0.38172573974299995
ACH-000799,-0.6221598693
ACH-000800,-0.9545965954260001
ACH-000802,-0.05774455664480001
ACH-000804,-0.274384265796
ACH-000805,-0.225629041813
ACH-000809,-0.26683876787300004
ACH-000810,-0.447569880117
ACH-000811,-0.38642039476400003
ACH-000817,-0.046837275566300005
ACH-000819,-0.506236457697
ACH-000820,-0.213018053112
