,BCAN (63827)
ACH-000004,-0.32823034308000004
ACH-000007,-0.273227146346
ACH-000009,-0.447728393991
ACH-000011,-0.334163499949
ACH-000012,-0.49044683078
ACH-000013,-0.532568277871
ACH-000014,-0.453086608846
ACH-000015,-0.491274377283
ACH-000017,-0.309437645571
ACH-000018,-0.218029300483
ACH-000019,-0.7550497291509999
ACH-000021,-0.26306647716299997
ACH-000022,-0.329705756681
ACH-000025,-0.499650246453
ACH-000028,-0.35060212671499996
ACH-000030,-0.420562244484
ACH-000035,-0.516442964362
ACH-000036,-0.489064779395
ACH-000037,-0.37937247189400003
ACH-000039,-0.511372592913
ACH-000040,-0.46208109713
ACH-000041,-0.390690969043
ACH-000042,-0.300536763206
ACH-000045,-0.363408545681
ACH-000047,-0.369901062647
ACH-000052,-0.209555829448
ACH-000053,-0.47861953218599995
ACH-000054,-0.288872292428
ACH-000055,-0.6793692558609999
ACH-000060,-0.530278302351
ACH-000067,-0.263372733831
ACH-000070,-0.5497000017600001
ACH-000075,-0.209579223391
ACH-000078,-0.570463993566
ACH-000082,-0.287501624078
ACH-000085,-0.280817283457
ACH-000086,-0.448951862936
ACH-000087,-0.0900228959058
ACH-000092,-0.44119067650300003
ACH-000095,-0.4478929374600001
ACH-000097,-0.40209466895999996
ACH-000098,-0.520189035922
ACH-000099,-0.19386761881200001
ACH-000108,-0.379693773538
ACH-000113,-0.396728051016
ACH-000115,-0.476252878855
ACH-000116,-0.45700677033
ACH-000118,-0.480897146021
ACH-000120,-0.44604229051000005
ACH-000123,-0.439607506395
ACH-000127,-0.453388765591
ACH-000128,-0.38555855809
ACH-000132,-0.137892333522
ACH-000133,-0.38050814832900004
ACH-000137,-0.600058912045
ACH-000138,-0.355142525364
ACH-000142,-0.5134172204909999
ACH-000143,-0.466607351857
ACH-000146,-0.336207092152
ACH-000148,-0.297429229989
ACH-000150,-0.34759060184100005
ACH-000152,-0.158727898852
ACH-000153,-0.302104828812
ACH-000159,-0.37417462300300003
ACH-000160,-0.270392277939
ACH-000163,-0.538672235191
ACH-000167,-0.3696030358199999
ACH-000168,-0.664045113276
ACH-000169,-0.136077508809
ACH-000178,-0.444531593228
ACH-000182,-0.355860168631
ACH-000183,-0.276222635747
ACH-000188,-0.45025350440899997
ACH-000189,-0.344829330455
ACH-000190,-0.45453686841700003
ACH-000198,-0.18584938797699999
ACH-000204,-0.17831511801600003
ACH-000206,-0.143714647582
ACH-000207,-0.523559047007
ACH-000211,-0.337312657923
ACH-000215,-0.53832889724
ACH-000221,-0.49173032253399995
ACH-000222,-0.37948997442500004
ACH-000223,-0.320030280469
ACH-000226,-0.347039676422
ACH-000227,-0.44917188220700005
ACH-000228,-0.63431457685
ACH-000231,-0.326373194094
ACH-000232,-0.37596336816799997
ACH-000233,-0.304689210632
ACH-000234,-0.43598665694300004
ACH-000235,-0.505200326598
ACH-000237,-0.421663205514
ACH-000238,-0.457980862071
ACH-000243,-0.40083499264899997
ACH-000244,-0.6362493137399999
ACH-000246,-0.254348868811
ACH-000248,-0.214499877904
ACH-000250,-0.384708091135
ACH-000251,-0.0846478695125
ACH-000253,-0.353995226655
ACH-000255,-0.302940117065
ACH-000256,-0.557986591462
ACH-000257,-0.46943439315700003
ACH-000258,-0.05282712597019999
ACH-000259,-0.316998442228
ACH-000260,-0.373271322231
ACH-000261,-0.371883364014
ACH-000262,-0.09511000801580001
ACH-000263,-0.37670844539000004
ACH-000264,-0.44588126865
ACH-000265,-0.346068689534
ACH-000266,-0.307487704995
ACH-000272,-0.45285363472199996
ACH-000273,-0.459499077967
ACH-000274,-0.508255375545
ACH-000277,-0.66905852161
ACH-000278,-0.605117347703
ACH-000279,-0.235218775062
ACH-000280,-0.545833363794
ACH-000281,-0.329830426546
ACH-000288,-0.501037088218
ACH-000291,-0.26795163859
ACH-000293,-0.479231594216
ACH-000294,-0.36308489282799994
ACH-000295,-0.352745680855
ACH-000296,-0.235673730519
