,SYCP2 (10388)
ACH-000004,0.264489234708
ACH-000007,0.278546055664
ACH-000009,0.115040033397
ACH-000011,0.100490119268
ACH-000012,0.21176553879299997
ACH-000013,0.24473523836199998
ACH-000014,0.12716911904
ACH-000015,0.166570152814
ACH-000017,-0.0441788696686
ACH-000018,0.18918460984299998
ACH-000019,-0.250560225238
ACH-000021,0.09599332663039999
ACH-000022,0.08587383590679999
ACH-000025,0.10462648651
ACH-000028,-0.37363617781900005
ACH-000030,0.0658700095167
ACH-000035,0.0540976811446
ACH-000036,0.0297288500012
ACH-000037,0.39937575095100003
ACH-000039,0.0913518199705
ACH-000040,0.23122866463599998
ACH-000041,0.119139174061
ACH-000042,0.00117086132231
ACH-000045,0.1174383184
ACH-000047,0.145919350483
ACH-000052,0.37533868258599995
ACH-000053,0.123730745857
ACH-000054,0.254951542667
ACH-000055,0.0704987205709
ACH-000060,0.15585384901799998
ACH-000067,0.0532483381052
ACH-000070,0.138554870812
ACH-000075,0.140520691872
ACH-000078,0.07596580632939999
ACH-000082,0.151388275859
ACH-000085,0.168407801037
ACH-000086,0.121958568457
ACH-000087,0.0899155450833
ACH-000092,0.0843978942107
ACH-000095,0.104864867564
ACH-000097,0.0967993724661
ACH-000098,0.24305844528999998
ACH-000099,0.19132577489900002
ACH-000108,0.136230725446
ACH-000113,0.0711015448555
ACH-000115,-0.07010912918449999
ACH-000116,0.114199981907
ACH-000118,0.14854227644200002
ACH-000120,0.0484630868705
ACH-000123,0.07756143314319999
ACH-000127,0.13117141848799999
ACH-000128,0.195306286701
ACH-000132,0.300999568581
ACH-000133,0.20602746857299997
ACH-000137,0.19061387886300002
ACH-000138,0.09163540367689998
ACH-000142,0.197000633312
ACH-000143,0.223758147476
ACH-000146,0.10527658731799999
ACH-000148,0.0205766114665
ACH-000150,-0.0317271289871
ACH-000152,0.157944954857
ACH-000153,0.153478933761
ACH-000159,0.164207747017
ACH-000160,0.133759906624
ACH-000163,0.16943230439100002
ACH-000167,0.113048037477
