,MEN1 (4221)
ACH-000004,-0.142025003998
ACH-000007,-0.36662391488799995
ACH-000009,0.00887280583033
ACH-000011,0.0036615577404200002
ACH-000012,-0.00115685973217
ACH-000013,-0.772087786674
ACH-000014,-0.717188306548
ACH-000015,-0.9617054845540001
ACH-000017,-0.997973454715
ACH-000018,-0.943188763985
ACH-000019,-0.996772327018
ACH-000021,-0.426640668399
ACH-000022,-0.34627135476899995
ACH-000025,-0.665221227594
ACH-000028,-0.7728354466320001
ACH-000030,-0.153032346216
ACH-000035,-0.142529804139
ACH-000036,-0.7390325295119999
ACH-000037,-0.5306350800399999
ACH-000039,-0.659243300854
ACH-000040,-0.43288196390100003
ACH-000041,0.444344481929
ACH-000042,-1.0015763738799999
ACH-000045,-1.1439638158299998
ACH-000047,-0.28602153734700003
ACH-000052,-0.7981084394310001
ACH-000053,0.248448474025
ACH-000054,-0.119990022126
ACH-000055,-0.356477154174
ACH-000060,-0.389440583824
ACH-000067,-0.169119218976
ACH-000070,-0.696426965033
ACH-000075,-0.579397970383
ACH-000078,0.212247462763
ACH-000082,-0.864667623917
ACH-000085,-0.376059949946
ACH-000086,-0.35848010082099996
ACH-000087,-0.40288747523400004
ACH-000092,-0.776257229192
ACH-000095,-0.37066961974699997
ACH-000097,-0.11948509350099999
ACH-000098,-1.0883369923700001
ACH-000099,-0.314700014452
ACH-000108,-0.327070629234
ACH-000113,-1.19714799243
ACH-000115,-1.4609716008000002
ACH-000116,-0.7331023277420001
ACH-000118,-0.718841515072
ACH-000120,-0.392925277593
ACH-000123,-0.719851609059
ACH-000127,-0.061805606704599995
ACH-000128,-0.633066563921
ACH-000132,-1.15091379105
ACH-000133,-0.20449080325999996
ACH-000137,-0.235588971285
ACH-000138,-0.378360755863
ACH-000142,0.277012375193
ACH-000143,-0.82472211229
ACH-000146,-0.293612228576
ACH-000148,-0.123752418123
ACH-000150,-0.0769582868641
ACH-000152,-0.43946740689400005
ACH-000153,-0.646352384097
ACH-000159,-0.56432968781
ACH-000160,0.025714160620400002
ACH-000163,-0.187795159489
ACH-000167,0.351631448901
ACH-000168,-0.8712796211020001
ACH-000169,-0.48231656331699996
ACH-000178,-0.45481685509400005
ACH-000182,-0.157250673889
ACH-000183,-0.723360321788
ACH-000188,-0.268069080984
ACH-000189,-0.518811486572
ACH-000190,-0.10566110574200001
ACH-000198,-1.0498096296600001
ACH-000204,-0.5399806968249999
ACH-000206,-0.222588505924
ACH-000207,-0.7192986408930001
ACH-000211,-1.0649534389
ACH-000215,-0.108350362324
ACH-000221,-0.495065217457
ACH-000222,-0.0389871067689
ACH-000223,-0.564376814704
ACH-000226,-0.567559451084
ACH-000227,-0.20838721271400001
ACH-000228,-0.5517793243119999
ACH-000231,-0.0861676035733
ACH-000232,-0.811042840599
ACH-000233,-0.29410889563299997
ACH-000234,-0.42552056575
ACH-000235,-0.385964325048
ACH-000237,-0.38621780466899996
ACH-000238,-0.5181182695759999
ACH-000243,-0.238980678874
ACH-000244,-0.39278490577299996
ACH-000246,-0.447033633657
ACH-000248,-0.283020956609
ACH-000250,0.0105561662715
ACH-000251,-0.8516444304880001
ACH-000253,-0.439842801162
ACH-000255,0.202090418476
ACH-000256,-0.463907945986
ACH-000257,-0.729903623591
ACH-000258,-0.116788425579
ACH-000259,-0.213395915265
ACH-000260,-0.651442245969
ACH-000261,-0.258683282713
ACH-000262,-0.061140916504499994
ACH-000263,-0.192692649324
ACH-000264,-0.192509852709
ACH-000265,-0.015024727560100001
ACH-000266,-0.6947499606640001
ACH-000272,-0.0155524879258
ACH-000273,-0.52341895107
ACH-000274,-0.0391835396045
ACH-000277,0.35051908171499996
ACH-000278,-0.099775907358
ACH-000279,0.0119929724664
ACH-000280,0.41169263983800003
ACH-000281,0.308178502273
ACH-000288,-0.251190385899
ACH-000291,-0.21378833572099998
ACH-000293,-1.30706298313
ACH-000294,0.10258473595899999
ACH-000295,0.062397401031499995
ACH-000296,-0.224592810805
ACH-000302,-0.449638081454
ACH-000304,-0.586065080242
ACH-000307,-0.049941882130000004
ACH-000308,-0.876687900469
ACH-000310,0.0341049436816
ACH-000311,0.04078537548069999
ACH-000312,-0.503142564879
ACH-000315,-1.7298394905400003
ACH-000316,-0.7284888763840001
ACH-000317,-0.958634127851
ACH-000318,-0.435500889884
ACH-000319,-0.40251166185099996
ACH-000320,-0.396966933443
ACH-000322,-0.481497257233
ACH-000323,-0.623272866552
ACH-000324,-0.348813955318
ACH-000329,0.138847656443
ACH-000330,-0.307331152536
ACH-000331,-0.383169983332
ACH-000332,-0.423635091113
ACH-000334,-1.9983241090000001
ACH-000335,-0.762830538119
ACH-000336,-0.8030094067489999
ACH-000337,-0.182980735909
ACH-000339,-0.41257890817500004
ACH-000341,-0.346928810709
ACH-000348,-0.469650540237
ACH-000350,-0.441703480476
ACH-000352,-0.7098281516699999
ACH-000356,-0.6333787842849999
ACH-000361,-0.760077822614
ACH-000362,-1.67016473671
ACH-000363,-1.44146539894
ACH-000364,-0.546997764243
ACH-000365,-0.940745101454
ACH-000366,-0.211807603375
ACH-000368,-0.552100393159
ACH-000374,-0.253695576405
ACH-000375,-0.65032883055
ACH-000376,-0.07803336779730001
ACH-000381,-0.576628237556
ACH-000383,-0.923879457452
ACH-000387,-0.288224672323
ACH-000389,-0.35285420974299997
ACH-000390,-0.0540686905709
ACH-000393,-0.685093933279
ACH-000395,-0.499130772223
ACH-000397,-0.514220285144
ACH-000401,-0.47877926952
ACH-000402,-0.8892439135529999
ACH-000403,-0.645779628791
ACH-000404,0.519991691235
ACH-000406,-0.253872632835
ACH-000407,-0.5679428208030001
ACH-000408,-0.530555552347
ACH-000410,-0.63516695163
ACH-000411,-0.39830937448799997
ACH-000414,0.10988247553099999
ACH-000415,-0.659765103567
ACH-000416,-0.37320279033
ACH-000420,-0.968084571241
ACH-000421,-0.909838664197
ACH-000424,-0.7655775153380001
ACH-000425,-0.36049537369
ACH-000426,-2.6373996854
ACH-000427,-0.0243598019338
ACH-000433,-0.830931802707
ACH-000436,-1.1207881440799998
ACH-000444,-0.451699898829
ACH-000445,-0.868064826602
ACH-000448,-0.653539272404
ACH-000450,-0.639538875956
ACH-000452,-0.46512764039399995
ACH-000454,-0.6594856827109999
ACH-000458,-0.534130404776
ACH-000459,-1.41659708995
ACH-000460,-0.75324475093
ACH-000461,-0.318376800174
ACH-000463,-0.35738256639399996
ACH-000464,0.242686977575
ACH-000466,-1.03800037184
ACH-000467,-0.8545577133769999
ACH-000468,-0.721813832692
ACH-000469,0.05559101668600001
ACH-000470,-0.8214828269750001
ACH-000471,-0.473412679563
ACH-000472,-0.324562898794
ACH-000473,-0.361619298849
ACH-000475,-0.253365415375
ACH-000476,-0.32658819226999997
ACH-000477,-0.6949605210400001
ACH-000480,0.20836279500399998
ACH-000481,-0.227437967795
ACH-000483,-0.7384426428990001
