,TSC22D2 (9819)
ACH-000004,-0.7831420778210001
ACH-000007,-0.8050732129989999
ACH-000009,-0.499865964863
ACH-000011,-0.734802656301
ACH-000012,-0.0516597849174
ACH-000013,-0.210575473296
ACH-000014,-0.5664131845699999
ACH-000015,-0.674237650998
ACH-000017,-0.28872347641
ACH-000018,-0.609814893374
ACH-000019,-0.507847982492
ACH-000021,-0.324387932544
ACH-000022,-0.461034455499
ACH-000025,-0.380974579077
ACH-000028,-0.429660194248
ACH-000030,-0.685082103082
ACH-000035,-0.37105097286399996
ACH-000036,-0.5124993567849999
ACH-000037,-0.560571703174
ACH-000039,-0.305620860744
ACH-000040,-0.448770028883
ACH-000041,-0.168297652119
ACH-000042,-0.7071916926909999
ACH-000045,-0.575073841708
ACH-000047,-0.38653117329400005
ACH-000052,-0.5745434247169999
ACH-000053,-0.455786088661
ACH-000054,-0.5130788143389999
ACH-000055,-0.527755532131
ACH-000060,-0.913650785469
ACH-000067,-0.6766488337369999
ACH-000070,-0.28468583412099996
ACH-000075,-0.124814509036
ACH-000078,-0.285046681432
ACH-000082,-0.629195487583
ACH-000085,-1.0985610153899998
ACH-000086,-0.276262396083
ACH-000087,-0.157308674763
ACH-000092,-0.37383688350199995
ACH-000095,-0.668863849567
ACH-000097,-0.718421677179
ACH-000098,-0.556075511406
ACH-000099,-0.475977664733
ACH-000108,-0.8449457973829999
ACH-000113,-0.24376558241000001
ACH-000115,-0.183028286254
ACH-000116,-0.345314520823
ACH-000118,-0.5112864603499999
ACH-000120,-0.505497281396
ACH-000123,-0.48454388406000004
ACH-000127,-0.547203289773
ACH-000128,-0.589067333178
ACH-000132,-0.649426134188
ACH-000133,-0.432087132077
ACH-000137,-0.277945930476
ACH-000138,-0.7540291187929999
ACH-000142,-0.32256894859
ACH-000143,-0.834068225881
ACH-000146,-0.41099746587499997
ACH-000148,-0.548496720358
ACH-000150,-0.392266021048
ACH-000152,-0.468892875624
ACH-000153,-0.861456347852
ACH-000159,-0.503376962237
ACH-000160,-0.495097000383
ACH-000163,-0.809234421547
ACH-000167,-0.8859570167890001
ACH-000168,-0.592387088096
ACH-000169,-0.727875033799
ACH-000178,-0.269416575759
ACH-000182,-0.7336036843889999
ACH-000183,-0.701710725972
ACH-000188,-0.5210603704519999
ACH-000189,-0.439734099387
ACH-000190,-0.805172975043
ACH-000198,-0.257696591263
ACH-000204,-0.683160293155
ACH-000206,0.29296567985
ACH-000207,-1.09563073963
ACH-000211,-0.710505231565
ACH-000215,-0.508376516265
ACH-000221,-0.384479111831
ACH-000222,-0.6719998486759999
ACH-000223,-0.475062835296
ACH-000226,-0.551366545458
ACH-000227,-0.48105465325400004
ACH-000228,-0.38401487277400004
ACH-000231,-0.430183995666
ACH-000232,-0.639439887412
ACH-000233,-0.789455464904
ACH-000234,-0.894410243986
ACH-000235,-0.647342984331
ACH-000237,-0.416225829406
ACH-000238,-0.331482225865
ACH-000243,-0.31552491767499996
ACH-000244,-0.134441211359
ACH-000246,-0.290223896352
ACH-000248,-0.5510446104410001
ACH-000250,-0.41613026715
ACH-000251,-0.924286233593
ACH-000253,-0.419818422347
ACH-000255,-0.438243564321
ACH-000256,-0.7112611534729999
ACH-000257,-0.6696123006100001
ACH-000258,-0.910177572887
ACH-000259,-0.336203810049
ACH-000260,-0.5139651141780001
ACH-000261,-0.35431221227399995
ACH-000262,-0.852402774219
ACH-000263,-0.46677128902599996
ACH-000264,-0.48518545334299995
ACH-000265,-0.19956069281199998
ACH-000266,-0.37211003896300004
ACH-000272,-0.421958845189
ACH-000273,-0.69722322544
ACH-000274,-0.847378061365
ACH-000277,-0.823572466168
ACH-000278,-0.788191212164
ACH-000279,-0.5654281071589999
ACH-000280,-0.33035239272100003
ACH-000281,-0.52878964675
ACH-000288,-0.516807086534
ACH-000291,-0.534181343118
ACH-000293,-0.556201464503
ACH-000294,-0.728361540976
ACH-000295,-0.08882038642729999
ACH-000296,-0.508903043906
ACH-000302,-0.521352854685
ACH-000304,-0.11810168394500001
ACH-000307,-0.7280167657879999
ACH-000308,-0.519717435286
ACH-000310,-0.403378410764
ACH-000311,-0.8350135446539999
ACH-000312,-0.224817451107
ACH-000315,-0.9026669954350001
ACH-000316,-0.38515274303900005
ACH-000317,-0.8684143477230001
ACH-000318,-0.6351606138
ACH-000319,-0.523920624236
ACH-000320,-0.5445483123579999
ACH-000322,-0.22980036396200001
ACH-000323,-0.651247871816
ACH-000324,-0.255823508403
ACH-000329,-0.466898389107
ACH-000330,-0.888412482584
ACH-000331,-0.753918986287
ACH-000332,-0.401279527794
