,AP4E1 (23431)
ACH-000004,-0.184731659129
ACH-000007,-0.11932418013
ACH-000009,-0.22043026545699998
ACH-000011,-0.09386883008460001
ACH-000012,-0.0200992379347
ACH-000013,0.0164899325942
ACH-000014,-0.138809091175
ACH-000015,-0.00318557661985
ACH-000017,-0.122377939931
ACH-000018,0.15484795786
ACH-000019,0.282608576853
ACH-000021,-0.08618809680950001
ACH-000022,-0.0201076601621
ACH-000025,-0.222371435442
ACH-000028,-0.04268144904019999
ACH-000030,-0.0718972873026
ACH-000035,-0.20621552295099999
ACH-000036,0.0775487999486
ACH-000037,0.039471221174199995
ACH-000039,0.09837651002360001
ACH-000040,-0.16498353332000001
ACH-000041,0.100840125661
ACH-000042,-0.21130463077
ACH-000045,-0.07047359297610001
ACH-000047,0.022675838993799997
ACH-000052,-0.0979726521137
ACH-000053,-0.240969279507
ACH-000054,-0.08126393195439999
ACH-000055,0.189489328893
ACH-000060,0.120570199988
ACH-000067,-0.233835067992
ACH-000070,0.0395825013469
ACH-000075,0.0642306790005
ACH-000078,-0.23223052080499998
ACH-000082,0.0027243160714000006
ACH-000085,-0.14970091868899998
ACH-000086,-0.06608089350100001
ACH-000087,-0.38098591270599996
ACH-000092,-0.112999023463
ACH-000095,-0.10413375805
ACH-000097,-0.101278727904
ACH-000098,0.137578485946
ACH-000099,-0.193328839913
ACH-000108,-0.0250658716414
ACH-000113,0.00475536549955
ACH-000115,-0.25782617942200003
ACH-000116,0.00137961783842
ACH-000118,-0.156467963059
ACH-000120,-0.149360684348
ACH-000123,-0.161694843754
ACH-000127,-0.036494501724099994
ACH-000128,-0.0752142026902
ACH-000132,-0.269972134672
ACH-000133,-0.205961997439
ACH-000137,-0.157519290682
ACH-000138,-0.0334290362444
ACH-000142,-0.191190046767
ACH-000143,-0.0789767741741
ACH-000146,-0.00873264138523
ACH-000148,0.0443744792413
ACH-000150,-0.17144272950300002
ACH-000152,0.0057811395452200005
ACH-000153,0.0379785967734
ACH-000159,-0.105821485918
ACH-000160,-0.207853640251
ACH-000163,-0.05884458794150001
ACH-000167,0.24193119481999997
