,NRF1 (4899)
ACH-000004,-1.20692013701
ACH-000007,-0.827717468415
ACH-000009,-1.19709452963
ACH-000011,-0.838653025101
ACH-000012,-1.00781025762
ACH-000013,-1.14294570492
ACH-000014,-1.0237170392000001
ACH-000015,-1.1704451891299998
ACH-000017,-1.06170671877
ACH-000018,-1.1256789972399999
ACH-000019,-1.10852912909
ACH-000021,-1.21081618066
ACH-000022,-1.17821176713
ACH-000025,-1.46254421242
ACH-000028,-1.1435815036299999
ACH-000030,-1.0022129449500001
ACH-000035,-1.1103868241
ACH-000036,-0.9160998581990001
ACH-000037,-0.976737312592
ACH-000039,-1.04943453512
ACH-000040,-0.861389347121
ACH-000041,-1.3199888555200001
ACH-000042,-1.3145674898
ACH-000045,-1.23025172363
ACH-000047,-1.0281551104
ACH-000052,-1.25310133592
ACH-000053,-1.28148988536
ACH-000054,-0.971320747035
ACH-000055,-1.26755792237
ACH-000060,-1.18691266286
ACH-000067,-0.844787258607
ACH-000070,-1.0900553501999999
ACH-000075,-0.9990308221340001
ACH-000078,-1.22495045823
ACH-000082,-1.03452400162
ACH-000085,-1.28878743417
ACH-000086,-1.02688404705
ACH-000087,-0.927498876533
ACH-000092,-1.08843333536
ACH-000095,-1.27188759662
ACH-000097,-1.09193232963
ACH-000098,-1.1646220862899999
ACH-000099,-1.15399385355
ACH-000108,-1.4252571616299998
ACH-000113,-1.14160263842
ACH-000115,-0.9342496657439999
ACH-000116,-0.947482595568
ACH-000118,-1.08718320333
ACH-000120,-0.8637997965080001
ACH-000123,-1.1209224315000001
ACH-000127,-0.9184085190360001
ACH-000128,-1.12240624347
ACH-000132,-1.1012785961799998
ACH-000133,-1.24048320079
ACH-000137,-1.00755443588
ACH-000138,-1.28249987418
ACH-000142,-0.8947527145919999
ACH-000143,-1.0817216479
ACH-000146,-1.2494501703299998
ACH-000148,-1.10066917126
ACH-000150,-0.9039826577850001
ACH-000152,-1.19112738625
ACH-000153,-1.24758279721
ACH-000159,-1.23407384759
ACH-000160,-1.54608766579
ACH-000163,-1.04142472299
ACH-000167,-1.31056898544
ACH-000168,-1.29723530291
ACH-000169,-0.839178930843
ACH-000178,-1.031107391
ACH-000182,-0.9622856578200001
ACH-000183,-0.83655772473
ACH-000188,-1.2660480268799998
ACH-000189,-0.989470422061
ACH-000190,-0.828935158571
ACH-000198,-1.03969158609
ACH-000204,-1.06499658339
ACH-000206,-1.11247987784
ACH-000207,-0.8802322178499999
ACH-000211,-1.0737162036599999
ACH-000215,-0.939724903009
ACH-000221,-1.2970044752
ACH-000222,-0.930158646896
ACH-000223,-1.05859434089
ACH-000226,-1.1852972010299998
ACH-000227,-1.14287374614
ACH-000228,-1.0666152806799998
ACH-000231,-0.988115812543
ACH-000232,-1.17708555198
ACH-000233,-0.9897946973109999
ACH-000234,-0.99749181374
ACH-000235,-1.12506138429
ACH-000237,-1.2039095475
ACH-000238,-1.4480534677099999
ACH-000243,-1.03379603918
ACH-000244,-1.1258663998
ACH-000246,-0.992170939627
ACH-000248,-0.8659243251719999
ACH-000250,-0.926587880442
ACH-000251,-0.713325160541
ACH-000253,-1.13949666903
ACH-000255,-1.0191663308399999
ACH-000256,-0.994577073294
ACH-000257,-1.0154611615200002
ACH-000258,-0.627360436265
ACH-000259,-0.8683196614740001
ACH-000260,-1.06694436051
ACH-000261,-0.824476971905
ACH-000262,-1.08497786591
ACH-000263,-1.19423293423
ACH-000264,-0.972864162362
ACH-000265,-0.9549811001899999
ACH-000266,-1.30624577419
ACH-000272,-1.0737519675700002
ACH-000273,-0.9831718851189999
ACH-000274,-1.18601296889
ACH-000277,-1.15097538529
ACH-000278,-0.933871890961
ACH-000279,-1.26081901985
ACH-000280,-0.7838628762950001
ACH-000281,-1.18654369009
ACH-000288,-1.04213668295
ACH-000291,-0.7926397201100001
ACH-000293,-1.05001982075
ACH-000294,-1.14987524361
ACH-000295,-0.958743633269
ACH-000296,-0.845425482584
ACH-000302,-1.15418534844
ACH-000304,-0.557652895393
ACH-000307,-1.05157923253
ACH-000308,-1.10968954266
ACH-000310,-1.181607283
ACH-000311,-1.07192749638
ACH-000312,-1.30619467296
