,MEX3A (92312)
ACH-000004,-0.626984718953
ACH-000007,-0.829387486491
ACH-000009,-0.479059050378
ACH-000011,-0.440719378231
ACH-000012,-0.685525866671
ACH-000013,-0.46502894044200005
ACH-000014,-0.389374356479
ACH-000015,-0.514739558984
ACH-000017,-0.29453095901799997
ACH-000018,-0.6314665475469999
ACH-000019,-0.188968116773
ACH-000021,-0.516519209769
ACH-000022,-0.558323097488
ACH-000025,-0.563176990307
ACH-000028,-0.289936969844
ACH-000030,-0.510263779084
ACH-000035,-0.638474466715
ACH-000036,-0.457941023907
ACH-000037,-0.379083622099
ACH-000039,-0.48788550812
ACH-000040,-0.485770189514
ACH-000041,-0.327541671635
ACH-000042,-0.5827176185490001
ACH-000045,-0.519089037726
ACH-000047,-0.16965866245
ACH-000052,-0.550087565162
ACH-000053,-0.351746962646
ACH-000054,-0.522371356077
ACH-000055,-0.623596617464
ACH-000060,-0.793512240777
ACH-000067,-0.42464106440300003
ACH-000070,-0.338183243179
ACH-000075,-0.243642023885
ACH-000078,-0.62624881142
ACH-000082,-0.245329094316
ACH-000085,-0.309332358229
ACH-000086,-0.7016348813459999
ACH-000087,-0.9109293706430001
ACH-000092,-0.6523533349689999
ACH-000095,-0.448122031446
ACH-000097,-0.739433395237
ACH-000098,-0.433055807473
ACH-000099,-0.580411822887
ACH-000108,-0.824400156883
ACH-000113,-0.369604971631
ACH-000115,-0.465139461872
ACH-000116,-0.471636233367
ACH-000118,-0.46845197603
ACH-000120,-0.423053739732
ACH-000123,-0.372243375786
ACH-000127,-0.432914966148
ACH-000128,-0.558686093423
ACH-000132,-0.482462997553
ACH-000133,-0.47272711085600005
ACH-000137,-0.42617087293899997
ACH-000138,-0.823070549759
ACH-000142,-0.6315978046630001
ACH-000143,-0.21668702981899998
ACH-000146,-0.472211011954
ACH-000148,-0.50581823075
ACH-000150,-0.576257721917
ACH-000152,-0.249590499621
ACH-000153,-0.38657858678199997
ACH-000159,-0.43194485473099997
ACH-000160,-0.509911829948
ACH-000163,-0.501743162964
ACH-000167,-0.41049024725199995
ACH-000168,-0.41730430178000005
ACH-000169,-0.368380973697
ACH-000178,-0.38059263353100004
ACH-000182,-0.537117917395
ACH-000183,-0.622773636311
ACH-000188,-0.411891150008
ACH-000189,-0.830109751586
ACH-000190,-0.25495430527
ACH-000198,-0.37736759878
ACH-000204,-0.6036271571440001
ACH-000206,-0.279993532841
ACH-000207,-0.532379492175
ACH-000211,-0.5534212896190001
ACH-000215,-0.5454945175829999
ACH-000221,-0.304507473471
ACH-000222,-0.9712846908930001
ACH-000223,-0.367999512094
ACH-000226,-0.435839693278
