,RDX (5962)
ACH-000004,-0.103270809156
ACH-000007,-0.0671979892685
ACH-000009,-0.162611089446
ACH-000011,-0.0869764776451
ACH-000012,-0.119480032268
ACH-000013,-0.0669489864106
ACH-000014,-0.192546301956
ACH-000015,0.03367013901
ACH-000017,0.015149054552400001
ACH-000018,-0.0870421790691
ACH-000019,0.0677617747264
ACH-000021,-0.064242780021
ACH-000022,-0.12460948534399999
ACH-000025,-0.230134175243
ACH-000028,-0.18743306934
ACH-000030,-0.0789174078373
ACH-000035,0.00499351381621
ACH-000036,-0.199085842159
ACH-000037,0.0839084476612
ACH-000039,-0.126205105647
ACH-000040,-0.038956236854699997
ACH-000041,-0.11285315662900001
ACH-000042,-0.31890404625700003
ACH-000045,-0.0594796155131
ACH-000047,-0.128906068881
ACH-000052,-0.16862158431899998
ACH-000053,-0.0726575054119
ACH-000054,-0.107976596463
ACH-000055,0.0996419703143
ACH-000060,-0.10203594703800001
ACH-000067,-0.112954248071
ACH-000070,-0.167369676282
ACH-000075,-0.198435955254
ACH-000078,-0.027273342156700003
ACH-000082,-0.194263002396
ACH-000085,-0.0112179583497
ACH-000086,-0.192176048072
ACH-000087,0.09497656938999999
ACH-000092,0.0356015976674
ACH-000095,-0.071671534547
ACH-000097,-0.129312279751
ACH-000098,-0.104684591188
ACH-000099,-0.05496050710369999
ACH-000108,-0.05676026982969999
ACH-000113,-0.0332525199747
ACH-000115,-0.0182696831733
ACH-000116,-0.120681067304
ACH-000118,-0.12217183542099999
ACH-000120,0.00109709627397
ACH-000123,-0.14616286507600001
ACH-000127,-0.100456525694
ACH-000128,-0.058459661302
ACH-000132,-0.16624290208200002
ACH-000133,-0.035741117603099996
ACH-000137,-0.0624714449239
ACH-000138,-0.146242931528
ACH-000142,-0.152482040359
ACH-000143,-0.26218063897
ACH-000146,-0.131808327314
ACH-000148,-0.105736951248
ACH-000150,0.058682703522199994
ACH-000152,-0.0623411502228
ACH-000153,-0.20329549100900002
ACH-000159,-0.0214117279745
ACH-000160,-0.166405204761
ACH-000163,-0.057072509721599995
ACH-000167,-0.39703849085500004
ACH-000168,-0.16391331014799998
ACH-000169,-0.0638049377148
ACH-000178,-0.18250701259500002
ACH-000182,-0.0376796671129
ACH-000183,-0.12989254939099998
ACH-000188,-0.140557202091
ACH-000189,-0.0396920993533
ACH-000190,0.088475098968
