,HIST1H2BH (8345)
ACH-000004,-0.286786487965
ACH-000007,-0.215254728338
ACH-000009,-0.241681248939
ACH-000011,-0.599805939422
ACH-000012,-0.0685187002769
ACH-000013,-0.0910334455752
ACH-000014,-0.26021711789900004
ACH-000015,0.044554110488
ACH-000017,-0.049590467381100005
ACH-000018,-0.0811545040938
ACH-000019,-0.19275202383099999
ACH-000021,-0.0546715555129
ACH-000022,-0.0006609378037419999
ACH-000025,-0.013434184492799999
ACH-000028,-0.343556730816
ACH-000030,-0.259022848675
ACH-000035,-0.42404783745499997
ACH-000036,-0.227151146146
ACH-000037,-0.0160937974098
ACH-000039,-0.28147519021
ACH-000040,-0.20128056828699997
ACH-000041,-0.221845424406
ACH-000042,-0.132685239796
ACH-000045,-0.42915724186099996
ACH-000047,-0.0959557546247
ACH-000052,0.06268264794419999
ACH-000053,-0.139357026328
ACH-000054,-0.27084283908100004
ACH-000055,-0.0028226429259600003
ACH-000060,-0.17057193261300002
ACH-000067,-0.246173033514
ACH-000070,-0.193790689536
ACH-000075,-0.34170593973200003
ACH-000078,-0.421042728384
ACH-000082,-0.38484049016099997
ACH-000085,-0.12116512234099999
ACH-000086,-0.244698930993
ACH-000087,-0.211980161723
ACH-000092,-0.16839935027699998
ACH-000095,-0.26810708313299997
ACH-000097,-0.130896517825
ACH-000098,-0.223221596292
ACH-000099,-0.27147688126999997
ACH-000108,-0.040583198432
ACH-000113,-0.22302995491
ACH-000115,-0.249792706235
ACH-000116,-0.199491382751
ACH-000118,-0.19845213679600002
ACH-000120,-0.304662908092
ACH-000123,-0.251101059353
ACH-000127,-0.183989598775
ACH-000128,-0.08711395016689999
ACH-000132,-0.12962050628799998
ACH-000133,-0.156824724494
ACH-000137,-0.0076572860948900005
ACH-000138,-0.11756337889900001
ACH-000142,-0.170545378444
ACH-000143,-0.0690062201656
ACH-000146,-0.209546924438
ACH-000148,-0.09587041547530001
ACH-000150,-0.19978766378499999
ACH-000152,-0.0459146660509
ACH-000153,-0.334249717919
ACH-000159,-0.124382472371
ACH-000160,0.09101920158520001
ACH-000163,-0.10673864967800001
ACH-000167,0.481226311596
ACH-000168,-0.257224822662
ACH-000169,-0.395492740962
ACH-000178,-0.152833522921
ACH-000182,-0.28511464231600003
ACH-000183,0.0404150331869
ACH-000188,-0.288934988316
ACH-000189,-0.12008123774700001
ACH-000190,0.192056421871
ACH-000198,-0.38720682165299997
ACH-000204,-0.314515207039
ACH-000206,-0.368018926072
ACH-000207,-0.315519708906
ACH-000211,-0.028618868456
ACH-000215,-0.16273241336799998
ACH-000221,-0.0306291112077
ACH-000222,-0.389895304253
ACH-000223,-0.295358250325
ACH-000226,-0.197884552225
ACH-000227,0.04465280546519999
ACH-000228,-0.155012583903
ACH-000231,-0.336550555257
ACH-000232,-0.204781840369
ACH-000233,-0.20614761792599998
ACH-000234,-0.22736855886500001
ACH-000235,-0.129472386146
ACH-000237,-0.0984235032134
ACH-000238,-0.162164237982
ACH-000243,-0.08198578691439999
ACH-000244,-0.306443530048
ACH-000246,-0.209177736639
ACH-000248,-0.417218786518
ACH-000250,-0.244689677417
ACH-000251,-0.334176693162
ACH-000253,-0.23514197570999998
ACH-000255,-0.034000352907300004
ACH-000256,-0.190054087185
ACH-000257,0.181965394631
ACH-000258,-0.36608287287600005
ACH-000259,-0.0963539752685
ACH-000260,-0.141096242891
ACH-000261,-0.08572262239219999
ACH-000262,-0.233105924898
ACH-000263,-0.239264979065
ACH-000264,-0.203006870185
ACH-000265,-0.178989440797
ACH-000266,-0.149575433883
ACH-000272,-0.187911479916
ACH-000273,-0.17812865434300001
ACH-000274,-0.111322664943
ACH-000277,-0.312320821513
ACH-000278,-0.0209066797846
ACH-000279,-0.204866833222
ACH-000280,-0.252504091664
ACH-000281,-0.272204716819
ACH-000288,-0.14293327758500002
ACH-000291,-0.0967597930642
ACH-000293,0.07537376925639999
ACH-000294,-0.0049357755979300005
ACH-000295,-0.0260622942032
ACH-000296,-0.1818675498
ACH-000302,-0.152709296865
ACH-000304,-0.21598197163400001
ACH-000307,-0.0596096761836
ACH-000308,-0.211222602945
ACH-000310,-0.352258435625
ACH-000311,-0.09906425957159999
ACH-000312,-0.005266099952199999
ACH-000315,-0.147817097178
ACH-000316,0.0260851179545
ACH-000317,-0.6040558687259999
ACH-000318,-0.17003201279199998
ACH-000319,-0.15606236974
ACH-000320,-0.38997495867
ACH-000322,-0.24288545250799998
ACH-000323,-0.124152277433
ACH-000324,-0.112500486667
ACH-000329,-0.38222041551200003
ACH-000330,-0.294227573967
ACH-000331,-0.246891083494
ACH-000332,-0.257526396318
ACH-000334,-0.27071128868
ACH-000335,-0.103583337658
ACH-000336,-0.123300604792
ACH-000337,-0.12003677473200002
ACH-000339,-0.0459528425575
ACH-000341,-0.22666964091999997
ACH-000348,-0.151459720729
ACH-000350,0.22398184437399998
ACH-000352,-0.00121314129234
ACH-000356,-0.235976413083
ACH-000361,-0.39917131804
ACH-000362,-0.278231195571
ACH-000363,-0.199712716482
ACH-000364,-0.118972892547
ACH-000365,-0.206980786892
ACH-000366,-0.0700458919573
ACH-000368,0.0009460808397189999
ACH-000374,-0.267078297455
ACH-000375,0.0235771529648
ACH-000376,-0.17662979151
ACH-000381,-0.0310411993983
ACH-000383,-0.152945481884
ACH-000387,-0.130455194917
ACH-000389,-0.131699631358
ACH-000390,-0.145480353449
ACH-000393,-0.328674485285
ACH-000395,-0.177199776619
ACH-000397,-0.247836064752
ACH-000401,-0.124145423989
ACH-000402,0.311294053805
ACH-000403,-0.38130893538099997
ACH-000404,-0.20508839489
ACH-000406,-0.0644962426481
ACH-000407,0.0942670225398
ACH-000408,-0.124971627237
ACH-000410,-0.0446997304502
ACH-000411,-0.11233980685799999
ACH-000414,-0.294724480475
ACH-000415,-0.140229380289
ACH-000416,-0.036526176568
ACH-000420,-0.0962170200079
ACH-000421,0.00670399392814
ACH-000424,0.0346150708581
ACH-000425,-0.0134480422445
ACH-000426,-0.232086787695
ACH-000427,-0.478710146944
ACH-000433,-0.435003897175
ACH-000436,-0.0764924715103
ACH-000444,-0.198550387351
ACH-000445,-0.152350637425
ACH-000448,-0.35556668713600004
ACH-000450,-0.433101826016
ACH-000452,-0.269174127067
ACH-000454,-0.322198532271
ACH-000458,-0.256502409374
ACH-000459,-0.169145292833
ACH-000460,-0.20677552194899998
ACH-000461,-0.112643809507
ACH-000463,-0.0736718550722
ACH-000464,-0.029416556793200002
ACH-000466,-0.207824867768
ACH-000467,-0.08726701789920001
ACH-000468,-0.00138413441514
ACH-000469,-0.36372205543700004
ACH-000470,-0.11597719177999999
ACH-000471,-0.17067443618099998
ACH-000472,-0.123075377929
ACH-000473,-0.121519478387
ACH-000475,-0.153789739552
ACH-000476,0.0596497037959
ACH-000477,-0.454699541351
ACH-000480,-0.0296723749549
ACH-000481,-0.0516413743078
ACH-000483,-0.0687109173135
ACH-000484,0.175132825992
ACH-000485,-0.23793857689800002
ACH-000486,-0.329620200596
ACH-000487,-0.514452567905
ACH-000488,-0.208648641186
ACH-000490,-0.252936465493
ACH-000491,-0.148134027498
ACH-000495,-0.36375725459299996
ACH-000496,-0.14604342435599998
ACH-000499,-0.174875026729
ACH-000500,0.163233876799
ACH-000502,-0.17612863771499998
ACH-000503,-0.31843184650199996
ACH-000505,-0.0825866358145
ACH-000507,-0.16645785105
ACH-000510,-0.0757889932839
ACH-000511,-0.341403592207
ACH-000512,-0.550460308318
ACH-000516,-0.304314461478
ACH-000517,-0.287287894463
ACH-000518,-0.131794383613
ACH-000520,-0.11865564064300001
ACH-000521,-0.293196720439
ACH-000522,-0.0837907143369
ACH-000524,-0.422274564177
ACH-000527,-0.09505211059689998
ACH-000528,-0.201994869387
ACH-000537,-0.0510151035372
ACH-000541,0.07372584244139999
ACH-000542,-0.136838547054
ACH-000544,-0.222114400757
ACH-000545,-0.38205936229000004
ACH-000547,-0.253889375107
ACH-000548,-0.19479159002399998
ACH-000549,-0.214605455661
ACH-000550,-0.190731220674
ACH-000552,-0.0686428014167
ACH-000556,-0.10794074959899999
ACH-000557,-0.0663788227962
ACH-000570,0.06615772630359999
ACH-000571,-0.263017847186
ACH-000573,-0.0535858699993
ACH-000576,-0.202287546615
ACH-000580,-0.118305029177
ACH-000584,-0.201235605586
ACH-000585,-0.37899126483
ACH-000588,0.038995621749
ACH-000589,-0.193307351013
ACH-000591,-0.122216193639
ACH-000593,-0.138469806307
ACH-000600,-0.30603639886
ACH-000601,-0.20391809091899998
ACH-000604,-0.471150200726
ACH-000605,-0.24486901725699997
ACH-000606,-0.311839578627
ACH-000608,-0.167580779026
ACH-000614,-0.17756920115
ACH-000616,0.104997498023
ACH-000618,-0.334315487924
ACH-000619,-0.413255577478
ACH-000620,-0.0780576563146
ACH-000621,-0.105654481519
ACH-000622,-0.368299500171
ACH-000623,-0.0516233310566
ACH-000624,-0.089908102692
ACH-000627,-0.060073665783599996
ACH-000630,-0.323490150333
ACH-000632,-0.239904768391
ACH-000633,-0.0193845155374
ACH-000637,-0.235447226842
