,AGER (177)
ACH-000004,0.118718905879
ACH-000007,0.09708075116460001
ACH-000009,0.08969756239610001
ACH-000011,0.277885868631
ACH-000012,0.20205850552700003
ACH-000013,0.0800633180197
ACH-000014,0.139906050965
ACH-000015,0.183380732253
ACH-000017,0.24013736056200002
ACH-000018,0.125543203112
ACH-000019,0.16418077966800002
ACH-000021,0.0838557720338
ACH-000022,0.08982020105630001
ACH-000025,0.216593922701
ACH-000028,-0.0175944563062
ACH-000030,0.120873874689
ACH-000035,0.22927285864
ACH-000036,0.120047930132
ACH-000037,0.09912966438349999
ACH-000039,-0.00842311292416
ACH-000040,0.0605644759162
ACH-000041,0.108315795632
ACH-000042,0.0406206589331
ACH-000045,0.04619191394719999
ACH-000047,0.149231238862
ACH-000052,0.231713617229
ACH-000053,0.0439933388944
ACH-000054,0.0546730105333
ACH-000055,0.222786329188
ACH-000060,0.0582720084911
ACH-000067,0.0712536140526
ACH-000070,0.106992625252
ACH-000075,0.0176992284156
ACH-000078,0.041615341084300005
ACH-000082,-0.0337491221895
ACH-000085,0.07540144877010001
ACH-000086,0.16061168172499998
ACH-000087,0.310967206987
ACH-000092,0.21087944515
ACH-000095,-0.00145124486049
ACH-000097,0.0514528309095
ACH-000098,0.111525414147
ACH-000099,0.105939886028
ACH-000108,0.136841072659
ACH-000113,-0.0452789799297
ACH-000115,0.143977145172
ACH-000116,0.13034436589099999
ACH-000118,0.270955404685
ACH-000120,0.227729586314
ACH-000123,0.0555307026018
ACH-000127,0.050134163683699995
ACH-000128,-0.155821253667
ACH-000132,0.131074648716
ACH-000133,0.0854916079765
ACH-000137,0.10154824161800001
ACH-000138,0.125965506915
ACH-000142,0.149609780547
ACH-000143,0.19605915362
ACH-000146,-0.0182122940659
ACH-000148,0.18774060684399999
ACH-000150,0.142972261771
ACH-000152,0.00987230957459
ACH-000153,0.08029480255
ACH-000159,0.0391654056424
ACH-000160,0.146789026424
ACH-000163,0.263261969654
ACH-000167,0.13856029586899998
ACH-000168,0.00812451050729
ACH-000169,-0.00439894647114
ACH-000178,0.17433947798500002
ACH-000182,0.14915405041899998
ACH-000183,0.092319192913
ACH-000188,0.048540608086099994
ACH-000189,0.143697914259
ACH-000190,0.0935073098902
ACH-000198,0.0138965835518
ACH-000204,-0.0116250031595
ACH-000206,0.224763617414
ACH-000207,0.0161348201324
ACH-000211,0.0455974792256
ACH-000215,0.11281585897
ACH-000221,0.10144631868699999
ACH-000222,0.220273691609
ACH-000223,0.15514972887700001
ACH-000226,-0.0043949270964600004
ACH-000227,0.23187813103100002
ACH-000228,0.0015128763089400001
ACH-000231,0.12283787018100001
ACH-000232,0.20593543958299998
ACH-000233,0.07460539968489999
ACH-000234,0.025016391942599997
ACH-000235,0.152905031746
ACH-000237,0.14818016644999998
ACH-000238,0.155010758119
ACH-000243,0.07996236659030001
ACH-000244,0.30208509375799997
ACH-000246,0.220390365064
ACH-000248,0.09513827255619998
ACH-000250,0.052437619957099994
ACH-000251,0.307745868261
ACH-000253,0.16162997418
ACH-000255,0.142287951212
ACH-000256,0.369057654086
ACH-000257,0.150377430078
ACH-000258,0.149473639771
ACH-000259,0.0746139251304
ACH-000260,0.108917863425
ACH-000261,0.0233192644077
ACH-000262,0.112110150474
ACH-000263,0.265482391882
ACH-000264,0.14767613894
ACH-000265,0.13551369255999998
ACH-000266,0.0677064175376
ACH-000272,0.026649608688
ACH-000273,0.17963908309
ACH-000274,0.20311924802099998
ACH-000277,0.221751458066
ACH-000278,0.222632152327
ACH-000279,0.0416544517067
ACH-000280,0.08674539405480002
ACH-000281,-0.028443669632200002
