,HIST1H4L (8368)
ACH-000004,-0.045965294457099994
ACH-000007,-0.184555634821
ACH-000009,0.12021312120699999
ACH-000011,-0.453957254235
ACH-000012,-0.098447477161
ACH-000013,-0.12261274657099999
ACH-000014,-0.30965345098200003
ACH-000015,-0.117360105942
ACH-000017,-0.06458688339560001
ACH-000018,-0.140391156575
ACH-000019,0.019909841131099996
ACH-000021,-0.149263731352
ACH-000022,-0.196110942061
ACH-000025,-0.0553682414861
ACH-000028,-0.151039721171
ACH-000030,-0.106152862424
ACH-000035,-0.351382509243
ACH-000036,-0.29152524910100003
ACH-000037,0.141054654912
ACH-000039,-0.038270040741199995
ACH-000040,-0.0750903568982
ACH-000041,-0.200021877819
ACH-000042,-0.000718871942238
ACH-000045,-0.203621838794
ACH-000047,-0.197270851567
ACH-000052,-0.00317231554748
ACH-000053,-0.133183137904
ACH-000054,-0.0737868616203
ACH-000055,-0.249431833721
ACH-000060,-0.303380204378
ACH-000067,-0.09058806799930001
ACH-000070,-0.189334833913
ACH-000075,-0.171752912043
ACH-000078,-0.264552513508
ACH-000082,-0.283775508319
ACH-000085,-0.239449298453
ACH-000086,-0.18518746651
ACH-000087,-0.485559102922
ACH-000092,-0.000760508813601
ACH-000095,-0.205803157593
ACH-000097,-0.073797522633
ACH-000098,-0.236269722122
ACH-000099,-0.153182899546
ACH-000108,-0.110367812195
ACH-000113,-0.294799942587
ACH-000115,-0.6885706992589999
ACH-000116,-0.22364368934300002
ACH-000118,-0.243586009605
ACH-000120,-0.174276945965
ACH-000123,-0.037469669186599996
ACH-000127,-0.165342956437
ACH-000128,0.00881187752383
ACH-000132,-0.16437121451
ACH-000133,-0.0795079170384
ACH-000137,-0.303381319978
ACH-000138,-0.187678056629
ACH-000142,-0.172346734025
ACH-000143,-0.0467127567561
ACH-000146,0.0050979188552299996
ACH-000148,-0.12282423482
ACH-000150,-0.12381306201199999
ACH-000152,-0.210376725185
ACH-000153,-0.507951696577
ACH-000159,-0.0456154079321
ACH-000160,-0.201854780663
ACH-000163,-0.18629179929200002
ACH-000167,0.40620943699400003
ACH-000168,-0.223089177092
ACH-000169,-0.284992765514
ACH-000178,-0.229507406182
ACH-000182,-0.106046692124
ACH-000183,-0.108326673655
ACH-000188,-0.309987186057
ACH-000189,-0.130897206305
ACH-000190,-0.059598241066699996
ACH-000198,-0.260325412722
ACH-000204,0.0523025225306
ACH-000206,-0.45961328642399996
ACH-000207,-0.535086329043
