,SMPD3 (55512)
ACH-000004,-0.179842000139
ACH-000007,-0.199500994131
ACH-000009,-0.11573348172499999
ACH-000011,-0.192440381615
ACH-000012,-0.44836179724299996
ACH-000013,-0.316164535277
ACH-000014,-0.207484925952
ACH-000015,-0.19517919012600002
ACH-000017,-0.23157401519
ACH-000018,0.0423991218133
ACH-000019,-0.13978477987500001
ACH-000021,-0.403554427279
ACH-000022,-0.28297396389
ACH-000025,-0.371342664969
ACH-000028,-0.18172673425900002
ACH-000030,-0.19991159860899999
ACH-000035,-0.2732428196
ACH-000036,-0.12723340855999998
ACH-000037,-0.43509923192
ACH-000039,-0.24526568723499997
ACH-000040,-0.287202002055
ACH-000041,-0.10309958523900001
ACH-000042,-0.376824754697
ACH-000045,-0.162066783606
ACH-000047,-0.205387347395
ACH-000052,-0.516581763458
ACH-000053,-0.269129341254
ACH-000054,-0.36642489521300003
ACH-000055,0.0638415539749
ACH-000060,-0.159221348163
ACH-000067,-0.276449154452
ACH-000070,-0.338416471984
ACH-000075,-0.275628041849
ACH-000078,-0.185886760133
ACH-000082,-0.310812537733
ACH-000085,-0.26681416228300003
ACH-000086,-0.260903286747
ACH-000087,-0.117755332346
ACH-000092,-0.34056949765199995
ACH-000095,-0.330118627785
ACH-000097,-0.187159841276
ACH-000098,-0.30809078536
ACH-000099,-0.38850343050999997
ACH-000108,-0.228308859059
ACH-000113,-0.375442991842
ACH-000115,-0.233677030726
ACH-000116,-0.167873051774
ACH-000118,-0.298283016222
ACH-000120,-0.345251108014
ACH-000123,-0.329822106688
ACH-000127,-0.324798945737
ACH-000128,-0.145687895893
ACH-000132,-0.524038907216
ACH-000133,-0.330150478158
ACH-000137,-0.34517100892200003
ACH-000138,-0.227194119345
ACH-000142,-0.464003266119
ACH-000143,-0.118287541988
ACH-000146,-0.10187260812599999
ACH-000148,-0.258625705977
ACH-000150,-0.345147173738
ACH-000152,-0.25750834135699996
ACH-000153,-0.12671913280400002
ACH-000159,-0.220539017781
ACH-000160,-0.255541809104
ACH-000163,0.021077144172799996
ACH-000167,-0.0626542893541
ACH-000168,-0.247831872957
ACH-000169,-0.056496977475100005
ACH-000178,-0.29572706267
ACH-000182,-0.42340216020800003
ACH-000183,-0.297421131114
ACH-000188,-0.32637979842799997
ACH-000189,-0.12684199220200001
ACH-000190,-0.430248916905
ACH-000198,-0.198278842737
ACH-000204,-0.636053211186
ACH-000206,-0.184394459541
ACH-000207,-0.178870382938
ACH-000211,-0.402719234309
ACH-000215,-0.202426360399
ACH-000221,-0.289577760982
ACH-000222,-0.612676402665
ACH-000223,-0.332503243929
ACH-000226,-0.152996546781
ACH-000227,-0.414258890673
ACH-000228,-0.307185009893
ACH-000231,-0.238478686389
ACH-000232,-0.34957780859300003
ACH-000233,-0.267220934601
ACH-000234,-0.342998997868
ACH-000235,-0.300990724064
ACH-000237,-0.20992664906800002
ACH-000238,-0.439874191602
ACH-000243,-0.25345396607799997
ACH-000244,-0.213692788345
ACH-000246,-0.21243131751
ACH-000248,-0.42790005932400005
ACH-000250,-0.24650402809500002
ACH-000251,-0.29904558318700003
ACH-000253,-0.366525270563
ACH-000255,-0.021416621796300002
ACH-000256,-0.204798485176
ACH-000257,-0.165395557779
ACH-000258,-0.396524431269
ACH-000259,-0.266449368415
ACH-000260,-0.144190787117
ACH-000261,-0.29344053093
ACH-000262,-0.25922163172400003
ACH-000263,-0.52049545512
ACH-000264,-0.19389507285799998
ACH-000265,-0.086932069051
ACH-000266,-0.320442670057
ACH-000272,-0.29134097558
ACH-000273,-0.133261708773
ACH-000274,-0.295287764936
ACH-000277,-0.170155082236
ACH-000278,-0.113048578973
ACH-000279,-0.36750059063900004
ACH-000280,-0.197749034772
ACH-000281,-0.414291709066
ACH-000288,-0.34567731454800005
ACH-000291,-0.212514148649
ACH-000293,-0.058275669317800004
ACH-000294,-0.402172206878
ACH-000295,-0.31805943543000004
ACH-000296,-0.11776186555099999
ACH-000302,0.0101636266666
ACH-000304,-0.383156137498
ACH-000307,-0.322405703849
ACH-000308,-0.300803301242
ACH-000310,-0.376864706839
ACH-000311,-0.20067089822200002
ACH-000312,-0.26419874417800004
ACH-000315,-0.195240305689
ACH-000316,-0.194644580462
ACH-000317,-0.10923259652799999
ACH-000318,-0.13268071278
ACH-000319,-0.20322528872200002
ACH-000320,-0.410963935411
ACH-000322,-0.437866996083
ACH-000323,-0.234062427215
ACH-000324,-0.15272739517699999
ACH-000329,-0.206891770974
ACH-000330,-0.31514717611
ACH-000331,-0.0486632272824
ACH-000332,-0.23454214550500002
ACH-000334,-0.312763326397
ACH-000335,-0.206486834754
ACH-000336,-0.34749661546599997
ACH-000337,-0.378526653652
ACH-000339,-0.33714217743299996
ACH-000341,-0.0221949607093
ACH-000348,-0.179879919305
ACH-000350,-0.331011119578
ACH-000352,-0.100833805516
ACH-000356,-0.199324760309
ACH-000361,-0.13897780457
ACH-000362,-0.248523934852
ACH-000363,-0.250610704162
ACH-000364,-0.04901160678640001
ACH-000365,-0.21198880851399998
ACH-000366,-0.111332750401
ACH-000368,-0.308361462017
ACH-000374,-0.250382593599
ACH-000375,-0.45940840964199997
ACH-000376,-0.146300622178
ACH-000381,-0.360341404665
ACH-000383,-0.19056379112799998
ACH-000387,-0.397076398378
ACH-000389,-0.198150876885
ACH-000390,-0.25147840819600004
ACH-000393,-0.15580467941099999
ACH-000395,-0.13576303803200002
ACH-000397,-0.172574572711
ACH-000401,-0.176721371585
ACH-000402,-0.293215533109
ACH-000403,-0.36264138791699996
ACH-000404,-0.0178125721057
ACH-000406,-0.152037752125
ACH-000407,-0.203404095968
ACH-000408,-0.420573313803
ACH-000410,-0.128235302847
ACH-000411,-0.23634562370999998
ACH-000414,-0.24947255071199997
ACH-000415,-0.23834232663899999
ACH-000416,-0.461339355625
ACH-000420,-0.16859158524700002
ACH-000421,-0.237627381246
ACH-000424,-0.261924517033
ACH-000425,-0.243975067616
ACH-000426,-0.0033552038457399995
ACH-000427,-0.6001972481800001
ACH-000433,-0.162005199981
ACH-000436,-0.348447215643
ACH-000444,-0.198959288254
ACH-000445,-0.27777489144699996
ACH-000448,-0.32507370906399996
ACH-000450,-0.113221787541
ACH-000452,-0.135895083467
ACH-000454,-0.263356535113
ACH-000458,-0.331941288653
ACH-000459,0.288871042447
ACH-000460,-0.21112911861900002
ACH-000461,-0.139374063313
ACH-000463,-0.343342511422
ACH-000464,-0.241907859157
ACH-000466,-0.33937205850599994
ACH-000467,-0.110657266876
ACH-000468,-0.394893817438
ACH-000469,-0.44778374417499994
ACH-000470,-0.244428553103
ACH-000471,-0.230736060686
ACH-000472,-0.27917279676
ACH-000473,-0.162689025435
ACH-000475,-0.341501253023
ACH-000476,-0.28422332341400003
ACH-000477,-0.12021405070800001
ACH-000480,-0.247601293847
ACH-000481,-0.16403434336300002
ACH-000483,-0.24325351293400002
ACH-000484,-0.7294924322759999
ACH-000485,-0.38061118122500004
ACH-000486,-0.15834690724300002
ACH-000487,-0.18722571814599998
ACH-000488,-0.233034221904
ACH-000490,-0.10936683673
ACH-000491,-0.328211841037
ACH-000495,-0.354264391698
ACH-000496,-0.330949779268
ACH-000499,-0.328738973653
ACH-000500,-0.111771265039
ACH-000502,-0.37103105464100006
ACH-000503,-0.225452224524
ACH-000505,-0.376957176303
ACH-000507,-0.216214431512
ACH-000510,-0.195202263041
ACH-000511,-0.34407273398500005
ACH-000512,-0.34877993148599995
ACH-000516,-0.37547055478
ACH-000517,-0.315877245205
ACH-000518,-0.245302777877
ACH-000520,-0.291261881013
ACH-000521,-0.385077631743
ACH-000522,-0.5349614950630001
ACH-000524,-0.240262719895
ACH-000527,-0.1573072584
ACH-000528,-0.337534073156
ACH-000537,-0.27372760344700003
ACH-000541,-0.677890652809
ACH-000542,-0.257130988193
ACH-000544,-0.244683960677
ACH-000545,-0.269836896034
ACH-000547,0.292963072862
ACH-000548,-0.610481216216
ACH-000549,-0.193909188446
ACH-000550,-0.643312748136
ACH-000552,-0.19204043266399998
ACH-000556,-0.385669977573
