,RAB5A (5868)
ACH-000004,-0.082882653387
ACH-000007,0.285456831309
ACH-000009,-0.00801226660849
ACH-000011,0.055581989599199993
ACH-000012,0.125583761056
ACH-000013,0.0780899451641
ACH-000014,7.51033490933e-05
ACH-000015,-0.104447795328
ACH-000017,0.08461251646510001
ACH-000018,0.078777265847
ACH-000019,0.209969066481
ACH-000021,-0.0990005545703
ACH-000022,-0.13042182756100001
ACH-000025,-0.140769993833
ACH-000028,0.0021396972887
ACH-000030,0.0438335339576
ACH-000035,0.122633512403
ACH-000036,0.20073604952500002
ACH-000037,0.212884235274
ACH-000039,-0.114236353137
ACH-000040,-0.157248795327
ACH-000041,-0.229593777469
ACH-000042,0.0071828692737100006
ACH-000045,-0.052111129802
ACH-000047,0.108192959888
ACH-000052,-0.290889712433
ACH-000053,0.122464337332
ACH-000054,-0.048853739318500004
ACH-000055,0.0521953259083
ACH-000060,0.0214452643385
ACH-000067,0.0298871574265
ACH-000070,0.0436806281424
ACH-000075,-0.050406460193499994
ACH-000078,0.0798910397877
ACH-000082,-0.00535535679795
ACH-000085,0.060113820529500005
ACH-000086,0.055213367227300005
ACH-000087,-0.122591661403
ACH-000092,0.040037594913
ACH-000095,-0.025728932457900002
ACH-000097,0.00717287508926
ACH-000098,-0.153222761427
ACH-000099,0.05267868684640001
ACH-000108,-0.00983011249528
ACH-000113,-0.0069192369453800005
ACH-000115,0.06801230676469999
ACH-000116,-0.12251404079700001
ACH-000118,0.116509051074
ACH-000120,0.21949663800900002
ACH-000123,-0.10435429919500001
ACH-000127,-0.00549009720171
ACH-000128,-0.0912166772271
ACH-000132,-0.0484512082082
ACH-000133,-0.0905108116037
ACH-000137,-0.030733768538
ACH-000138,0.0236969159423
ACH-000142,0.10372048253699999
ACH-000143,-0.0711381496512
ACH-000146,-0.0865666349485
ACH-000148,-0.0194989623127
ACH-000150,-0.0483171953431
ACH-000152,-0.173363184117
ACH-000153,0.0899505465348
ACH-000159,-0.009955614125219999
ACH-000160,-0.00928831440908
ACH-000163,-0.0292024377228
ACH-000167,-0.380385435241
ACH-000168,0.09610042219319999
ACH-000169,-0.059028675398900006
ACH-000178,0.122349946177
ACH-000182,0.0690307123668
ACH-000183,-0.0684320269972
ACH-000188,-0.042714500734199995
ACH-000189,-0.27239457289200003
ACH-000190,-0.033948274465999996
ACH-000198,0.0379653429704
ACH-000204,-0.150541624792
ACH-000206,-0.251993694285
ACH-000207,-0.060311069047999995
ACH-000211,-0.15470921341399999
ACH-000215,-0.137986393291
ACH-000221,-0.00994594692573
ACH-000222,-0.0686668530611
ACH-000223,-0.11109145856699999
ACH-000226,0.0763969612439
ACH-000227,0.046767718499300004
ACH-000228,-0.243137030521
ACH-000231,-0.019702778772799998
ACH-000232,0.038384946607199995
ACH-000233,-0.0172917976567
ACH-000234,-0.117987028195
ACH-000235,0.0169846851323
ACH-000237,-0.15332126249800002
ACH-000238,-0.0594736861195
ACH-000243,0.102339525002
ACH-000244,-0.207284310445
ACH-000246,-0.049772005801599996
