,LRRC16B (90668)
ACH-000004,-0.0454227593743
ACH-000007,-0.122758981671
ACH-000009,-0.250460183389
ACH-000011,-0.195521256972
ACH-000012,-0.182408268008
ACH-000013,-0.106503090651
ACH-000014,-0.195283735713
ACH-000015,-0.11801859193900001
ACH-000017,-0.36156484256399996
ACH-000018,-0.27250753954999996
ACH-000019,-0.283673150506
ACH-000021,-0.194625795706
ACH-000022,-0.17967688923900002
ACH-000025,-0.153745647217
ACH-000028,-0.237062977556
ACH-000030,-0.16982528542599998
ACH-000035,-0.19327611655699997
ACH-000036,-0.0743485780413
ACH-000037,-0.0390776256603
ACH-000039,-0.186391007534
ACH-000040,-0.023049945694
ACH-000041,-0.167857268954
ACH-000042,-0.0565747760191
ACH-000045,-0.0920243707976
ACH-000047,-0.303558301322
ACH-000052,-0.242949946415
ACH-000053,-0.071062723186
ACH-000054,-0.160186537284
ACH-000055,-0.0667600774468
ACH-000060,-0.23183383353300002
ACH-000067,-0.20439347829399998
ACH-000070,-0.19391654721299997
ACH-000075,-0.11677185167000001
ACH-000078,0.158695670052
ACH-000082,-0.0865041680453
ACH-000085,-0.22885724701699997
ACH-000086,-0.0704664307508
ACH-000087,-0.0278563136742
ACH-000092,-0.08603570692060002
ACH-000095,-0.0636185061338
ACH-000097,-0.218652478558
ACH-000098,-0.163630456006
ACH-000099,-0.09528130311460001
ACH-000108,-0.0120189021967
ACH-000113,-0.237991259008
ACH-000115,-0.250405819546
ACH-000116,-0.202698992461
ACH-000118,-0.233783687937
ACH-000120,-0.145009941286
ACH-000123,-0.10666399546
ACH-000127,-0.17657620491099998
ACH-000128,-0.18917901359
ACH-000132,0.0376537065258
ACH-000133,-0.0989898616581
ACH-000137,-0.18922892375199998
ACH-000138,-0.0784078251895
ACH-000142,-0.09301688863739999
ACH-000143,-0.0583676649254
ACH-000146,-0.11537264811100001
ACH-000148,-0.15209399397099999
ACH-000150,0.0448960739499
ACH-000152,-0.279250956429
ACH-000153,-0.162114242387
ACH-000159,-0.143324791986
ACH-000160,-0.411165365105
ACH-000163,-0.127072904263
ACH-000167,-0.37075869321800003
ACH-000168,-0.355348224374
ACH-000169,-0.21598381749499998
ACH-000178,-0.188737624322
ACH-000182,-0.17658058835299997
ACH-000183,-0.18213619580200002
ACH-000188,-0.0508153206359
ACH-000189,-0.390587388035
ACH-000190,-0.242629891414
ACH-000198,-0.179200857712
ACH-000204,-0.056693010266
ACH-000206,0.09263692406610001
ACH-000207,-0.196993420907
ACH-000211,-0.185262531648
ACH-000215,-0.218386104694
ACH-000221,-0.269351462847
ACH-000222,-0.0969411472415
ACH-000223,-0.137201408799
ACH-000226,-0.238772287707
ACH-000227,-0.18787274319000002
ACH-000228,-0.152329026672
ACH-000231,-0.164784276941
ACH-000232,-0.10353203538599999
ACH-000233,0.031106976466099997
ACH-000234,-0.041347464587
ACH-000235,-0.20758707635899998
ACH-000237,0.0461759385145
ACH-000238,-0.244190205251
ACH-000243,-0.181700150781
ACH-000244,-0.11971562902100001
ACH-000246,-0.150568570906
ACH-000248,-0.332177736657
ACH-000250,-0.24447467377300003
ACH-000251,0.0895359609903
ACH-000253,-0.177829629267
ACH-000255,-0.111752914723
ACH-000256,-0.007776684289449999
ACH-000257,-0.211004088
ACH-000258,0.119553341214
ACH-000259,-0.130022220898
ACH-000260,-0.055138891791000004
ACH-000261,-0.173442691383
ACH-000262,-0.25342808565499997
ACH-000263,0.204008846332
ACH-000264,-0.13716427472999998
ACH-000265,-0.142835312838
ACH-000266,-0.18843760600499998
ACH-000272,-0.156259996676
ACH-000273,0.0385782880289
ACH-000274,-0.0130125538302
ACH-000277,-0.015542491398100001
ACH-000278,-0.181103620567
ACH-000279,-0.166308185309
ACH-000280,-0.09840897354710001
ACH-000281,-0.09047309983889999
ACH-000288,-0.11968312429500001
ACH-000291,-0.09998025167649999
ACH-000293,-0.20624960375100002
ACH-000294,-0.137157647484
ACH-000295,0.157695793202
ACH-000296,-0.180268639274
ACH-000302,-0.045453273279400006
ACH-000304,0.0438076960975
ACH-000307,-0.230010501215
ACH-000308,0.00200898618017
ACH-000310,0.014164786138299999
ACH-000311,-0.246964618582
ACH-000312,-0.0352073925942
ACH-000315,-0.110845369334
ACH-000316,-0.0796097866363
ACH-000317,-0.119904771874
ACH-000318,-0.114267402697
ACH-000319,-0.18186917978599998
ACH-000320,0.0724369409174
ACH-000322,-0.166172007816
ACH-000323,0.006236882999729999
ACH-000324,-0.107710834505
ACH-000329,0.0282472151182
ACH-000330,-0.181753558662
ACH-000331,0.042289787928400005
ACH-000332,-0.10414048462600001
ACH-000334,-0.08950221733719999
ACH-000335,-0.263602882964
ACH-000336,-0.0825773408894
ACH-000337,-0.39072530381
ACH-000339,-0.11656535644000002
ACH-000341,-0.22135542498000002
ACH-000348,-0.17558259249000002
ACH-000350,-0.295146623863
ACH-000352,-0.115003095686
ACH-000356,-0.131151112071
ACH-000361,-0.037697508088300004
ACH-000362,0.0379826888295
ACH-000363,-0.0146477766161
ACH-000364,-0.23662572153
ACH-000365,-0.0283102502752
ACH-000366,-0.20590594721
ACH-000368,-0.0716668405524
ACH-000374,-0.0207269431627
ACH-000375,-0.0408296714905
ACH-000376,-0.229500957317
ACH-000381,-0.0530115527391
