,ATPIF1 (93974)
ACH-000004,-0.32648134586800004
ACH-000007,-0.277284630563
ACH-000009,-0.0188067094693
ACH-000011,-0.19940076006700003
ACH-000012,-0.270712106701
ACH-000013,-0.144593886097
ACH-000014,-0.20855847923
ACH-000015,-0.008311666162
ACH-000017,-0.046710628300700004
ACH-000018,-0.154401225774
ACH-000019,-0.0180472512119
ACH-000021,-0.09042929415789999
ACH-000022,0.00013279970481599998
ACH-000025,-0.24131487997900003
ACH-000028,-0.23172297078899998
ACH-000030,-0.18157327784000002
ACH-000035,-0.223321993618
ACH-000036,-0.0816932051891
ACH-000037,-0.290776780093
ACH-000039,-0.260762025854
ACH-000040,-0.33590793802100005
ACH-000041,-0.22768105531999996
ACH-000042,-0.167525719873
ACH-000045,-0.163493088722
ACH-000047,-0.278068374096
ACH-000052,0.157454741017
ACH-000053,-0.140697000874
ACH-000054,-0.220870724776
ACH-000055,-0.484458921686
ACH-000060,-0.309405688857
ACH-000067,-0.43376934214900004
ACH-000070,-0.196650633776
ACH-000075,-0.163551014602
ACH-000078,0.0451906617504
ACH-000082,-0.27923052214099997
ACH-000085,-0.469628952167
ACH-000086,-0.15057882403
ACH-000087,-0.263867279869
ACH-000092,-0.234582493034
ACH-000095,-0.18828229337000002
ACH-000097,-0.265614954543
ACH-000098,-0.28605686217099996
ACH-000099,-0.109902069784
ACH-000108,0.009592445487370002
ACH-000113,-0.0571044118712
ACH-000115,0.0152251106131
ACH-000116,-0.0793798627586
ACH-000118,-0.0916590056385
ACH-000120,-0.20418600245000001
ACH-000123,-0.133962128436
ACH-000127,0.00080332066657
ACH-000128,-0.17231514954399998
ACH-000132,-0.0923237105658
ACH-000133,-0.220184925295
ACH-000137,-0.487735518121
ACH-000138,-0.095393254703
ACH-000142,-0.13546824591700002
ACH-000143,-0.210171280993
ACH-000146,-0.174245442877
ACH-000148,-0.262965573486
ACH-000150,-0.5516183792939999
ACH-000152,-0.170053782698
ACH-000153,-0.390144210066
ACH-000159,-0.267647956958
ACH-000160,0.0776943993545
ACH-000163,-0.05361608545990001
ACH-000167,-0.225925292819
ACH-000168,-0.17962822734
ACH-000169,-0.434835488531
ACH-000178,-0.24710576063900003
ACH-000182,-0.19890555654599998
ACH-000183,-0.168713842148
ACH-000188,-0.078880719997
ACH-000189,0.197392016358
ACH-000190,-0.128570892773
ACH-000198,-0.239142770624
ACH-000204,-0.0103350403246
ACH-000206,-0.25614999163400004
ACH-000207,-0.178126428257
ACH-000211,0.0095519917768
ACH-000215,-0.251221076902
ACH-000221,-0.298012867003
ACH-000222,-0.057789509123300005
ACH-000223,-0.20090920359099998
ACH-000226,-0.28224155116099997
ACH-000227,-0.030614057133900002
