,S100A7A (338324)
ACH-000004,-0.09702469278090001
ACH-000007,0.138517976853
ACH-000009,-0.231448162948
ACH-000011,0.0348521995746
ACH-000012,-0.286146328809
ACH-000013,-0.08829076917439999
ACH-000014,-0.11092277396
ACH-000015,-0.143256585893
ACH-000017,-0.119817009435
ACH-000018,-0.19040849031399998
ACH-000019,-0.0161378054076
ACH-000021,-0.103939774386
ACH-000022,-0.320723549038
ACH-000025,-0.168479880299
ACH-000028,-0.145819647081
ACH-000030,-0.100517598765
ACH-000035,-0.0309879668169
ACH-000036,-0.216195633989
ACH-000037,0.09223158708760001
ACH-000039,0.0512166886503
ACH-000040,-0.15336229807
ACH-000041,0.06580623778559999
ACH-000042,-0.0610441949069
ACH-000045,-0.0531897299739
ACH-000047,-0.0844477455091
ACH-000052,-0.320874115338
ACH-000053,-0.0115702623406
ACH-000054,0.0469726571733
ACH-000055,-0.137429275041
ACH-000060,-0.116465130089
ACH-000067,-0.116228582852
ACH-000070,0.0069957211753
ACH-000075,0.106393048
ACH-000078,-0.0765767810632
ACH-000082,-0.0945452601565
ACH-000085,-0.10270374217700001
ACH-000086,-0.0756462002897
ACH-000087,0.007228882409149999
ACH-000092,-0.10814805410900001
ACH-000095,-0.133842264653
ACH-000097,-0.202401392151
ACH-000098,-0.138051373748
ACH-000099,-0.040624675709199996
ACH-000108,-0.11124425970999999
ACH-000113,-0.13086519740900002
ACH-000115,-0.0538124950083
ACH-000116,-0.0706949846649
ACH-000118,-0.10452191815999999
ACH-000120,-0.159496343907
ACH-000123,-0.138377235864
ACH-000127,-0.040198199607
ACH-000128,0.00101383419851
ACH-000132,0.0814060666947
ACH-000133,-0.178440883058
ACH-000137,-0.021122124691800002
ACH-000138,-0.107185442925
ACH-000142,-0.322320599258
ACH-000143,-0.209725152194
ACH-000146,-0.166241034879
ACH-000148,-0.202563064211
ACH-000150,-0.10559150952400001
ACH-000152,0.057815238757100006
ACH-000153,0.10762690572799999
ACH-000159,-0.145967764908
ACH-000160,0.11093856222300001
ACH-000163,-0.33820841097300003
ACH-000167,-0.04607154684669999
ACH-000168,-0.075284875663
ACH-000169,-0.0175359990097
ACH-000178,-0.0356579366402
ACH-000182,0.0659879999434
ACH-000183,-0.196952609529
ACH-000188,-0.196476248657
ACH-000189,0.0602701293372
ACH-000190,-0.129784211406
ACH-000198,-0.082315810135
ACH-000204,-0.604308588907
ACH-000206,-0.00980095154042
ACH-000207,-0.20743940754299997
ACH-000211,-0.13794511463099998
ACH-000215,-0.197083306276
ACH-000221,-0.0071879697702
