,CYB5B (80777)
ACH-000004,-0.946649241203
ACH-000007,0.0693706895493
ACH-000009,-0.699589910378
ACH-000011,-0.192291920915
ACH-000012,-0.35549845567
ACH-000013,-0.182818059996
ACH-000014,-0.8158771909
ACH-000015,-0.0793336772685
ACH-000017,-0.07823306324070001
ACH-000018,-0.900262223558
ACH-000019,-0.17998716764699998
ACH-000021,-0.243109426486
ACH-000022,0.006031785902600001
ACH-000025,-0.506753842181
ACH-000028,0.0370640912805
ACH-000030,-0.0812731258219
ACH-000035,-0.287907015785
ACH-000036,-0.283749744235
ACH-000037,-0.457043084546
ACH-000039,-0.145521643835
ACH-000040,-1.26536197883
ACH-000041,0.14959231187799998
ACH-000042,-0.267422431103
ACH-000045,-0.9789703082760001
ACH-000047,-0.547430280097
ACH-000052,-0.155900030228
ACH-000053,-0.360920732585
ACH-000054,-0.555163113825
ACH-000055,-0.16004900226500002
ACH-000060,0.0259698393661
ACH-000067,-0.149009396806
ACH-000070,-0.644945237731
ACH-000075,-0.126224002147
ACH-000078,-0.08172786295830001
ACH-000082,-0.0352906269918
ACH-000085,-0.481291770195
ACH-000086,-0.41503227752099997
ACH-000087,-0.0817556240773
ACH-000092,-0.427721415709
ACH-000095,0.127557249704
ACH-000097,-0.101383877127
ACH-000098,-1.15335429355
ACH-000099,-0.0792705585618
ACH-000108,-0.311229387821
ACH-000113,-0.456522358152
ACH-000115,-0.24348980057300001
ACH-000116,-0.051891937385999995
ACH-000118,-0.5933387268639999
ACH-000120,-0.104824373405
ACH-000123,-0.00909250972333
ACH-000127,-1.3039968432200002
ACH-000128,-0.21772425276500001
ACH-000132,-0.255315363807
ACH-000133,-0.20812801031199998
ACH-000137,0.148019669933
ACH-000138,-0.403566006675
ACH-000142,-0.33719423630999995
ACH-000143,-0.496346868606
ACH-000146,-0.740465070418
ACH-000148,-0.0952717624093
ACH-000150,-0.315414696439
ACH-000152,-0.007178182093200001
ACH-000153,-0.907797947008
ACH-000159,-0.0635416653036
ACH-000160,-0.160318060769
ACH-000163,-0.273031970004
ACH-000167,-0.152740298359
ACH-000168,-0.785899253211
ACH-000169,-1.0160712993
ACH-000178,-0.549617447764
ACH-000182,-0.6207689654899999
ACH-000183,-0.22900150289700003
ACH-000188,-0.39992795363300004
ACH-000189,-0.0425543431731
ACH-000190,-0.8585418911920001
ACH-000198,-0.759605630862
ACH-000204,0.0591633865362
ACH-000206,-0.551953800889
ACH-000207,-0.429328132585
ACH-000211,-0.048024481283099996
ACH-000215,-0.0143088027953
ACH-000221,-0.103277093405
ACH-000222,-0.289277282616
ACH-000223,-0.266916974864
ACH-000226,-0.43159329592699996
ACH-000227,-0.478768937501
ACH-000228,0.059514660462
ACH-000231,-0.18552156501800002
ACH-000232,-0.8326951202069999
ACH-000233,-1.32300768702
ACH-000234,-0.22519973351199998
ACH-000235,-0.19434806503199997
ACH-000237,-0.140486552184
ACH-000238,-0.145920202074
ACH-000243,-0.286535175458
ACH-000244,-0.2635011214
ACH-000246,0.029976480798400002
ACH-000248,-0.189309908
ACH-000250,-0.7455441261939999
ACH-000251,-0.780279188955
ACH-000253,-0.128492711777
ACH-000255,-0.0676482447007
ACH-000256,0.0279434559603
ACH-000257,-0.18004509773699998
ACH-000258,-0.118749949485
ACH-000259,-0.0257175899281
ACH-000260,0.04957611346969999
ACH-000261,-0.123541306462
ACH-000262,-0.934307429337
ACH-000263,-0.345691391438
ACH-000264,-0.13091836201999998
ACH-000265,-0.321661858425
ACH-000266,-0.31243274083
