,LRIF1 (55791)
ACH-000004,0.015132668137999999
ACH-000007,-0.25140137173599997
ACH-000009,-0.13785358457900002
ACH-000011,-0.281142803481
ACH-000012,-0.241313166898
ACH-000013,-0.189928537551
ACH-000014,-0.042623139081300006
ACH-000015,-0.20516752657200002
ACH-000017,-0.38673751857199995
ACH-000018,-0.118716239922
ACH-000019,-0.326547122001
ACH-000021,-0.276666265174
ACH-000022,-0.00359824013546
ACH-000025,-0.133895854487
ACH-000028,-0.47520329466899996
ACH-000030,-0.29055180001200004
ACH-000035,-0.204580638939
ACH-000036,-0.282743626048
ACH-000037,0.0512123891854
ACH-000039,-0.428393069372
ACH-000040,-0.366544702921
ACH-000041,-0.242001875895
ACH-000042,-0.193474641021
ACH-000045,-0.163550971698
ACH-000047,-0.273994161204
ACH-000052,-0.38523098876
ACH-000053,-0.09517872952569999
ACH-000054,-0.260250994402
ACH-000055,-0.0696121222835
ACH-000060,-0.343092770386
ACH-000067,-0.210423933172
ACH-000070,-0.053489565390800006
ACH-000075,-0.116556420683
ACH-000078,-0.19596036434099998
ACH-000082,-0.210711030095
ACH-000085,-0.172912272267
ACH-000086,-0.129866870479
ACH-000087,-0.198888880436
ACH-000092,-0.328165186018
ACH-000095,-0.21486168033199998
ACH-000097,-0.25613420180999996
ACH-000098,-0.14932134145
ACH-000099,-0.196519829751
ACH-000108,-0.162762775417
ACH-000113,-0.264162191639
ACH-000115,0.0190809146465
ACH-000116,-0.08355440910760001
ACH-000118,-0.269942593466
ACH-000120,-0.11635950848099999
ACH-000123,-0.339414307631
ACH-000127,-0.119806454218
ACH-000128,-0.234433797633
ACH-000132,-0.35517127776100005
ACH-000133,-0.14677237508899998
ACH-000137,-0.400898774243
ACH-000138,-0.15313659882300001
ACH-000142,-0.180482669816
ACH-000143,0.020227173614
ACH-000146,-0.23112248643000002
ACH-000148,-0.021214740172
ACH-000150,0.253255502276
ACH-000152,-0.174378456328
ACH-000153,-0.22535668793400002
ACH-000159,-0.269694391386
ACH-000160,-0.08885664169980001
ACH-000163,0.04201366341
ACH-000167,-0.381552034495
ACH-000168,-0.0236887909579
ACH-000169,-0.222453528646
ACH-000178,-0.152439834354
ACH-000182,-0.178603486074
ACH-000183,-0.149369436641
ACH-000188,-0.41477817016900004
ACH-000189,-0.0696753692435
ACH-000190,0.18839560536400002
ACH-000198,-0.22650739323600003
ACH-000204,-0.342614365867
ACH-000206,-0.0383871127127
ACH-000207,-0.492026894053
ACH-000211,-0.405986122048
ACH-000215,-0.17251276229200002
ACH-000221,-0.342137894737
ACH-000222,-0.227100861865
ACH-000223,-0.174615109807
ACH-000226,-0.166226578268
ACH-000227,-0.18275791457199997
ACH-000228,0.105310246108
ACH-000231,-0.36537194233000003
ACH-000232,-0.25212956158100003
ACH-000233,-0.204289460999
ACH-000234,-0.132617128108
ACH-000235,-0.226925172574
ACH-000237,-0.0744748551404
ACH-000238,-0.636399056906
ACH-000243,-0.22111894781
ACH-000244,0.0590760678097
ACH-000246,-0.220640218799
ACH-000248,-0.218138981286
ACH-000250,-0.284046815746
ACH-000251,-0.107138172354
ACH-000253,-0.110863739967
ACH-000255,-0.131415902965
ACH-000256,-0.201720730249
ACH-000257,-0.42174354087
ACH-000258,0.0541658762402
ACH-000259,-0.137933370989
ACH-000260,-0.022351627711
ACH-000261,-0.32686816613200004
ACH-000262,-0.005254234426930001
ACH-000263,-0.22751392118
ACH-000264,-0.124182799784
ACH-000265,-0.29963175950599996
ACH-000266,-0.364297622454
ACH-000272,-0.261624342346
ACH-000273,-0.00938338228973
ACH-000274,-0.221124005897
ACH-000277,-0.268908964989
ACH-000278,-0.114066168727
ACH-000279,-0.046026706692000006
ACH-000280,-0.23235549346099998
ACH-000281,-0.0371034015923
ACH-000288,-0.0983202438125
ACH-000291,-0.29259856012200003
ACH-000293,-0.340453488968
ACH-000294,-0.0780693242733
ACH-000295,-0.38846696032
ACH-000296,-0.512504020511
ACH-000302,-0.171463525836
ACH-000304,-0.40596366723099997
ACH-000307,-0.243374308036
ACH-000308,-0.403731147322
ACH-000310,-0.580880824239
ACH-000311,-0.288754832786
ACH-000312,-0.283673565395
ACH-000315,-0.0181256587942
ACH-000316,-0.0776148400128
ACH-000317,-0.366492610038
ACH-000318,-0.366301380943
ACH-000319,-0.27878603869699997
ACH-000320,-0.5524692834380001
ACH-000322,-0.123468394176
ACH-000323,-0.256910172176
ACH-000324,-0.227035019252
ACH-000329,-0.29271914951
ACH-000330,-0.334430134237
