,P4HA1 (5033)
ACH-000004,0.0202482127954
ACH-000007,0.23809529867499998
ACH-000009,0.108880087448
ACH-000011,0.0858828944754
ACH-000012,0.206876834138
ACH-000013,0.0816446091986
ACH-000014,0.08612789351849999
ACH-000015,0.118433989246
ACH-000017,0.17053589436500002
ACH-000018,-0.126874909145
ACH-000019,0.049092692253300006
ACH-000021,0.12734521282
ACH-000022,0.17586332108600003
ACH-000025,0.026426310267500003
ACH-000028,0.12173966230999998
ACH-000030,-0.157055189107
ACH-000035,-0.036173127423300006
ACH-000036,0.117528707008
ACH-000037,0.090552259534
ACH-000039,-0.021770764235799996
ACH-000040,0.0487708545419
ACH-000041,-0.0383331616871
ACH-000042,0.0638957670761
ACH-000045,0.11229774460999999
ACH-000047,0.0461397919453
ACH-000052,-0.103084085329
ACH-000053,0.10120031466700001
ACH-000054,0.142063068659
ACH-000055,0.341502329678
ACH-000060,-0.0155989956477
ACH-000067,-0.0199000475251
ACH-000070,0.242748099732
ACH-000075,0.23494833796700001
ACH-000078,0.14703518515300001
ACH-000082,0.14460669703600001
ACH-000085,0.07234280945419999
ACH-000086,-0.046902542042800005
ACH-000087,0.352091962774
ACH-000092,0.0811397258492
ACH-000095,0.07199183722310001
ACH-000097,0.0425130140568
ACH-000098,0.028935966480200002
ACH-000099,0.13650526372400001
ACH-000108,0.108023655533
ACH-000113,0.021330392648099997
ACH-000115,-0.198563358069
ACH-000116,0.0901946351384
ACH-000118,-0.029604933075200002
ACH-000120,0.048985302239199995
ACH-000123,0.163062373763
ACH-000127,0.237997398624
ACH-000128,0.210068719286
ACH-000132,0.18902520196800002
ACH-000133,-0.10594193203199999
ACH-000137,-0.025322957924
ACH-000138,0.10911631069700001
ACH-000142,0.116703729253
ACH-000143,0.0231338162678
ACH-000146,0.16811311560400002
ACH-000148,0.14695858173
ACH-000150,-0.09406655801539998
ACH-000152,0.06454776824490001
ACH-000153,0.051602223461600004
ACH-000159,0.07956493869419999
ACH-000160,0.537058232394
ACH-000163,-0.0160129660646
ACH-000167,0.609771146037
ACH-000168,0.186487037506
ACH-000169,-0.0119686813052
ACH-000178,0.144385561328
ACH-000182,0.105543506283
ACH-000183,-0.0317918143537
ACH-000188,0.0687511459414
ACH-000189,0.436270747439
ACH-000190,0.520248610188
ACH-000198,0.0427833859605
ACH-000204,0.08110114505169999
ACH-000206,0.0727556864258
ACH-000207,-0.000171644163085
ACH-000211,0.0169912790992
ACH-000215,0.043436778287399995
ACH-000221,0.0310602631759
ACH-000222,-0.0926893726217
ACH-000223,0.050679417720900004
ACH-000226,0.19574965031
ACH-000227,0.033612628648299996
ACH-000228,-0.147314455291
ACH-000231,-0.0806492060648
ACH-000232,0.140183108104
ACH-000233,-0.09020643115
ACH-000234,0.35041344909199995
ACH-000235,0.0990214887938
ACH-000237,0.144809756536
ACH-000238,-0.0265659449788
ACH-000243,0.141634183201
ACH-000244,0.033703184679
ACH-000246,0.16839282875300002
ACH-000248,0.12027214096
ACH-000250,0.000939326186009
ACH-000251,0.360506709139
ACH-000253,0.052980019231
