,MTRF1L (54516)
ACH-000004,0.0845673921075
ACH-000007,-0.156977687984
ACH-000009,-0.325480239818
ACH-000011,-0.16476652618899998
ACH-000012,-0.41978118856700003
ACH-000013,-0.643294074816
ACH-000014,-0.39442130543399995
ACH-000015,-0.239922226944
ACH-000017,-0.52860563831
ACH-000018,-0.660608565651
ACH-000019,-0.643460295294
ACH-000021,-0.479166974418
ACH-000022,-0.40671433752700004
ACH-000025,-0.37628977283299997
ACH-000028,-0.8503202053560001
ACH-000030,-0.394805104426
ACH-000035,-0.588999202339
ACH-000036,-0.0503429482616
ACH-000037,-0.396690488068
ACH-000039,-0.284056774003
ACH-000040,-0.300037196709
ACH-000041,-0.452618094927
ACH-000042,-0.0991664964967
ACH-000045,-0.215940352183
ACH-000047,-0.494181853602
ACH-000052,-0.176911780765
ACH-000053,-0.17826125999
ACH-000054,-0.314151108758
ACH-000055,-0.107693289518
ACH-000060,-0.471670254208
ACH-000067,-0.315107802751
ACH-000070,-0.288775999906
ACH-000075,-0.390892194375
ACH-000078,-0.500307507982
ACH-000082,-0.303066769101
ACH-000085,-0.17223869149999999
ACH-000086,-0.408128958103
ACH-000087,-0.5375301671720001
ACH-000092,-0.41248929175099996
ACH-000095,0.0095421614645
ACH-000097,-0.348652323146
ACH-000098,-0.313478304882
ACH-000099,-0.22581936333
ACH-000108,-0.192575918026
ACH-000113,-0.51404473345
ACH-000115,-0.08362863250130001
ACH-000116,-0.526628215907
ACH-000118,-0.809001453497
ACH-000120,-0.277891996651
ACH-000123,-0.30518621445300004
ACH-000127,-0.347933112942
ACH-000128,-0.561086501858
ACH-000132,-0.558624070112
ACH-000133,-0.20466971667300002
ACH-000137,-0.240729250407
ACH-000138,-0.538348242882
ACH-000142,-0.23836012941799997
ACH-000143,-0.288591266318
ACH-000146,-0.11478073009000002
ACH-000148,-0.394517044665
ACH-000150,-0.519620846911
ACH-000152,-0.08476095949939999
ACH-000153,-0.09092738511839998
ACH-000159,-0.367153095859
ACH-000160,-0.603225452801
ACH-000163,-0.39081139549099997
ACH-000167,-0.503145654489
ACH-000168,-0.18284446928
ACH-000169,-0.49045361089199996
ACH-000178,-0.39606399826399996
ACH-000182,-0.56809569596
ACH-000183,-0.39948160517399994
ACH-000188,-0.233313777744
ACH-000189,-0.354181856426
ACH-000190,-0.559607166573
ACH-000198,-0.192842895264
ACH-000204,-0.438418865078
ACH-000206,0.12322738117799999
ACH-000207,-0.550523184096
ACH-000211,-0.289424727279
ACH-000215,-0.533838746447
ACH-000221,-0.666405517446
ACH-000222,-0.231962115839
ACH-000223,-0.641768332554
ACH-000226,-0.0686762197411
ACH-000227,-0.401396595234
ACH-000228,-0.36466157849799996
ACH-000231,-0.138633057191
ACH-000232,-0.530622235992
ACH-000233,-0.532937165238
ACH-000234,-0.0445685606236
ACH-000235,-0.19005903360800003
ACH-000237,-0.0395011327868
ACH-000238,-0.351576641163
ACH-000243,-0.231737863462
ACH-000244,-0.49245105830799996
ACH-000246,-0.457792802206
ACH-000248,-0.732647677225
ACH-000250,-0.197962473446
ACH-000251,-0.605076871886
ACH-000253,-0.0977263606359
ACH-000255,-0.459546794159
ACH-000256,-0.166911075297
ACH-000257,-0.550546057376
ACH-000258,-0.14230012247
ACH-000259,-0.6200346512389999
ACH-000260,-0.309434383306
ACH-000261,-0.21011218864300002
ACH-000262,-0.539454656562
ACH-000263,-0.597136584115
ACH-000264,-0.25945929751999997
ACH-000265,-0.510731676294
ACH-000266,-0.218044365137
ACH-000272,-0.297429174771
ACH-000273,-0.353436187252
ACH-000274,-0.318418300872
ACH-000277,-0.240621350682
ACH-000278,-0.10594481994999999
ACH-000279,-0.363505614938
ACH-000280,-0.38308847704099996
ACH-000281,-0.440126108287
ACH-000288,-0.342681558638
ACH-000291,-0.46474698509400003
ACH-000293,-0.43913505231399996
ACH-000294,0.22545541577300002
ACH-000295,-0.0489700396385
ACH-000296,-0.031326547362900005
ACH-000302,-0.483038958704
ACH-000304,-0.42164157791699997
ACH-000307,-0.17114288278999998
ACH-000308,-0.309110126651
ACH-000310,0.049975090637300004
ACH-000311,-0.364283475961
ACH-000312,-0.24597958533000003
ACH-000315,-0.138562649264
ACH-000316,-0.24963776374699997
ACH-000317,-0.677467006964
ACH-000318,-0.457088198448
ACH-000319,-0.139450003611
ACH-000320,-0.334941312061
ACH-000322,-0.598156859344
ACH-000323,-0.498197041096
