,UPF2 (26019)
ACH-000004,-1.30816487825
ACH-000007,-1.1040781768
ACH-000009,-1.0411248633299999
ACH-000011,-0.881728774818
ACH-000012,-1.36503851252
ACH-000013,-1.31665212249
ACH-000014,-1.2468492229700001
ACH-000015,-1.17179128674
ACH-000017,-0.994121562537
ACH-000018,-1.21718853811
ACH-000019,-1.34185439763
ACH-000021,-1.3400296466
ACH-000022,-1.1974610216500001
ACH-000025,-1.12614710626
ACH-000028,-1.00641072898
ACH-000030,-1.11132868641
ACH-000035,-1.23888034667
ACH-000036,-1.16826710356
ACH-000037,-1.3265022663700001
ACH-000039,-0.90513103064
ACH-000040,-1.06502226242
ACH-000041,-1.20267606561
ACH-000042,-1.2005570348
ACH-000045,-1.1166530705500002
ACH-000047,-1.05824700965
ACH-000052,-1.24133383388
ACH-000053,-1.2629433755600001
ACH-000054,-1.06487823689
ACH-000055,-1.4816047074599998
ACH-000060,-0.758795362931
ACH-000067,-1.04111380241
ACH-000070,-0.8182674689149999
ACH-000075,-0.750069290402
ACH-000078,-1.30350839816
ACH-000082,-1.37096797831
ACH-000085,-1.24762575801
ACH-000086,-0.969769810149
ACH-000087,-1.21955699109
ACH-000092,-1.26557404271
ACH-000095,-1.26890139116
ACH-000097,-1.41654858641
ACH-000098,-1.0185443108399999
ACH-000099,-1.19119922471
ACH-000108,-1.2852004331
ACH-000113,-1.0552772332200002
ACH-000115,-1.07629951884
ACH-000116,-1.28461130396
ACH-000118,-1.06878710057
ACH-000120,-1.29564253859
ACH-000123,-0.9999670372589999
ACH-000127,-1.29550853632
ACH-000128,-0.877869198853
ACH-000132,-1.0886925940799999
ACH-000133,-1.0532720292
ACH-000137,-1.16399813934
ACH-000138,-1.1216326901
ACH-000142,-1.03847732524
ACH-000143,-0.970928479243
ACH-000146,-1.17693492969
ACH-000148,-1.1537825503799999
ACH-000150,-1.03944284519
ACH-000152,-1.0120436016399998
ACH-000153,-1.60142405712
ACH-000159,-1.06082553297
ACH-000160,-1.5481224094100001
ACH-000163,-0.9757364688
ACH-000167,-1.24545010532
ACH-000168,-1.14687880583
ACH-000169,-1.31465426169
ACH-000178,-1.24537460162
ACH-000182,-0.9093412389409999
ACH-000183,-0.997406853527
ACH-000188,-0.888896188312
ACH-000189,-1.19891470067
ACH-000190,-1.48506726603
ACH-000198,-1.2164688611399999
ACH-000204,-1.41821887448
ACH-000206,-1.06241025049
ACH-000207,-0.9919670437729999
ACH-000211,-0.98965230986
ACH-000215,-1.06347379655
ACH-000221,-0.893222056297
ACH-000222,-0.970751972309
ACH-000223,-1.19998857314
ACH-000226,-1.06094503006
ACH-000227,-1.5714474919699999
ACH-000228,-1.0182539913600002
ACH-000231,-0.829574029918
ACH-000232,-0.891460913494
ACH-000233,-1.08072476109
ACH-000234,-1.20114590032
ACH-000235,-0.9339780493340001
ACH-000237,-0.9543309952
ACH-000238,-1.23404328536
ACH-000243,-1.2144686097600002
ACH-000244,-0.890685902676
ACH-000246,-0.92648361832
ACH-000248,-1.20352494065
ACH-000250,-0.867479508537
ACH-000251,-1.20136361346
ACH-000253,-1.1657764789799998
ACH-000255,-0.855787013577
ACH-000256,-1.06371085496
ACH-000257,-1.17189404199
ACH-000258,-1.0441491706200001
ACH-000259,-1.2347723405500002
ACH-000260,-1.03335334423
ACH-000261,-1.1239363417200001
ACH-000262,-1.4464513483
ACH-000263,-0.902234692633
ACH-000264,-1.28053593603
ACH-000265,-1.0354496796100001
ACH-000266,-1.30550837206
ACH-000272,-1.20036819969
ACH-000273,-1.04841816369
ACH-000274,-1.67115956746
ACH-000277,-0.9410600253129999
ACH-000278,-0.8872507993529999
ACH-000279,-1.00911108717
ACH-000280,-1.22679652871
ACH-000281,-1.1317535853899998
ACH-000288,-1.03111774582
ACH-000291,-1.2646386835799999
ACH-000293,-1.2069283070399999
ACH-000294,-1.1559517966500001
ACH-000295,-0.680933287916
ACH-000296,-1.24528518882
ACH-000302,-1.13426508413
ACH-000304,-0.970641128945
ACH-000307,-0.930129519289
ACH-000308,-1.42863576551
ACH-000310,-1.23990243067
ACH-000311,-1.09018179372
ACH-000312,-1.17177141287
ACH-000315,-1.31215373622
ACH-000316,-1.0276560076
ACH-000317,-0.996422252432
ACH-000318,-1.3939336694100002
ACH-000319,-1.21712763219
ACH-000320,-1.14352172256
ACH-000322,-0.906533447428
ACH-000323,-1.08649806146
ACH-000324,-1.21617342027
ACH-000329,-0.88213579013
ACH-000330,-1.04286969894
ACH-000331,-1.17059084601
ACH-000332,-1.2963488354100001
ACH-000334,-1.2364548690100001
ACH-000335,-1.35356134568
ACH-000336,-1.15639309737
ACH-000337,-1.10638565025
ACH-000339,-0.796332801006
ACH-000341,-1.22490340075
ACH-000348,-1.11521237821
ACH-000350,-1.1176045177200002
ACH-000352,-0.995422110679
ACH-000356,-1.11319512469
ACH-000361,-1.19073868064
ACH-000362,-1.0412570410100002
ACH-000363,-1.13421846143
ACH-000364,-0.901067771123
ACH-000365,-1.0002964330600002
ACH-000366,-1.07655771734
ACH-000368,-1.48926153801
ACH-000374,-0.864162246799
ACH-000375,-1.0629913175799999
ACH-000376,-0.995201518777
ACH-000381,-1.18033897805
ACH-000383,-1.06418191219
ACH-000387,-1.07978091581
ACH-000389,-1.11088851863
ACH-000390,-1.36089974863
ACH-000393,-1.17835857304
ACH-000395,-0.782327583283
ACH-000397,-0.972831289587
ACH-000401,-1.03953819133
ACH-000402,-1.2522384225399998
ACH-000403,-1.33078625207
ACH-000404,-1.10126813382
ACH-000406,-1.16794038795
ACH-000407,-1.02944286375
ACH-000408,-0.9930616742139999
ACH-000410,-1.04002225144
ACH-000411,-1.09394261567
ACH-000414,-1.04868213917
ACH-000415,-1.04338467217
ACH-000416,-1.1078517725900001
ACH-000420,-0.8336134987720001
ACH-000421,-1.0651226222299999
ACH-000424,-1.24809497254
ACH-000425,-1.16824472596
ACH-000426,-1.21664927179
ACH-000427,-1.54561458807
