,PPIP5K2 (23262)
ACH-000004,-0.30050336916299997
ACH-000007,-0.174641861565
ACH-000009,-0.23646404548099997
ACH-000011,-0.25645031470699997
ACH-000012,-0.182012399191
ACH-000013,-0.2952224486
ACH-000014,-0.426400769005
ACH-000015,-0.403599201083
ACH-000017,-0.236882238662
ACH-000018,-0.42455040352
ACH-000019,-0.23295683345100002
ACH-000021,-0.504598293335
ACH-000022,-0.16766371445800002
ACH-000025,-0.526937093371
ACH-000028,-0.329016481784
ACH-000030,-0.274623317837
ACH-000035,-0.170911909766
ACH-000036,-0.311639134175
ACH-000037,-0.343429467025
ACH-000039,-0.506374579805
ACH-000040,-0.19151379495499998
ACH-000041,-0.269905074688
ACH-000042,-0.246477333699
ACH-000045,-0.42991104783100004
ACH-000047,-0.174817405233
ACH-000052,0.0191887580221
ACH-000053,-0.454570214252
ACH-000054,-0.23172435057100002
ACH-000055,-0.15092498336500001
ACH-000060,-0.226189287604
ACH-000067,-0.41090341485799997
ACH-000070,-0.241529632242
ACH-000075,-0.19025208728700002
ACH-000078,-0.7872459341570001
ACH-000082,-0.333480811454
ACH-000085,-0.147478680154
ACH-000086,-0.23726285043499998
ACH-000087,-0.27303769010699996
ACH-000092,-0.42842320641599996
ACH-000095,-0.238158579377
ACH-000097,0.166219466885
ACH-000098,-0.338168937957
ACH-000099,-0.317314450885
ACH-000108,-0.34471237058399995
ACH-000113,-0.776682996709
ACH-000115,-0.043380518744299996
ACH-000116,-0.129635719546
ACH-000118,-0.19784784217700002
ACH-000120,-0.196648390037
ACH-000123,-0.436825416082
ACH-000127,-0.0798044514786
ACH-000128,-0.32775931703899996
ACH-000132,-0.36875675782300005
ACH-000133,-0.307120483635
ACH-000137,-0.37399557871
ACH-000138,-0.34421631840899997
ACH-000142,-0.228200494401
ACH-000143,-0.323136279449
ACH-000146,-0.388854115414
ACH-000148,-0.344687880889
ACH-000150,-0.15972254955600002
ACH-000152,-0.28452558640500003
ACH-000153,-0.658758352656
ACH-000159,-0.32948045277800003
ACH-000160,-0.0538347824985
ACH-000163,-0.22705278956
ACH-000167,-0.384267152653
ACH-000168,-0.27220424422
ACH-000169,-0.142344098059
ACH-000178,-0.366056646341
ACH-000182,-0.145895839739
ACH-000183,-0.234312812393
ACH-000188,-0.121066950156
ACH-000189,-0.19859251336800002
ACH-000190,-0.263890796396
ACH-000198,-0.40946730558600003
ACH-000204,-0.0841060580638
ACH-000206,0.05290468427180001
ACH-000207,-0.12798046837500002
ACH-000211,-0.176653523781
ACH-000215,-0.17400133892499997
ACH-000221,-0.159786514923
ACH-000222,-0.397614565387
ACH-000223,-0.35131208119400004
ACH-000226,-0.114081219134
ACH-000227,-0.175584676924
ACH-000228,-0.0402308500091
ACH-000231,-0.08660332556230001
ACH-000232,-0.171404848833
ACH-000233,-0.07416509335810001
ACH-000234,-0.252822671641
ACH-000235,-0.317361616352
ACH-000237,-0.235214161402
ACH-000238,-0.29742243625
ACH-000243,-0.34506124206100003
ACH-000244,-0.0856459379555
ACH-000246,-0.380688960083
ACH-000248,-0.284484132382
ACH-000250,-0.41026141143
ACH-000251,-0.337895248985
ACH-000253,-0.008557436367300001
ACH-000255,-0.331460270526
ACH-000256,-0.247830872742
ACH-000257,-0.415015719212
ACH-000258,-0.309983617662
ACH-000259,-0.219229045216
ACH-000260,-0.336004435259
ACH-000261,-0.14677295824699998
ACH-000262,-0.252407851766
ACH-000263,-0.422195575044
ACH-000264,-0.15246169910399998
ACH-000265,-0.432726922019
ACH-000266,-0.315523062809
ACH-000272,-0.427109872624
ACH-000273,-0.337234518951
ACH-000274,-0.193032195047
ACH-000277,-0.032003786014900004
ACH-000278,-0.270855541922
ACH-000279,-0.29090007380800004
ACH-000280,-0.36579411134900003
ACH-000281,-0.202342439098
ACH-000288,-0.248595522948
ACH-000291,-0.180000616256
ACH-000293,-0.306522790057
ACH-000294,-0.498088206336
ACH-000295,0.041716515455
ACH-000296,-0.24634007141800002
ACH-000302,-0.480210608374
ACH-000304,-0.19938615272399998
ACH-000307,-0.229083441481
ACH-000308,-0.24816482614100002
ACH-000310,-0.36936172504500003
ACH-000311,-0.296293828865
ACH-000312,-0.306090339814
ACH-000315,-0.39313531877499996
ACH-000316,-0.08556160557089999
ACH-000317,-0.636927127355
ACH-000318,0.043319016596
ACH-000319,-0.36592533460500004
ACH-000320,-0.832339460943
ACH-000322,-0.131716717757
ACH-000323,-0.17867379653299997
ACH-000324,-0.198396542881
ACH-000329,-0.181133666189
ACH-000330,-0.18998710270999997
ACH-000331,-0.262071495879
ACH-000332,-0.204892042242
ACH-000334,-0.18530938248
ACH-000335,-0.219042871675
ACH-000336,0.0376195807234
ACH-000337,-0.175142132764
ACH-000339,-0.15420341483799999
ACH-000341,-0.471792730193
ACH-000348,-0.20389705233199998
ACH-000350,-0.343051182976
ACH-000352,-0.112694065761
ACH-000356,-0.3297691263
ACH-000361,-0.385164325305
ACH-000362,-0.194982884287
ACH-000363,-0.0829999692719
ACH-000364,-0.287283658479
ACH-000365,-0.277449962023
ACH-000366,-0.327482713083
ACH-000368,-0.423469843274
ACH-000374,-0.28631495652399996
ACH-000375,-0.387978317352
ACH-000376,-0.24347621418999998
ACH-000381,-0.231088302963
ACH-000383,-0.301286194337
ACH-000387,-0.37417160771499997
ACH-000389,-0.066084704969
ACH-000390,-0.259394503585
ACH-000393,-0.407084269755
ACH-000395,-0.314689741433
ACH-000397,-0.154742431626
ACH-000401,0.11156686989
ACH-000402,-0.018701226478799998
ACH-000403,-0.22550946833399999
ACH-000404,-0.0322848764475
ACH-000406,-0.37569981321999996
ACH-000407,-0.262914915041
ACH-000408,-0.169005003681
ACH-000410,-0.354458547324
ACH-000411,-0.0510976244811
