,ISCU (23479)
ACH-000004,-1.4839288915900002
ACH-000007,-1.33656008931
ACH-000009,-1.40092010564
ACH-000011,-1.08801592082
ACH-000012,-1.4305028517200002
ACH-000013,-1.43632374312
ACH-000014,-1.4446143281900001
ACH-000015,-1.23524417053
ACH-000017,-1.5587854088799997
ACH-000018,-1.51005449829
ACH-000019,-1.3757189029899999
ACH-000021,-1.1810184029100002
ACH-000022,-1.30372394473
ACH-000025,-1.54681843018
ACH-000028,-1.27742335196
ACH-000030,-1.37508408675
ACH-000035,-1.2972074967799998
ACH-000036,-1.6225486346
ACH-000037,-1.6636220743
ACH-000039,-1.5914385709399999
ACH-000040,-1.4472454152899998
ACH-000041,-1.10860124565
ACH-000042,-1.1695125439899998
ACH-000045,-1.55222816058
ACH-000047,-1.3055017076
ACH-000052,-1.33895866048
ACH-000053,-1.50930730151
ACH-000054,-1.6283421779700002
ACH-000055,-1.47987806636
ACH-000060,-1.38231811685
ACH-000067,-1.6450569562700001
ACH-000070,-1.7207385844999998
ACH-000075,-1.25932495359
ACH-000078,-1.77797983473
ACH-000082,-1.6554193214700001
ACH-000085,-1.4354841662399997
ACH-000086,-1.56893440754
ACH-000087,-1.4597510450100002
ACH-000092,-1.4599073983700002
ACH-000095,-1.5841196028400002
ACH-000097,-1.0960513725799998
ACH-000098,-1.70966974247
ACH-000099,-1.6033353082100001
ACH-000108,-1.12190008676
ACH-000113,-1.55324282785
ACH-000115,-1.29087263195
ACH-000116,-1.28393453219
ACH-000118,-1.0413146417399999
ACH-000120,-1.3480545634299999
ACH-000123,-1.36104958766
ACH-000127,-1.44789386975
ACH-000128,-1.5958769447299999
ACH-000132,-1.47948109896
ACH-000133,-1.5460056073100001
ACH-000137,-1.4455432894799998
ACH-000138,-1.1738434557600002
ACH-000142,-1.3922840558
ACH-000143,-1.4743748799599998
ACH-000146,-1.22443594248
ACH-000148,-1.52337415942
ACH-000150,-1.5601486334299999
ACH-000152,-1.3887565238
ACH-000153,-1.46465178467
ACH-000159,-1.48551791429
ACH-000160,-1.45594757486
ACH-000163,-1.3055208936799998
ACH-000167,-1.2826976218000001
ACH-000168,-1.38097929593
ACH-000169,-1.37013405761
ACH-000178,-1.4258272679
ACH-000182,-1.24423198362
ACH-000183,-1.5228978699899998
ACH-000188,-1.20555074334
ACH-000189,-1.36814684628
ACH-000190,-1.6128824220700002
ACH-000198,-1.4611645335699999
ACH-000204,-1.5047978398800002
ACH-000206,-1.30981410221
ACH-000207,-1.22800277419
ACH-000211,-1.46350588637
ACH-000215,-1.70382698014
ACH-000221,-1.4909399380500001
ACH-000222,-1.14331107874
ACH-000223,-1.48999665598
ACH-000226,-1.29155878909
ACH-000227,-1.8350007222099998
ACH-000228,-1.4701615423299998
ACH-000231,-1.5096316515600001
ACH-000232,-1.58804987125
ACH-000233,-1.60891903862
ACH-000234,-1.55346923565
ACH-000235,-1.3510261018599998
ACH-000237,-1.5205247154700001
ACH-000238,-1.1700668763600002
ACH-000243,-1.2010339339700002
ACH-000244,-1.6085447862200002
ACH-000246,-1.44455371051
ACH-000248,-1.62828258025
ACH-000250,-1.528893258
ACH-000251,-1.74992706275
ACH-000253,-1.34754635346
ACH-000255,-1.1189600688899999
ACH-000256,-1.3696659657899999
ACH-000257,-1.79961335186
ACH-000258,-1.16212711955
ACH-000259,-1.33988115318
ACH-000260,-1.4134959337900002
ACH-000261,-1.56459144723
ACH-000262,-1.2541478330700002
ACH-000263,-1.6169253175100002
ACH-000264,-1.68922708035
ACH-000265,-1.0723723377299998
ACH-000266,-1.3513067439300002
ACH-000272,-1.44707301666
ACH-000273,-1.6242963206299998
ACH-000274,-1.66843761806
ACH-000277,-1.22831495745
ACH-000278,-1.28330841641
ACH-000279,-1.58097688335
ACH-000280,-1.2255706614200002
ACH-000281,-1.1878277558499999
ACH-000288,-1.6353536878400001
ACH-000291,-1.5869240759799998
ACH-000293,-1.52559519066
ACH-000294,-1.01957822429
ACH-000295,-1.5104780084399998
ACH-000296,-1.4098262656600002
ACH-000302,-1.62152301313
ACH-000304,-1.36350639864
ACH-000307,-1.27914552108
ACH-000308,-1.3808107357700001
ACH-000310,-1.39790617305
ACH-000311,-1.1898864766600001
ACH-000312,-1.32091771495
ACH-000315,-1.6559990436899998
ACH-000316,-1.28632979595
ACH-000317,-1.0437394875700001
ACH-000318,-1.45381824519
ACH-000319,-1.34739451131
ACH-000320,-1.46497591574
ACH-000322,-1.5145588273500001
ACH-000323,-1.5205114149099999
ACH-000324,-1.2834424041099999
ACH-000329,-1.49674716141
ACH-000330,-1.15719685081
ACH-000331,-1.13636857214
ACH-000332,-1.31031569711
ACH-000334,-1.50213865372
ACH-000335,-1.33624998588
ACH-000336,-1.2379499474
ACH-000337,-1.02136672879
ACH-000339,-1.36293107044
ACH-000341,-1.7373727400999999
ACH-000348,-1.3756462627500001
ACH-000350,-0.941294129697
ACH-000352,-1.27233714766
ACH-000356,-1.54617753011
ACH-000361,-1.17503844125
ACH-000362,-1.4598520256
ACH-000363,-1.6940869206400002
ACH-000364,-1.3557328466799998
ACH-000365,-1.6505080203100002
ACH-000366,-1.54462693365
ACH-000368,-1.44623024526
ACH-000374,-1.2435505516
ACH-000375,-1.41436076465
ACH-000376,-1.48553707606
ACH-000381,-1.24964472695
ACH-000383,-1.70885789519
