,HIPK1 (204851)
ACH-000004,-0.509040807604
ACH-000007,-0.262875251978
ACH-000009,-0.08013308962639999
ACH-000011,-0.053315093484500004
ACH-000012,-0.345528994167
ACH-000013,-0.291476883755
ACH-000014,-0.29959525766999995
ACH-000015,-0.298564516392
ACH-000017,-0.259880091471
ACH-000018,-0.38579431464599995
ACH-000019,-0.528661480214
ACH-000021,-0.274731590579
ACH-000022,-0.16444621219699998
ACH-000025,-0.41587268824600004
ACH-000028,-0.7251756769509999
ACH-000030,-0.323108597767
ACH-000035,-0.338482244133
ACH-000036,-0.530304111901
ACH-000037,-0.23641040614999997
ACH-000039,-0.282528057865
ACH-000040,-0.298775005534
ACH-000041,-0.326842324559
ACH-000042,-0.12021313633300001
ACH-000045,-0.07573092454080001
ACH-000047,-0.391548017743
ACH-000052,-0.49999751609899995
ACH-000053,-0.257621346902
ACH-000054,-0.321835306724
ACH-000055,-0.425455238797
ACH-000060,-0.7350003010639999
ACH-000067,-0.445724220611
ACH-000070,-0.321349909768
ACH-000075,-0.398848468181
ACH-000078,-0.546453542413
ACH-000082,-0.387119587196
ACH-000085,-0.44414832031
ACH-000086,-0.389994746083
ACH-000087,-0.31659575941199997
ACH-000092,-0.398276642013
ACH-000095,-0.174667117865
ACH-000097,-0.26234204968
ACH-000098,-0.33423918569899996
ACH-000099,-0.29358271711399997
ACH-000108,-0.0746301500034
ACH-000113,-0.278366227704
ACH-000115,-0.08356426697910001
ACH-000116,-0.504877509023
ACH-000118,-0.345940792042
ACH-000120,-0.270789996411
ACH-000123,-0.199680604752
ACH-000127,-0.46069895967200003
ACH-000128,-0.301008264155
ACH-000132,-0.321133282467
ACH-000133,-0.492199258465
ACH-000137,-0.381925955409
ACH-000138,-0.046568117565400004
ACH-000142,-0.468513291369
ACH-000143,-0.188156077281
ACH-000146,-0.375152935503
ACH-000148,-0.27312841486
ACH-000150,-0.107894192124
ACH-000152,-0.49146685608900004
ACH-000153,0.15437113334799998
ACH-000159,-0.337930005899
ACH-000160,-0.148098910718
ACH-000163,-0.342085576823
ACH-000167,-0.274533693574
ACH-000168,-0.30861002811099997
ACH-000169,-0.366775683249
ACH-000178,-0.11017916614
ACH-000182,-0.20613188572299998
ACH-000183,-0.420744219016
ACH-000188,-0.316942122093
ACH-000189,-0.683047793693
ACH-000190,-0.699056973974
ACH-000198,-0.33546003770599997
ACH-000204,-0.325648403049
ACH-000206,-0.38725514643200004
ACH-000207,-0.612952389252
ACH-000211,-0.227002281794
ACH-000215,-0.26832826419100003
ACH-000221,-0.35106163869
ACH-000222,0.0024606933131799996
ACH-000223,-0.348916432051
