,PDAP1 (11333)
ACH-000004,-0.8565248426700001
ACH-000007,-1.0921275028200002
ACH-000009,-1.3627787030899998
ACH-000011,-1.1887894445799998
ACH-000012,-0.93029959971
ACH-000013,-1.0246401969299999
ACH-000014,-1.3878365615900001
ACH-000015,-0.628172361499
ACH-000017,-1.2810737967899999
ACH-000018,-1.3129771524200002
ACH-000019,-0.6920840319930001
ACH-000021,-1.06098335975
ACH-000022,-1.1568811166600002
ACH-000025,-1.10453517464
ACH-000028,-1.00360774179
ACH-000030,-1.03098806711
ACH-000035,-1.0166469327299998
ACH-000036,-0.845377016165
ACH-000037,-1.30977510339
ACH-000039,-0.8246869869429999
ACH-000040,-1.05650245473
ACH-000041,-1.3846909889399999
ACH-000042,-1.31562002734
ACH-000045,-0.9901962745239999
ACH-000047,-1.1935520427200002
ACH-000052,-1.18457500906
ACH-000053,-0.8715890180660001
ACH-000054,-0.812056132524
ACH-000055,-1.01608712206
ACH-000060,-1.0513211518899999
ACH-000067,-1.3959132153
ACH-000070,-1.2035842410100002
ACH-000075,-0.705545968141
ACH-000078,-0.9529051810160001
ACH-000082,-1.23905012005
ACH-000085,-1.0505048509700001
ACH-000086,-0.977101946045
ACH-000087,-1.05408539153
ACH-000092,-0.869532609086
ACH-000095,-1.20872962309
ACH-000097,-1.1869895397
ACH-000098,-1.28885839707
ACH-000099,-1.2441537638299998
ACH-000108,-1.0881419916600001
ACH-000113,-1.0525556188299998
ACH-000115,-1.12075976343
ACH-000116,-0.8069257787090001
ACH-000118,-0.996674856778
ACH-000120,-1.2754877237200002
ACH-000123,-0.9295668635690001
ACH-000127,-1.24390547955
ACH-000128,-1.2816738404999999
ACH-000132,-1.4010632383000001
ACH-000133,-1.21552440181
ACH-000137,-1.0954547098899998
ACH-000138,-1.1810860220100001
ACH-000142,-1.171415626
ACH-000143,-1.3148335356899998
ACH-000146,-0.504988566348
ACH-000148,-1.02456059462
ACH-000150,-1.02759201609
ACH-000152,-0.995978749868
ACH-000153,-1.14532402091
ACH-000159,-1.0388353662799998
ACH-000160,-0.901025204394
ACH-000163,-0.909687298401
ACH-000167,-1.21412199266
ACH-000168,-1.10639916935
ACH-000169,-1.0738115631899998
ACH-000178,-1.02325904318
ACH-000182,-0.883879827019
ACH-000183,-0.936804424445
ACH-000188,-1.0187946536299999
ACH-000189,-0.982506341154
ACH-000190,-1.0835806779600001
ACH-000198,-1.00820899538
ACH-000204,-1.19277869333
ACH-000206,-0.802720421274
ACH-000207,-0.790909477764
ACH-000211,-1.1148080226000001
ACH-000215,-1.0974813804799999
ACH-000221,-1.12276205073
ACH-000222,-1.32254676464
ACH-000223,-0.9707249205349999
ACH-000226,-1.00775107444
ACH-000227,-1.23665985139
ACH-000228,-0.936255807718
ACH-000231,-0.961414423047
ACH-000232,-1.10205422941
ACH-000233,-0.943808364108
ACH-000234,-1.18807386178
ACH-000235,-1.13848949557
ACH-000237,-0.790465696587
ACH-000238,-1.2486566167200002
ACH-000243,-1.04057697573
ACH-000244,-0.799529941783
ACH-000246,-0.9345777624420001
ACH-000248,-1.12998699616
ACH-000250,-0.856104975823
ACH-000251,-1.23189820482
ACH-000253,-1.17464897327
ACH-000255,-0.932195307517
ACH-000256,-0.884419611038
ACH-000257,-0.9764118174809999
ACH-000258,-0.981816009803
ACH-000259,-1.5397319281900002
ACH-000260,-1.36296521502
ACH-000261,-1.04311115486
ACH-000262,-1.30377223027
ACH-000263,-1.3213515970799998
ACH-000264,-1.1373985904600001
ACH-000265,-0.960589916983
ACH-000266,-1.06911682379
ACH-000272,-1.0036494884
ACH-000273,-1.21217677403
ACH-000274,-0.851077630101
ACH-000277,-1.0313610368600001
ACH-000278,-0.858069151593
ACH-000279,-1.08322903581
ACH-000280,-1.5447900642399999
ACH-000281,-1.08908351574
ACH-000288,-1.21834458848
ACH-000291,-1.07889193253
ACH-000293,-1.29010312699
ACH-000294,-1.38711172229
ACH-000295,-0.725114059048
ACH-000296,-1.33292564091
ACH-000302,-0.722227070555
ACH-000304,-1.2370305467799998
ACH-000307,-1.22907441535
ACH-000308,-0.951144984528
ACH-000310,-0.970318544701
ACH-000311,-1.2431250955500002
ACH-000312,-1.24654411364
ACH-000315,-1.45771682868
ACH-000316,-1.2206268061499999
ACH-000317,-1.16903545125
ACH-000318,-1.34141116503
ACH-000319,-0.758113068997
ACH-000320,-1.4190727233899998
ACH-000322,-1.20075855063
ACH-000323,-0.9509950573799999
ACH-000324,-1.12478386937
ACH-000329,-0.762517176676
ACH-000330,-0.9396898548899999
ACH-000331,-1.07830009048
ACH-000332,-0.8775908334039999
ACH-000334,-1.24784174075
ACH-000335,-1.0262496190200001
ACH-000336,-0.914159732923
ACH-000337,-0.63001984266
ACH-000339,-0.807434479886
ACH-000341,-1.3980425954
ACH-000348,-0.935493083091
ACH-000350,-0.87210322092
ACH-000352,-1.1028713804299999
ACH-000356,-0.9135087601459999
ACH-000361,-0.9042023361
ACH-000362,-0.7064239191509999
ACH-000363,-0.729159423618
ACH-000364,-1.0756849268100002
ACH-000365,-1.18628769427
ACH-000366,-1.38448928372
ACH-000368,-1.1008670827399998
ACH-000374,-1.36683601444
ACH-000375,-1.2117881986
ACH-000376,-1.00334168255
ACH-000381,-1.17995142957
ACH-000383,-1.12745565688
ACH-000387,-1.10383470265
ACH-000389,-0.8947550614040001
ACH-000390,-0.849141036869
ACH-000393,-1.21300968438
ACH-000395,-0.9476300082019999
ACH-000397,-0.887898370702
ACH-000401,-1.01295386346
ACH-000402,-1.08875911168
ACH-000403,-1.25270263037
ACH-000404,-1.4862511183200002
ACH-000406,-1.0623220306899999
ACH-000407,-1.3660766211700002
ACH-000408,-0.986778339808
ACH-000410,-0.918575580638
ACH-000411,-0.822464538844
ACH-000414,-1.25631284111
ACH-000415,-1.31730473194
ACH-000416,-0.972577009795
ACH-000420,-1.2981539302399998
ACH-000421,-1.21105017753
ACH-000424,-1.3577388784399997
ACH-000425,-1.1944084779700002
ACH-000426,-1.44226492868
ACH-000427,-1.05876653297
ACH-000433,-1.17234632635
ACH-000436,-0.659444323517
ACH-000444,-1.08343549393
ACH-000445,-1.22034387331
ACH-000448,-1.3005818675799998
ACH-000450,-1.4156801399099999
ACH-000452,-1.3136177936
ACH-000454,-1.0049982680399998
ACH-000458,-1.0224718280399998
ACH-000459,-1.0481730788099999
ACH-000460,-0.947954146338
ACH-000461,-0.585921502105
ACH-000463,-0.7668630706630001
ACH-000464,-1.38883472319
ACH-000466,-1.0046181685200002
ACH-000467,-1.06067593961
ACH-000468,-1.14962771134
ACH-000469,-1.19263135075
ACH-000470,-1.38064836102
ACH-000471,-0.530160299696
