,APH1B (83464)
ACH-000004,-0.12445397098
ACH-000007,-0.111934877082
ACH-000009,-0.125298547551
ACH-000011,0.00556915101334
ACH-000012,-0.0512358594411
ACH-000013,0.0749210299643
ACH-000014,-0.030582217253900004
ACH-000015,0.0485017461325
ACH-000017,-0.046561336964499996
ACH-000018,-0.0110198672318
ACH-000019,-0.10758487945299999
ACH-000021,0.0969660320025
ACH-000022,-0.084402660922
ACH-000025,-0.0193664379565
ACH-000028,-0.062730892874
ACH-000030,-0.0766213885532
ACH-000035,-0.10655668575999999
ACH-000036,0.027836217243
ACH-000037,0.054919140428
ACH-000039,-0.288758634897
ACH-000040,0.10908379795800001
ACH-000041,-0.118736533398
ACH-000042,0.0010142579307699999
ACH-000045,-0.0607860139915
ACH-000047,-0.0700003468364
ACH-000052,-0.0317248956874
ACH-000053,-0.019374776999400004
ACH-000054,-0.0022003287493400003
ACH-000055,-0.104058371947
ACH-000060,-0.141723376586
ACH-000067,-0.13207299212200002
ACH-000070,0.11077600689000001
ACH-000075,-0.188934695391
ACH-000078,-0.18365538419
ACH-000082,-0.09767233307119999
ACH-000085,0.0531287572883
ACH-000086,0.029378865937999998
ACH-000087,-0.0338900184875
ACH-000092,-0.09624591251089999
ACH-000095,-0.0381958763055
ACH-000097,0.0373767718702
ACH-000098,0.160500174573
ACH-000099,-0.204038778468
ACH-000108,-0.07196687813819999
ACH-000113,-0.0290493371511
ACH-000115,-0.34970161246200004
ACH-000116,-0.0066796289222
ACH-000118,0.0418409694155
ACH-000120,0.0413177917711
ACH-000123,-0.261515505446
ACH-000127,-0.10907556676300001
ACH-000128,0.0535124707075
ACH-000132,-0.19895088165999997
ACH-000133,-0.032804350646
ACH-000137,0.0718434332093
ACH-000138,0.0468956250545
ACH-000142,-0.007056367271
ACH-000143,0.0660799141931
ACH-000146,-0.0285452676498
ACH-000148,-0.03942896511380001
ACH-000150,-0.0494203126482
ACH-000152,0.062414215963399994
ACH-000153,-0.006692956746949999
ACH-000159,-0.145662265656
ACH-000160,-0.017731988196099998
ACH-000163,-0.143429241165
ACH-000167,-0.11977278761299999
ACH-000168,-0.131496309033
ACH-000169,0.0479321646301
ACH-000178,-0.0192467715389
ACH-000182,-0.162962473372
ACH-000183,-0.19799080605
ACH-000188,0.055546340981199996
ACH-000189,0.19745184638799998
ACH-000190,0.00037001050500800003
ACH-000198,-0.16170757111
ACH-000204,0.19797056637000002
ACH-000206,-0.170752208598
ACH-000207,-0.101218854675
ACH-000211,0.0584192616686
ACH-000215,0.0401446193469
ACH-000221,0.043675936461699996
ACH-000222,0.0549882818697
ACH-000223,-0.158374159695
ACH-000226,-0.04934874931890001
