,NASP (4678)
ACH-000004,-0.166827489748
ACH-000007,-0.850089637707
ACH-000009,-0.516170154807
ACH-000011,-0.480652276252
ACH-000012,-0.7445205715209999
ACH-000013,-0.465381641486
ACH-000014,-0.411600718196
ACH-000015,-0.505248877526
ACH-000017,-0.43879978817000004
ACH-000018,-0.42344273497100005
ACH-000019,-0.477549234486
ACH-000021,-0.317384985319
ACH-000022,-0.9536654369930001
ACH-000025,-0.541401107428
ACH-000028,-0.594556640918
ACH-000030,-0.540513559922
ACH-000035,-0.832509201591
ACH-000036,-0.293042620787
ACH-000037,-0.782933923234
ACH-000039,-0.335233682377
ACH-000040,-0.7978750206440001
ACH-000041,-0.397664390073
ACH-000042,-0.363705643816
ACH-000045,-0.646269490717
ACH-000047,-0.5099754531180001
ACH-000052,-0.879297052405
ACH-000053,-0.656488845729
ACH-000054,-0.7005346144079999
ACH-000055,-0.697610406574
ACH-000060,-0.696289228344
ACH-000067,-0.573036008672
ACH-000070,-0.562877141585
ACH-000075,-0.497927234243
ACH-000078,-0.646733145366
ACH-000082,-0.279241502376
ACH-000085,-0.937348826214
ACH-000086,-0.529071631771
ACH-000087,-0.526866390725
ACH-000092,-0.573020267239
ACH-000095,-0.567813047664
ACH-000097,-0.595033433827
ACH-000098,-0.5181336949700001
ACH-000099,-0.726189024356
ACH-000108,-0.535422936148
ACH-000113,-0.7860937577339999
ACH-000115,-0.28256841772
ACH-000116,-0.412644985525
ACH-000118,-0.403801386484
ACH-000120,-0.981413238084
ACH-000123,-0.668211216091
ACH-000127,-0.455549018272
ACH-000128,-0.549006918212
ACH-000132,-0.334555008348
ACH-000133,-0.5318958225079999
ACH-000137,-0.6778520394069999
ACH-000138,-0.6106936199549999
ACH-000142,-0.592201196409
ACH-000143,-0.514692644056
ACH-000146,-0.15640604391
ACH-000148,-0.470068111845
ACH-000150,-0.669473851618
ACH-000152,-0.557043984828
ACH-000153,-0.935200530524
ACH-000159,-0.641329299811
ACH-000160,-0.302142663083
ACH-000163,-0.584826912808
ACH-000167,-0.5668406115869999
ACH-000168,-0.233064520341
ACH-000169,-0.34609643034599996
ACH-000178,-0.711823090083
ACH-000182,-0.25766286325300003
ACH-000183,-0.536518210671
ACH-000188,-0.7022235791310001
ACH-000189,-0.612502753447
ACH-000190,-0.034666132884499996
ACH-000198,-0.660099358715
ACH-000204,-0.555504832191
ACH-000206,-0.455547271001
ACH-000207,-0.7679301240880001
ACH-000211,-0.532432246032
ACH-000215,-0.43514380947400005
ACH-000221,-0.417101905045
ACH-000222,-0.751742388123
ACH-000223,-0.657096608201
ACH-000226,-0.5603656160589999
ACH-000227,-1.05182454696
ACH-000228,-0.759174089645
ACH-000231,-0.572049946539
ACH-000232,-0.5456308685710001
ACH-000233,-0.47249511906999997
ACH-000234,-0.605982862073
ACH-000235,-0.7093994626260001
ACH-000237,-0.541885022865
ACH-000238,-0.8200868077879999
ACH-000243,-0.8567255721699999
ACH-000244,-0.536071712849
ACH-000246,-0.270379566395
ACH-000248,-0.46411196242200004
ACH-000250,-0.377919187446
ACH-000251,-0.682446583194
ACH-000253,-0.48868259965899996
ACH-000255,-0.783384882834
ACH-000256,-0.420830540679
ACH-000257,-0.517091250652
ACH-000258,-0.5849495699849999
ACH-000259,-0.35856464203599997
ACH-000260,-0.36829048193400005
ACH-000261,-0.518935227024
ACH-000262,-0.315524702996
ACH-000263,-0.42048100936800004
ACH-000264,-0.5931118388050001
ACH-000265,-0.28704445819
ACH-000266,-0.470705690371
ACH-000272,-0.543027278294
ACH-000273,-0.520179034248
ACH-000274,-0.594889572893
ACH-000277,-0.659995968148
ACH-000278,-0.58238112738
ACH-000279,-0.298257297199
ACH-000280,-0.33476798316399997
ACH-000281,-0.44798597797600004
ACH-000288,-0.263688482199
ACH-000291,-0.313286068049
ACH-000293,-0.508812809909
ACH-000294,-0.478061268705
ACH-000295,-0.427703256668
ACH-000296,-0.542454796074
ACH-000302,-0.303993771521
ACH-000304,-0.8289118801049999
ACH-000307,-0.451609105194
ACH-000308,-0.340725843116
ACH-000310,-0.489456125074
ACH-000311,-0.5444322594309999
ACH-000312,-0.461121326335
ACH-000315,-0.543514472082
ACH-000316,-0.471866677848
ACH-000317,-0.35786062387699996
ACH-000318,-0.6764955322030001
ACH-000319,-0.613613033354
ACH-000320,-0.509625714116
ACH-000322,-0.8807097049410001
ACH-000323,-0.455518410338
ACH-000324,-0.481133497177
ACH-000329,-0.292834075001
ACH-000330,-0.402339366087
ACH-000331,-0.291825712672
ACH-000332,-0.6866877627719999
ACH-000334,-0.5991301502849999
ACH-000335,-0.638321098232
ACH-000336,-0.278001618971
ACH-000337,-0.40585361775
ACH-000339,-0.694086093937
ACH-000341,-0.577726047671
ACH-000348,-0.6611510452970001
ACH-000350,-0.403244398103
ACH-000352,-0.747241240812
ACH-000356,-0.511557728978
ACH-000361,-0.604118028314
ACH-000362,-0.690250468253
ACH-000363,-0.509976078822
ACH-000364,-0.625351218996
ACH-000365,-0.5560253113229999
ACH-000366,-0.34279856055299995
ACH-000368,-0.552022566671
ACH-000374,-0.49122689622599996
ACH-000375,-0.49932806543700003
ACH-000376,-0.58445024084
ACH-000381,-0.384316212022
ACH-000383,-0.566387693142
ACH-000387,-0.322419820644
ACH-000389,-0.43809777965700003
ACH-000390,-0.630058216406
ACH-000393,-0.562366390849
ACH-000395,-0.510694906492
ACH-000397,-0.597392224572
ACH-000401,-0.24026737207199997
ACH-000402,-0.635260127041
ACH-000403,-0.332196468982
ACH-000404,-0.44376393668700004
ACH-000406,-0.394180384837
ACH-000407,-0.44901427792099996
ACH-000408,-0.48898963508000004
ACH-000410,-0.650400428352
ACH-000411,-0.527697472574
ACH-000414,-0.496245287529
ACH-000415,-0.5524149815039999
ACH-000416,-0.266595891727
ACH-000420,-0.38986242106799995
ACH-000421,-0.5970239223520001
ACH-000424,-0.382507546942
ACH-000425,-0.5145597807500001
ACH-000426,-0.849394065196
ACH-000427,-0.48435402759999996
ACH-000433,-0.375209530629
ACH-000436,-0.8678005519840001
ACH-000444,-0.465170245807
ACH-000445,-0.695846249761
ACH-000448,-0.6932630133840001
ACH-000450,-0.905709141788
ACH-000452,-0.434643463868
ACH-000454,-0.434185698175
ACH-000458,-0.629301343198
ACH-000459,-0.248852314928
ACH-000460,-0.500678385397
ACH-000461,-0.538298164333
ACH-000463,-0.7890006079459999
ACH-000464,-0.615218075755
ACH-000466,-0.239695586816
ACH-000467,-0.7112320988449999
ACH-000468,-0.6149975836129999
ACH-000469,-0.43755736347499996
ACH-000470,-0.574482224678
ACH-000471,-0.49940684051600004
ACH-000472,-0.4242603471
ACH-000473,-0.39161320976499997
ACH-000475,-0.5551976042710001
ACH-000476,-0.37489063022
ACH-000477,-0.638637973066
ACH-000480,-0.48590670841300004
ACH-000481,-0.531616777828
ACH-000483,-0.530823286872
ACH-000484,-0.317886392876
ACH-000485,-0.591720038123
ACH-000486,-0.7035136362450001
ACH-000487,-0.40842761643700004
ACH-000488,-0.589913203023
ACH-000490,-0.649151181797
ACH-000491,-0.165896817378
ACH-000495,-0.5952678293829999
ACH-000496,-0.490279108613
ACH-000499,-0.534528996825
ACH-000500,-0.559122130578
ACH-000502,-0.51681773738
ACH-000503,-0.6935787491259999
ACH-000505,-0.426386205911
ACH-000507,-0.56499570696
ACH-000510,-0.5261933527329999
ACH-000511,-0.6788841576610001
ACH-000512,-0.536239763768
ACH-000516,-0.503188226669
ACH-000517,-0.48100685881399996
