,FCN2 (2220)
ACH-000004,-0.120092746579
ACH-000007,-0.22747102499400002
ACH-000009,-0.276661573865
ACH-000011,-0.22454990629299998
ACH-000012,-0.22839515703899999
ACH-000013,-0.37970110998499995
ACH-000014,-0.09571299964789999
ACH-000015,-0.392072787624
ACH-000017,-0.171999328397
ACH-000018,-0.275660672641
ACH-000019,-0.444915175222
ACH-000021,-0.08774810077989999
ACH-000022,-0.00629873547186
ACH-000025,-0.33615789671999996
ACH-000028,-0.28596546453
ACH-000030,-0.243356810446
ACH-000035,-0.0346274909609
ACH-000036,-0.250684948163
ACH-000037,-0.333743136868
ACH-000039,-0.24929516201299998
ACH-000040,-0.16283486974199998
ACH-000041,-0.41732537644900003
ACH-000042,-0.339574190717
ACH-000045,0.044345459259800005
ACH-000047,-0.161870514198
ACH-000052,-0.109799924252
ACH-000053,-0.062316068181300005
ACH-000054,-0.259860277944
ACH-000055,-0.228988916017
ACH-000060,-0.405670755025
ACH-000067,-0.0569923709235
ACH-000070,-0.091239581501
ACH-000075,-0.197309706853
ACH-000078,-0.21982520191399998
ACH-000082,-0.19129510301199998
ACH-000085,-0.418070986266
ACH-000086,-0.0897086730565
ACH-000087,0.100441207116
ACH-000092,-0.23384945659899997
ACH-000095,-0.236683759912
ACH-000097,-0.0207552126031
ACH-000098,-0.10150699193900001
ACH-000099,-0.190326803806
ACH-000108,-0.364484830551
ACH-000113,-0.120148217269
ACH-000115,-0.246416008936
ACH-000116,-0.315959721251
ACH-000118,-0.110443195027
ACH-000120,-0.300203839177
ACH-000123,-0.140906402978
ACH-000127,-0.13183799599999999
ACH-000128,-0.368350931413
ACH-000132,-0.40142256515600006
ACH-000133,-0.198560174427
ACH-000137,-0.201438880157
ACH-000138,-0.212942594209
ACH-000142,-0.206441077121
ACH-000143,-0.227528841238
ACH-000146,-0.10521225669600001
ACH-000148,-0.275653340218
ACH-000150,-0.34645545787199994
ACH-000152,-0.296885004463
ACH-000153,-0.118838559298
ACH-000159,-0.371697432628
ACH-000160,-0.22649979528900002
ACH-000163,-0.265735077524
ACH-000167,-0.601989795081
ACH-000168,-0.35136061393600004
ACH-000169,-0.254346737862
ACH-000178,-0.369242648998
ACH-000182,-0.31428229383699996
ACH-000183,-0.42796471144000003
ACH-000188,-0.243927895537
ACH-000189,-0.532616087237
ACH-000190,-0.144134888338
ACH-000198,-0.134390112279
ACH-000204,-0.226971803715
ACH-000206,-0.157790378615
ACH-000207,-0.542400286136
ACH-000211,-0.261807948795
ACH-000215,-0.249297636316
ACH-000221,-0.00269559985416
ACH-000222,-0.42188319482500003
ACH-000223,-0.195483197626
ACH-000226,-0.10581706344599999
ACH-000227,-0.7235824658040001
ACH-000228,-0.212786566469
ACH-000231,-0.213305232027
ACH-000232,-0.380254153011
ACH-000233,-0.30682530589400003
ACH-000234,-0.0835113565153
ACH-000235,-0.178150292177
ACH-000237,-0.405139426333
ACH-000238,-0.26192980509799996
ACH-000243,-0.14159926905
ACH-000244,-0.539850418233
ACH-000246,-0.281612171608
ACH-000248,-0.2648616116
ACH-000250,-0.203689812557
ACH-000251,0.018283097308599998
ACH-000253,-0.152049969817
ACH-000255,-0.295319323178
ACH-000256,-0.393642171246
ACH-000257,-0.09975933699830002
ACH-000258,-0.520639289003
ACH-000259,-0.291244081524
ACH-000260,-0.16538155313300001
ACH-000261,-0.14285863479699998
ACH-000262,-0.445936084463
ACH-000263,0.37826304145499995
ACH-000264,-0.35758072663199997
ACH-000265,-0.0983168633459
ACH-000266,-0.39631940530500004
ACH-000272,-0.216516550262
ACH-000273,-0.287092266511
