,BCLAF1 (9774)
ACH-000004,-0.6191692838880001
ACH-000007,-1.3639337996
ACH-000009,-1.14218834269
ACH-000011,-1.06359481451
ACH-000012,-1.01469323789
ACH-000013,-0.951089168735
ACH-000014,-0.561689567012
ACH-000015,-0.9810464331100001
ACH-000017,-0.8985637201719999
ACH-000018,-1.02816240164
ACH-000019,-1.0047240605
ACH-000021,-1.30807997696
ACH-000022,-0.860114761455
ACH-000025,-0.76859407335
ACH-000028,-1.30903610123
ACH-000030,-0.759936075066
ACH-000035,-0.77759291117
ACH-000036,-1.10273607503
ACH-000037,-0.860080279516
ACH-000039,-0.730600491354
ACH-000040,-0.8092056741
ACH-000041,-0.695212113776
ACH-000042,-0.808278584196
ACH-000045,-0.817574461331
ACH-000047,-0.9613566663959999
ACH-000052,-1.09468526064
ACH-000053,-0.876325691852
ACH-000054,-0.7953216409199999
ACH-000055,-0.9192748144539999
ACH-000060,-1.14157748396
ACH-000067,-0.8738532809389999
ACH-000070,-0.7921343826039999
ACH-000075,-0.995277911842
ACH-000078,-1.07521194388
ACH-000082,-0.879337304325
ACH-000085,-0.791492885519
ACH-000086,-0.626477195423
ACH-000087,-0.720996076825
ACH-000092,-0.870295761607
ACH-000095,-1.4025403982700002
ACH-000097,-1.09054813543
ACH-000098,-0.943127767572
ACH-000099,-1.42272171195
ACH-000108,-0.8426351020749999
ACH-000113,-1.0520021699200002
ACH-000115,-1.09962195345
ACH-000116,-1.19086218002
ACH-000118,-0.796470477426
ACH-000120,-1.25941938597
ACH-000123,-0.9408318725399999
ACH-000127,-0.943940852917
ACH-000128,-0.689863568839
ACH-000132,-1.26640331316
ACH-000133,-0.928952206032
ACH-000137,-0.9028393224200001
ACH-000138,-1.25891506939
ACH-000142,-1.2181958321
ACH-000143,-0.9799564715860001
ACH-000146,-1.01751053573
ACH-000148,-0.781152145098
ACH-000150,-0.6898311644580001
ACH-000152,-0.8084761159720001
ACH-000153,-1.12924403523
ACH-000159,-0.99746628028
ACH-000160,-1.15103230709
ACH-000163,-0.535871505624
ACH-000167,-0.6744671279610001
ACH-000168,-1.01504338615
ACH-000169,-0.775926691341
ACH-000178,-0.518694533238
ACH-000182,-0.817430849612
ACH-000183,-0.85952367854
ACH-000188,-0.861216233029
ACH-000189,-1.23706548573
ACH-000190,-1.32068027279
ACH-000198,-1.02324856675
ACH-000204,-0.594720495186
ACH-000206,-0.487069167284
ACH-000207,-1.38841383886
ACH-000211,-0.9460779212070001
ACH-000215,-0.728741092115
ACH-000221,-1.0905951325799998
ACH-000222,-1.06281449455
ACH-000223,-1.19650551672
