,PDE4DIP (9659)
ACH-000004,-0.625331521152
ACH-000007,-0.724247789903
ACH-000009,-1.02269774982
ACH-000011,-0.537733654379
ACH-000012,-0.7360593088230001
ACH-000013,-0.44379432173100003
ACH-000014,-0.956280298567
ACH-000015,-0.805671869519
ACH-000017,-0.676286830713
ACH-000018,-0.809211888152
ACH-000019,-0.924210355062
ACH-000021,-0.5398993082760001
ACH-000022,-0.972467277798
ACH-000025,-0.68311540096
ACH-000028,-0.782825105995
ACH-000030,-0.566728782556
ACH-000035,-0.6659277051899999
ACH-000036,-0.830895826951
ACH-000037,-0.312712084369
ACH-000039,-0.533201044655
ACH-000040,-0.670419727637
ACH-000041,-0.6665184920989999
ACH-000042,-0.653084922133
ACH-000045,-0.687166566444
ACH-000047,-0.425587745518
ACH-000052,-0.552788756513
ACH-000053,-0.789510544986
ACH-000054,-0.816733574383
ACH-000055,-0.31780248166499997
ACH-000060,-0.515111771906
ACH-000067,-0.647472941725
ACH-000070,-0.240431136042
ACH-000075,-0.565965349825
ACH-000078,-0.58919184258
ACH-000082,-0.246146141401
ACH-000085,-0.382159676835
ACH-000086,-0.9482068186560001
ACH-000087,-0.421406856421
ACH-000092,-0.698459412307
ACH-000095,-0.731386770976
ACH-000097,-0.798518880419
ACH-000098,-0.857399810969
ACH-000099,-0.529890639933
ACH-000108,-0.631112530049
ACH-000113,-0.8426020493809999
ACH-000115,-0.731092242987
ACH-000116,-0.463482485628
ACH-000118,-0.5588298458550001
ACH-000120,-0.636604023748
ACH-000123,-0.5601282479699999
ACH-000127,-0.572220550499
ACH-000128,-0.6638720989329999
ACH-000132,-0.518537776057
ACH-000133,-0.5755804031639999
ACH-000137,-0.364862730912
ACH-000138,-0.523578261114
ACH-000142,-0.48206819787199995
ACH-000143,-0.74476270507
ACH-000146,-1.07591275381
ACH-000148,-0.651815566579
ACH-000150,-0.23111182358000001
ACH-000152,-0.849818751166
ACH-000153,-0.672576981336
ACH-000159,-0.746735495954
ACH-000160,-0.657658253475
ACH-000163,-0.628537245406
ACH-000167,-1.0466610241
ACH-000168,-0.462193427549
ACH-000169,-0.666528777433
ACH-000178,-0.6712109873759999
ACH-000182,-0.496546191386
ACH-000183,-0.8668563940270001
ACH-000188,-0.758357252915
ACH-000189,-0.58385382733
ACH-000190,-0.887070062342
ACH-000198,-0.875276610241
ACH-000204,-0.839060988654
ACH-000206,-0.145251434351
ACH-000207,-0.621491153702
ACH-000211,-0.445419050999
ACH-000215,-0.685292175295
ACH-000221,-0.9423364870290001
ACH-000222,-0.966987228134
ACH-000223,-0.603568696122
ACH-000226,-0.615492755268
ACH-000227,-0.838446453792
ACH-000228,-0.540645094353
ACH-000231,-0.61670105058
ACH-000232,-0.7137373033300001
ACH-000233,-0.502452876574
ACH-000234,-0.285796661551
ACH-000235,-0.531878590229
ACH-000237,-0.40848043757200003
ACH-000238,-0.312503878516
ACH-000243,-0.474868848154
ACH-000244,-0.361204059087
ACH-000246,-0.6956074126299999
ACH-000248,-0.526828726612
ACH-000250,-0.60003144173
ACH-000251,-0.47750230652099995
ACH-000253,-0.708931283396
ACH-000255,-0.592996054948
ACH-000256,-0.531771708867
ACH-000257,-0.569419001198
ACH-000258,-0.346403007342
ACH-000259,-0.468234681079
ACH-000260,-0.526354072406
ACH-000261,-0.5625581091790001
ACH-000262,-0.464327130794
ACH-000263,-0.7293849520389999
ACH-000264,-0.637164079833
ACH-000265,-0.537480538967
ACH-000266,-0.574321500549
ACH-000272,-0.8725208173919999
ACH-000273,-0.8236694908650001
ACH-000274,-0.771923155686
ACH-000277,-0.507817498359
ACH-000278,-0.482067986435
ACH-000279,-0.6984586941359999
ACH-000280,-0.8051291403149999
ACH-000281,-0.402324102043
ACH-000288,-0.8493160710459999
ACH-000291,-0.490288401774
ACH-000293,-0.780122233163
ACH-000294,-1.047046516
ACH-000295,-1.1201435367700001
ACH-000296,-0.773587758441
ACH-000302,-0.726991687269
ACH-000304,-0.192882557405
ACH-000307,-0.69777047646
ACH-000308,-0.600880235721
ACH-000310,-0.439447995829
ACH-000311,-0.684469714199
ACH-000312,-0.6713289399179999
ACH-000315,-0.47441050220700004
ACH-000316,-0.47799666642399996
ACH-000317,-0.586628242866
ACH-000318,-0.633539475901
ACH-000319,-0.43907393618600005
ACH-000320,-0.821666779329
ACH-000322,-0.307834513392
ACH-000323,-0.812012963575
ACH-000324,-0.717093831833
ACH-000329,-0.7437871616580001
ACH-000330,-0.7835453868469999
ACH-000331,-0.603142138806
ACH-000332,-0.6048410028769999
ACH-000334,-0.784078714569
ACH-000335,-0.447114997425
ACH-000336,-0.332264458567
ACH-000337,-0.566624942462
ACH-000339,-0.50123594427
ACH-000341,-0.631042100259
ACH-000348,-0.419094226422
ACH-000350,-0.509405884382
ACH-000352,-0.65706469089
ACH-000356,-0.869689111408
ACH-000361,-0.425371457755
ACH-000362,-0.685082509764
ACH-000363,-0.6522922042939999
ACH-000364,-0.575650219304
ACH-000365,-0.653567087189
ACH-000366,-0.809597062653
ACH-000368,-0.838655842625
ACH-000374,-0.550588980388
ACH-000375,-0.578696063752
ACH-000376,-0.609379792394
ACH-000381,-0.979036864232
ACH-000383,-0.908349428102
ACH-000387,-0.7263037934990001
ACH-000389,-0.535891518372
ACH-000390,-0.839904788496
ACH-000393,-0.657834617117
ACH-000395,-0.860019374113
ACH-000397,-0.639810240324
ACH-000401,-0.353373931994
ACH-000402,-0.24098490785799997
