,UBE2M (9040)
ACH-000004,-1.2860333780700002
ACH-000007,-0.999949776245
ACH-000009,-1.43043877067
ACH-000011,-1.4468824067299997
ACH-000012,-1.47244327107
ACH-000013,-1.4223966868
ACH-000014,-1.08261840746
ACH-000015,-1.39145071538
ACH-000017,-1.54297992762
ACH-000018,-1.11664534207
ACH-000019,-1.17112497903
ACH-000021,-1.6498713983000002
ACH-000022,-0.8449376753290001
ACH-000025,-1.17278663295
ACH-000028,-1.32821749392
ACH-000030,-0.581849752222
ACH-000035,-1.1313727745200002
ACH-000036,-0.22472774701499998
ACH-000037,-1.0557610628799998
ACH-000039,-1.81968865895
ACH-000040,-1.4510340510600002
ACH-000041,-1.58529348771
ACH-000042,-1.5735487143
ACH-000045,-1.47914122417
ACH-000047,-1.17469933721
ACH-000052,-1.13433576862
ACH-000053,-1.3162780732500001
ACH-000054,-1.10348888662
ACH-000055,-1.50198636196
ACH-000060,-1.3079528490999999
ACH-000067,-1.27788141061
ACH-000070,-1.3601945699899998
ACH-000075,-0.9039959243250001
ACH-000078,-1.2501462649200001
ACH-000082,-1.2221123072700002
ACH-000085,-1.6114510872
ACH-000086,-1.1117165933600002
ACH-000087,-1.4960257913600001
ACH-000092,-0.5718966151120001
ACH-000095,-1.4432313058300001
ACH-000097,-1.2533394948299998
ACH-000098,-0.46547147045599996
ACH-000099,-1.23808318748
ACH-000108,-1.4324159359600002
ACH-000113,-1.07991280688
ACH-000115,-1.38241913622
ACH-000116,-1.49152647872
ACH-000118,-1.32862895869
ACH-000120,-1.12536064006
ACH-000123,-1.39512468371
ACH-000127,-1.07505674229
ACH-000128,-1.1293799498000001
ACH-000132,-1.5222510811200003
ACH-000133,-1.46031465462
ACH-000137,-1.1359276995299998
ACH-000138,-1.5335140253
ACH-000142,-1.22935395552
ACH-000143,-1.41923096622
ACH-000146,-1.86563576223
ACH-000148,-1.2894384271200001
ACH-000150,-1.5712396479100001
ACH-000152,-1.2254445526200002
ACH-000153,-0.868853825734
ACH-000159,-1.52101113932
ACH-000160,-1.4351567281400002
ACH-000163,-1.20393153137
ACH-000167,-1.1338777983600001
ACH-000168,-1.44013564053
ACH-000169,-1.3612644728
ACH-000178,-1.36213979197
ACH-000182,-1.64562460614
ACH-000183,-1.459400737
ACH-000188,-1.55846255287
ACH-000189,-1.52726723308
ACH-000190,-1.3958256992700002
ACH-000198,-1.12266781847
ACH-000204,-1.39431936122
ACH-000206,-1.68354752648
ACH-000207,-0.65413807668
ACH-000211,-1.4167516265
ACH-000215,-0.993880675642
ACH-000221,-1.36862311398
ACH-000222,-1.2025744172
ACH-000223,-1.64929709561
ACH-000226,-1.51020874407
ACH-000227,-1.19696067536
ACH-000228,-1.2752798589899998
ACH-000231,-1.47152310349
ACH-000232,-1.2971648195
ACH-000233,-1.4665859317200003
ACH-000234,-1.7562435529599998
ACH-000235,-1.54085711107
ACH-000237,-1.37698242542
ACH-000238,-1.6492289931900002
ACH-000243,-1.1675432345
ACH-000244,-1.19705220346
ACH-000246,-1.15124987566
ACH-000248,-1.4333461948100001
ACH-000250,-1.36351253118
ACH-000251,-1.72891725312
ACH-000253,-1.2883590961799998
ACH-000255,-1.1179621545899998
ACH-000256,-1.3997342079700001
ACH-000257,-1.5290729814200001
ACH-000258,-0.793315901473
ACH-000259,-1.7407638162799999
ACH-000260,-1.28446737529
ACH-000261,-1.5519122790900002
ACH-000262,-1.22792647122
ACH-000263,-1.3173968174700001
ACH-000264,-1.3719587334299999
ACH-000265,-1.54901272583
ACH-000266,-1.6724296975100001
ACH-000272,-1.49472502687
ACH-000273,-0.846008679446
ACH-000274,-1.49324003995
ACH-000277,-1.15147119658
ACH-000278,-1.3584680126100002
ACH-000279,-1.43442230816
ACH-000280,-1.05121027396
ACH-000281,-1.45814585845
ACH-000288,-0.5907484898149999
ACH-000291,-1.1440886380600002
ACH-000293,-1.7940920719099998
ACH-000294,-1.7819053871400001
ACH-000295,-1.2983003448600001
ACH-000296,-1.13007345255
ACH-000302,-1.63952434134
ACH-000304,-2.0192576658
ACH-000307,-1.40641676292
ACH-000308,-1.54441487679
ACH-000310,-1.1287794050700002
ACH-000311,-1.4502158308200002
ACH-000312,-1.1632805633399999
ACH-000315,-1.69881863153
ACH-000316,-1.1874946705399998
ACH-000317,-1.39493785458
ACH-000318,-1.13715609241
ACH-000319,-0.872782414517
ACH-000320,-1.5767018752700002
ACH-000322,-1.1925809708
ACH-000323,-1.41965328729
ACH-000324,-1.24283794183
ACH-000329,-1.41916801529
ACH-000330,-1.22050682206
ACH-000331,-0.7179401134160001
ACH-000332,-1.6890465746
ACH-000334,-1.4332444789899998
ACH-000335,-1.38229266374
ACH-000336,-1.46615155266
ACH-000337,-1.3143104688299998
ACH-000339,-1.49047137878
ACH-000341,-1.43503839509
ACH-000348,-0.99442195036
ACH-000350,-2.1083999188900004
ACH-000352,-1.44895581219
ACH-000356,-1.25289902161
ACH-000361,-1.4164962034900002
ACH-000362,-1.3146515327600001
ACH-000363,-1.53989052849
ACH-000364,-1.2378102397700002
ACH-000365,-1.20950968184
ACH-000366,-1.63051153907
ACH-000368,-0.759694408473
ACH-000374,-1.33791437635
ACH-000375,-1.2485517323200002
ACH-000376,-0.891458240811
ACH-000381,-1.26389938941
