,ASNSD1 (54529)
ACH-000004,-0.375851788737
ACH-000007,-0.05643427980000001
ACH-000009,-0.430664669846
ACH-000011,-0.142995267652
ACH-000012,-0.263583041723
ACH-000013,-0.07875860951389999
ACH-000014,-0.125674227454
ACH-000015,-0.07493845145839999
ACH-000017,-0.21712848754
ACH-000018,-0.27973477131499996
ACH-000019,0.18560645999400002
ACH-000021,-0.121132139055
ACH-000022,-0.37612151660099996
ACH-000025,-0.162279303899
ACH-000028,-0.151498845361
ACH-000030,-0.08824871914139999
ACH-000035,-0.225294014351
ACH-000036,-0.18467037409499998
ACH-000037,-0.028927019029000002
ACH-000039,-0.251907005285
ACH-000040,-0.0332507875618
ACH-000041,-0.139719819577
ACH-000042,-0.044283490588499994
ACH-000045,-0.198474173099
ACH-000047,2.46925150179e-05
ACH-000052,-0.347227915813
ACH-000053,-0.17956034208299998
ACH-000054,-0.181089939098
ACH-000055,-0.293697024003
ACH-000060,-0.17240560711599998
ACH-000067,-0.21431015569200002
ACH-000070,-0.215649846593
ACH-000075,-0.18555767502099998
ACH-000078,-0.136600168349
ACH-000082,-0.028609000326099997
ACH-000085,-0.22157716006900002
ACH-000086,-0.34006226001199996
ACH-000087,0.167677751079
ACH-000092,-0.16993967147300001
ACH-000095,-0.19562732708799999
ACH-000097,-0.16651575423599999
ACH-000098,-0.301746378795
ACH-000099,-0.0450187864243
ACH-000108,-0.0411915946075
ACH-000113,-0.17632226394699999
ACH-000115,-0.12498401406700001
ACH-000116,-0.160486019525
ACH-000118,0.035681843317499996
ACH-000120,-0.211492697209
ACH-000123,-0.102868385719
ACH-000127,-0.179481990121
ACH-000128,-0.0120746382941
ACH-000132,-0.332080400404
ACH-000133,-0.250268172098
ACH-000137,-0.193118501309
ACH-000138,-0.06980960320810001
ACH-000142,-0.238422328495
ACH-000143,-0.013976053936999999
ACH-000146,-0.265065304303
ACH-000148,-0.0191894216805
ACH-000150,-0.0867655052214
ACH-000152,-0.25181509199900004
ACH-000153,-0.22082523354400002
ACH-000159,-0.243258762564
ACH-000160,-0.21605031307199998
ACH-000163,-0.058351076408199996
ACH-000167,-0.174733256484
ACH-000168,-0.154890522892
ACH-000169,-0.12140623912799998
ACH-000178,-0.025456826109599998
ACH-000182,0.0948198072212
ACH-000183,-0.07643515470380001
ACH-000188,-0.0817200991589
ACH-000189,-0.252986784184
ACH-000190,-0.15703611244000001
ACH-000198,-0.199558974538
ACH-000204,-0.0880015734798
ACH-000206,-0.136843073715
ACH-000207,-0.279237032986
ACH-000211,-0.145230604559
ACH-000215,-0.181107259907
ACH-000221,0.136263498722
ACH-000222,-0.0569911209777
ACH-000223,-0.20337630637600002
ACH-000226,-0.23919274064800003
ACH-000227,0.009512688216000001
ACH-000228,0.025837230981099996
ACH-000231,-0.12633665166400002
ACH-000232,-0.0747613383901
ACH-000233,-0.04894504681530001
ACH-000234,-0.169115763295
ACH-000235,-0.0643287746603
ACH-000237,-0.15258323732100001
ACH-000238,-0.00829273412978
ACH-000243,-0.09986416837680001
ACH-000244,-0.118698021098
ACH-000246,-0.136434828913
ACH-000248,-0.09355098492889999
ACH-000250,-0.16784853842099998
ACH-000251,-0.340829136941
ACH-000253,-0.17571173879000002
ACH-000255,-0.0874701529509
ACH-000256,-0.005442141887600001
ACH-000257,-0.171759893133
ACH-000258,-0.292721451496
ACH-000259,-0.027477397996499998
ACH-000260,-0.170146019527
ACH-000261,-0.08316303145260001
ACH-000262,-0.261735337868
ACH-000263,-0.081684241698
ACH-000264,-0.0779311162374
ACH-000265,-0.117869348398
ACH-000266,-0.0858911941591
ACH-000272,-0.23914493296999997
ACH-000273,-0.231430487542
ACH-000274,-0.416151010182
ACH-000277,-0.0329229620413
ACH-000278,-0.057840770168199995
ACH-000279,-0.46583580042499995
ACH-000280,-0.13682292697100001
ACH-000281,-0.191341581083
ACH-000288,-0.36754618771799996
ACH-000291,-0.206363749958
ACH-000293,-0.154374999076
ACH-000294,-0.24196457837299998
ACH-000295,0.0180459577349
ACH-000296,-0.252795082033
ACH-000302,-0.114905697968
ACH-000304,-0.325897082206
ACH-000307,-0.187279161926
ACH-000308,-0.0458854893954
ACH-000310,-0.23563514894999998
ACH-000311,-0.258056414622
ACH-000312,-3.20724233209e-05
ACH-000315,0.11175072649599999
ACH-000316,-0.185986694497
ACH-000317,0.0404018935414
ACH-000318,-0.24381128905000002
ACH-000319,-0.15618515987099998
ACH-000320,-0.18768594533500002
ACH-000322,-0.169781751521
ACH-000323,-0.102102244636
ACH-000324,-0.135220306957
ACH-000329,-0.146934156905
ACH-000330,-0.32262741354
ACH-000331,-0.341376741523
ACH-000332,-0.11204438875600001
ACH-000334,-0.438132579736
ACH-000335,-0.17126556073399998
ACH-000336,-0.07433308332260001
ACH-000337,0.040722489503900006
ACH-000339,-0.026075590858900002
ACH-000341,-0.0208805734883
ACH-000348,-0.00812727964963
ACH-000350,-0.136267672579
ACH-000352,-0.221583207041
ACH-000356,-0.16172198926200002
ACH-000361,-0.19070826011300002
ACH-000362,-0.165790531463
ACH-000363,-0.13831781953
ACH-000364,-0.224449381565
ACH-000365,-0.0610202058529
ACH-000366,-0.316711697279
ACH-000368,-0.060642475381399996
ACH-000374,-0.19606565607
ACH-000375,-0.349567719788
ACH-000376,-0.125624212324
ACH-000381,-0.0149813245495
ACH-000383,-0.150312152943
ACH-000387,-0.162681449437
ACH-000389,-0.24935828743799998
ACH-000390,-0.147582451981
ACH-000393,-0.324925366256
ACH-000395,-0.267007446702
ACH-000397,0.00119341281053
ACH-000401,-0.32298561899
ACH-000402,-0.0898337275443
ACH-000403,-0.211112146618
ACH-000404,-0.16241948818
ACH-000406,-0.138049158973
ACH-000407,-0.518305739793
ACH-000408,-0.25459665319
ACH-000410,-0.0738518765907
ACH-000411,-0.170444679248
ACH-000414,-0.153599237428
ACH-000415,-0.213722015775
ACH-000416,-0.1287850431
ACH-000420,-0.10364710491599999
ACH-000421,-0.0483171968846
ACH-000424,0.0685240124379
ACH-000425,-0.130284082425
ACH-000426,-0.17770423008900002
ACH-000427,0.0350154685012
ACH-000433,-0.31513217497900003
ACH-000436,-0.0414489787155
ACH-000444,-0.136422398631
ACH-000445,-0.447133213454
ACH-000448,-0.174398704792
ACH-000450,-0.196583994211
ACH-000452,-0.048376290306099995
ACH-000454,-0.377521771223
ACH-000458,-0.254331491444
