,CALN1 (83698)
ACH-000004,-0.34160736739200004
ACH-000007,-0.161678534474
ACH-000009,-0.164859699285
ACH-000011,-0.443914309951
ACH-000012,-0.260894311327
ACH-000013,-0.114026262252
ACH-000014,-0.366667768226
ACH-000015,-0.370761286421
ACH-000017,-0.17938495040600003
ACH-000018,0.00265973352328
ACH-000019,-0.637776493651
ACH-000021,-0.370441003875
ACH-000022,-0.326942239106
ACH-000025,-0.386234982512
ACH-000028,-0.14766975036
ACH-000030,-0.238604499971
ACH-000035,-0.325075596526
ACH-000036,-0.128635770088
ACH-000037,-0.20485962727
ACH-000039,-0.059910396732099996
ACH-000040,-0.232879845308
ACH-000041,-0.436894462213
ACH-000042,-0.24575014406800003
ACH-000045,-0.131474032928
ACH-000047,-0.226209347133
ACH-000052,-0.337661407203
ACH-000053,-0.24796787880600002
ACH-000054,-0.349454939611
ACH-000055,-0.225676739154
ACH-000060,-0.349778100643
ACH-000067,-0.156212983272
ACH-000070,-0.358037684225
ACH-000075,-0.16039956462899999
ACH-000078,-0.226299833798
ACH-000082,-0.302752035139
ACH-000085,-0.35868279467
ACH-000086,0.0429461657632
ACH-000087,-0.333221140072
ACH-000092,-0.157003576437
ACH-000095,-0.24207805586800002
ACH-000097,-0.247792067661
ACH-000098,-0.286120886446
ACH-000099,-0.29464964924000003
ACH-000108,-0.211483746306
ACH-000113,-0.17616550747200002
ACH-000115,-0.242156702713
ACH-000116,-0.185971114677
ACH-000118,-0.328898615468
ACH-000120,-0.309038572075
ACH-000123,-0.254244445632
ACH-000127,-0.250323568366
ACH-000128,-0.496912826242
ACH-000132,-0.43253650121200005
ACH-000133,-0.24396896341
ACH-000137,-0.0743474349659
ACH-000138,-0.19593321781
ACH-000142,-0.293835080961
ACH-000143,-0.225595508505
ACH-000146,-0.22211566708099997
ACH-000148,-0.337352690927
ACH-000150,-0.48304083568000006
ACH-000152,-0.204610220785
ACH-000153,-0.01178294099
ACH-000159,-0.439490123751
ACH-000160,-0.08042450013060001
ACH-000163,-0.280045112684
ACH-000167,-0.287986658252
ACH-000168,-0.300814859247
ACH-000169,-0.303474600889
ACH-000178,-0.13584066674599998
ACH-000182,-0.36112472092200004
ACH-000183,-0.171107641226
ACH-000188,-0.131477657671
ACH-000189,-0.253372096487
ACH-000190,-0.42184590588299997
ACH-000198,-0.233754890455
ACH-000204,-0.195673926968
ACH-000206,-0.260175451489
ACH-000207,-0.255593221041
ACH-000211,-0.31433098689100003
ACH-000215,-0.24987468164999999
ACH-000221,-0.43210785433999993
ACH-000222,-0.506880064258
ACH-000223,-0.20297267591899998
ACH-000226,-0.38233208821500003
ACH-000227,-0.345120731582
ACH-000228,-0.06120549509980001
ACH-000231,-0.23298422833500002
ACH-000232,-0.346705696409
ACH-000233,-0.032099948758299995
ACH-000234,-0.333387344564
ACH-000235,-0.1889682071
ACH-000237,-0.360483388688
ACH-000238,-0.257202205962
ACH-000243,-0.162662171637
ACH-000244,-0.302826772257
ACH-000246,-0.20713787992
ACH-000248,-0.24637486764699998
ACH-000250,-0.235517534975
ACH-000251,-0.338797708465
ACH-000253,-0.21998646440699998
ACH-000255,-0.42330332373400004
ACH-000256,-0.16471511364299998
ACH-000257,-0.281973842004
ACH-000258,-0.165397146445
ACH-000259,-0.18475128715599998
ACH-000260,-0.357675607756
ACH-000261,-0.30687278376
ACH-000262,-0.331303245452
ACH-000263,-0.455955152643
ACH-000264,-0.309368734867
ACH-000265,-0.121262623023
ACH-000266,-0.32077027503100003
ACH-000272,-0.20425630023699998
ACH-000273,-0.123050181978
ACH-000274,-0.134250051186
ACH-000277,-0.259289984285
ACH-000278,-0.316418447927
ACH-000279,-0.222194081811
ACH-000280,-0.215694008745
ACH-000281,-0.0730170512375
ACH-000288,-0.238698743051
ACH-000291,-0.22455991224
ACH-000293,-0.292522714872
ACH-000294,-0.260325569753
ACH-000295,-0.135154403823
ACH-000296,-0.33074636529199997
ACH-000302,-0.30864647248300003
ACH-000304,-0.17411777239999998
ACH-000307,-0.21598288083500003
ACH-000308,-0.192831165938
ACH-000310,-0.5227030928149999
ACH-000311,-0.16728426942
ACH-000312,-0.144395175967
ACH-000315,-0.43868010665
ACH-000316,-0.178616411874
ACH-000317,-0.544908939885
ACH-000318,-0.281521632854
ACH-000319,-0.273232175192
ACH-000320,-0.23814792815400002
ACH-000322,-0.219439065801
ACH-000323,-0.0849451166433
ACH-000324,-0.236725807325
ACH-000329,-0.16867161005800002
ACH-000330,-0.27780762724
ACH-000331,-0.300129203292
ACH-000332,-0.190127426624
ACH-000334,-0.052307932938400005
ACH-000335,-0.34599680695600005
ACH-000336,-0.23793130210299998
ACH-000337,-0.42629828869999997
ACH-000339,-0.303884274379
ACH-000341,-0.215040041171
ACH-000348,-0.225588679674
ACH-000350,0.044719063234900006
ACH-000352,-0.0345547955173
ACH-000356,-0.343397039303
ACH-000361,-0.29112292915300003
ACH-000362,-0.32596333370700004
ACH-000363,-0.226335090371
ACH-000364,-0.530433808618
ACH-000365,-0.301003931868
ACH-000366,-0.20692424410100002
ACH-000368,-0.478399431436
ACH-000374,-0.38899774644100005
ACH-000375,-0.287966268853
ACH-000376,-0.19828690464899998
ACH-000381,-0.34695879977099997
ACH-000383,-0.514821500498
ACH-000387,-0.37228964004500004
ACH-000389,-0.261175353693
ACH-000390,-0.119821714769
ACH-000393,-0.153831663831
ACH-000395,-0.164360124847
ACH-000397,-0.23189861903700001
ACH-000401,0.21426450979000003
ACH-000402,-0.136370373662
ACH-000403,-0.281833279142
ACH-000404,-0.309016645047
ACH-000406,-0.338859885806
ACH-000407,-0.11996426685900001
ACH-000408,-0.28270671751
ACH-000410,-0.24739032067699998
ACH-000411,-0.36059320851300003
ACH-000414,-0.314457458064
ACH-000415,-0.428390952926
ACH-000416,-0.223214099724
ACH-000420,-0.211612659732
ACH-000421,-0.221315663372
ACH-000424,-0.24021032174899998
ACH-000425,-0.22641859811
ACH-000426,-0.16467921715199998
ACH-000427,-0.258464301701
ACH-000433,-0.123481079828
ACH-000436,-0.529471881941
ACH-000444,-0.218299619241
ACH-000445,-0.292121634363
ACH-000448,-0.29878233311999997
ACH-000450,-0.27645445985100003
ACH-000452,-0.375582834439
ACH-000454,-0.0931549465698
ACH-000458,-0.268893266053
ACH-000459,-0.29925604742899997
ACH-000460,-0.239189698924
ACH-000461,-0.399633351147
ACH-000463,-0.16815082652
ACH-000464,-0.477421368458
ACH-000466,-0.30753165894
ACH-000467,-0.10649591867000001
ACH-000468,-0.150843855883
ACH-000469,-0.16778335047100001
ACH-000470,-0.343190681377
ACH-000471,-0.215172710288
ACH-000472,-0.306148206784
ACH-000473,-0.285154051033
ACH-000475,-0.200642851963
ACH-000476,-0.17981259754099999
ACH-000477,-0.49797475347599995
ACH-000480,-0.180316447973
ACH-000481,-0.348874546868
ACH-000483,-0.231985329829
ACH-000484,-0.260722801273
ACH-000485,-0.208240712927
ACH-000486,-0.246304429703
ACH-000487,-0.26833598802499997
ACH-000488,-0.38700215236100005
ACH-000490,-0.29331208089899996
ACH-000491,-0.195814887564
ACH-000495,-0.40294580104
ACH-000496,-0.162655183236
ACH-000499,-0.333675221505
ACH-000500,-0.32970639301800003
ACH-000502,-0.173303649985
ACH-000503,-0.233497034628
ACH-000505,-0.27351632844
ACH-000507,-0.30148182728100004
ACH-000510,-0.26382914993900003
ACH-000511,-0.173323536364
