,GALP (85569)
ACH-000004,-0.5858806335660001
ACH-000007,-0.510973313198
ACH-000009,-0.670231033297
ACH-000011,-0.467415837773
ACH-000012,-0.7605582860340001
ACH-000013,-0.7646483239499999
ACH-000014,-0.6245188784800001
ACH-000015,-0.5434810726179999
ACH-000017,-0.907227464953
ACH-000018,-0.648779903212
ACH-000019,-0.832764366038
ACH-000021,-0.761110308537
ACH-000022,-0.798636131752
ACH-000025,-0.6743152966
ACH-000028,-0.5677659555210001
ACH-000030,-0.803432649712
ACH-000035,-0.518559640447
ACH-000036,-0.600997405582
ACH-000037,-1.33994296381
ACH-000039,-0.8477634373649999
ACH-000040,-1.05750681036
ACH-000041,-1.1417599523100002
ACH-000042,-0.593837822887
ACH-000045,-0.632363500291
ACH-000047,-0.718618596629
ACH-000052,-0.502397156645
ACH-000053,-0.8063015573729999
ACH-000054,-0.623124348669
ACH-000055,-0.6801197027089999
ACH-000060,-1.0204111245799998
ACH-000067,-1.08287641168
ACH-000070,-0.6601116749970001
ACH-000075,-0.92812628637
ACH-000078,-0.778042084023
ACH-000082,-0.861080954544
ACH-000085,-0.79850229888
ACH-000086,-0.676941959154
ACH-000087,-0.8142701356090001
ACH-000092,-0.834488068456
ACH-000095,-0.824734724601
ACH-000097,-0.7326284725910001
ACH-000098,-0.863767599103
ACH-000099,-0.736775509973
ACH-000108,-0.538251810014
ACH-000113,-0.9069764007179999
ACH-000115,-0.80656797156
ACH-000116,-0.549906114885
ACH-000118,-0.810937863251
ACH-000120,-0.41911906899400003
ACH-000123,-0.6714441914899999
ACH-000127,-0.8247908864129999
ACH-000128,-0.844191524391
ACH-000132,-0.635447526818
ACH-000133,-0.7465019312819999
ACH-000137,-0.390560683842
ACH-000138,-0.716741928103
ACH-000142,-0.721878785513
ACH-000143,-0.636735759307
ACH-000146,-0.678575890422
ACH-000148,-0.779438523786
ACH-000150,-0.760470739859
ACH-000152,-0.7611651472069999
ACH-000153,-0.578408059122
ACH-000159,-0.7999149491959999
ACH-000160,-0.565954203101
ACH-000163,-0.703782464902
ACH-000167,-1.26736222801
ACH-000168,-0.794985305216
ACH-000169,-0.667846859046
ACH-000178,-0.702107267825
ACH-000182,-0.738706770315
ACH-000183,-0.559119850983
ACH-000188,-0.8021961363510001
ACH-000189,-0.825557646894
ACH-000190,-0.8559382358580001
ACH-000198,-0.805242099976
ACH-000204,-0.671484084025
ACH-000206,-0.47960641740800003
ACH-000207,-0.667628043783
ACH-000211,-0.8361348342470001
ACH-000215,-0.878719577514
ACH-000221,-0.49562465287600005
ACH-000222,-0.743898021409
ACH-000223,-0.8630515879269999
ACH-000226,-0.6792498491869999
ACH-000227,-0.927942202042
ACH-000228,-0.679091681912
ACH-000231,-0.739097965947
ACH-000232,-0.813887040186
ACH-000233,-0.650384023751
ACH-000234,-0.8103445629800001
ACH-000235,-0.7620150482250001
ACH-000237,-0.852588021886
ACH-000238,-0.62264562728
ACH-000243,-0.539615897923
ACH-000244,-0.6805203639990001
ACH-000246,-0.744342510606
ACH-000248,-0.5691726370970001
ACH-000250,-0.755956464064
ACH-000251,-0.672352468373
ACH-000253,-0.983003477287
ACH-000255,-0.57341717388
ACH-000256,-0.997537200791
ACH-000257,-0.8196649220990001
ACH-000258,-0.7114816353710001
ACH-000259,-0.742159474568
ACH-000260,-0.618648249119
ACH-000261,-0.7012332522750001
ACH-000262,-0.6258179973929999
