,CRTAC1 (55118)
ACH-000004,0.0694202389113
ACH-000007,-0.017633268049000003
ACH-000009,-0.0879803626503
ACH-000011,-0.04979723833190001
ACH-000012,-0.125788814273
ACH-000013,-0.07578758161089999
ACH-000014,-0.125057531917
ACH-000015,-0.165251960504
ACH-000017,0.136751757589
ACH-000018,-0.339017150835
ACH-000019,0.138407698154
ACH-000021,0.0341197486501
ACH-000022,-0.274957678473
ACH-000025,-0.215616747456
ACH-000028,0.0269658486601
ACH-000030,-0.0974934506728
ACH-000035,-0.31066118274
ACH-000036,-0.20374934079100002
ACH-000037,-0.055681455828
ACH-000039,-0.216090965671
ACH-000040,-0.201297662621
ACH-000041,-0.0982037725555
ACH-000042,-0.11829644755100001
ACH-000045,-0.13393988532099999
ACH-000047,-0.0778057160487
ACH-000052,-0.26762208927700004
ACH-000053,-0.19762521701900002
ACH-000054,-0.0687507129577
ACH-000055,-0.140049646845
ACH-000060,-0.309600609445
ACH-000067,-0.14308394812300002
ACH-000070,0.254060819631
ACH-000075,-0.15924061451500002
ACH-000078,-0.16268262026799998
ACH-000082,-0.0693820316141
ACH-000085,-0.127644700458
ACH-000086,-0.08075452518130001
ACH-000087,0.017761306566
ACH-000092,-0.07835769174
ACH-000095,-0.052318574132300004
ACH-000097,-0.00383141830121
ACH-000098,-0.17718593291200002
ACH-000099,-0.14156512881
ACH-000108,0.058576537478099995
ACH-000113,-0.133884441776
ACH-000115,-0.101248474078
ACH-000116,-0.12158785977099999
ACH-000118,-0.0658168582373
ACH-000120,-0.154751729955
ACH-000123,-0.173612027742
ACH-000127,-0.0964592823265
ACH-000128,-0.0514363010972
ACH-000132,-0.18968971065600002
ACH-000133,-0.07850632430539999
ACH-000137,-0.346498354358
ACH-000138,-0.000849558665112
ACH-000142,-0.100779333013
ACH-000143,0.153678946052
ACH-000146,-0.111609238412
ACH-000148,-0.24439727565699998
ACH-000150,-0.0713743197018
ACH-000152,-0.0763409371038
ACH-000153,-0.136209415984
ACH-000159,-0.138591526539
ACH-000160,-0.11418544861199999
ACH-000163,-0.0662302605162
ACH-000167,-0.00642069547059
ACH-000168,-0.17770866979699998
ACH-000169,-0.29589606378
ACH-000178,-0.0841743532492
ACH-000182,-0.190929024852
ACH-000183,-0.200318876072
ACH-000188,-0.26988943770999996
ACH-000189,0.17594935054699998
ACH-000190,-0.0179525592737
ACH-000198,-0.20077430781599998
ACH-000204,-0.148392793616
ACH-000206,0.0692627530895
ACH-000207,0.060641139544
ACH-000211,-0.20113387006900002
ACH-000215,-0.10920277786699999
ACH-000221,-0.08681976664470001
ACH-000222,0.0770828456655
ACH-000223,-0.133689924198
ACH-000226,-0.116752793367
ACH-000227,-0.23540033892200002
ACH-000228,-0.265718586185
ACH-000231,-0.13840500566400002
ACH-000232,-0.14758219262800001
ACH-000233,0.0556837178161
ACH-000234,0.158875771293
