,OXA1L (5018)
ACH-000004,-0.192387592188
ACH-000007,-0.37788090484
ACH-000009,-0.31151958083299996
ACH-000011,-0.440701319855
ACH-000012,-0.417383882215
ACH-000013,-0.61739515815
ACH-000014,-0.581837794001
ACH-000015,-0.376143952485
ACH-000017,-0.670191204343
ACH-000018,-0.457236959609
ACH-000019,-0.579821101061
ACH-000021,-0.25132199946
ACH-000022,-0.7516984815600001
ACH-000025,-0.447569202671
ACH-000028,-0.463986691809
ACH-000030,-0.56533960952
ACH-000035,-0.658882437686
ACH-000036,-0.16878347471900002
ACH-000037,-0.168425791371
ACH-000039,-0.27601972587699997
ACH-000040,-0.272905709738
ACH-000041,-0.533432723533
ACH-000042,-0.0554621580296
ACH-000045,-0.56760760947
ACH-000047,-0.415440617874
ACH-000052,-0.475805348508
ACH-000053,-0.39130819849
ACH-000054,-0.48160878185199996
ACH-000055,-0.324600900594
ACH-000060,-0.354165399652
ACH-000067,-0.299553882374
ACH-000070,-0.38163824053900003
ACH-000075,-0.431856615934
ACH-000078,-0.345713824656
ACH-000082,-0.264827656007
ACH-000085,-0.356903749368
ACH-000086,-0.34889940075900006
ACH-000087,-0.578326809747
ACH-000092,-0.26682177728900003
ACH-000095,-0.335033264896
ACH-000097,-0.514959357774
ACH-000098,-0.465888076253
ACH-000099,-0.5519978251250001
ACH-000108,-0.34038874511600004
ACH-000113,-0.40282170789399996
ACH-000115,-0.21580644817800002
ACH-000116,-0.483510965438
ACH-000118,-0.534793391744
ACH-000120,-0.383247793296
ACH-000123,-0.329367724831
ACH-000127,-0.449009643894
ACH-000128,-0.243470965502
ACH-000132,-0.19355195926399998
ACH-000133,-0.40976562583099996
ACH-000137,-0.18248998541900002
ACH-000138,-0.390602231892
ACH-000142,-0.449329806951
ACH-000143,-0.439772442429
ACH-000146,-0.269871623276
ACH-000148,-0.529655998485
ACH-000150,-0.21966695707699999
ACH-000152,-0.576921343664
ACH-000153,-0.48930678163999997
ACH-000159,-0.662595532506
ACH-000160,-0.681629251857
ACH-000163,-0.29889908664000003
ACH-000167,-0.5119829561020001
ACH-000168,-0.326234835962
ACH-000169,-0.600347498261
ACH-000178,-0.37995566771899997
ACH-000182,-0.465640958208
ACH-000183,-0.34186741056000003
ACH-000188,-0.22523295301600002
ACH-000189,-0.68894237412
ACH-000190,-0.292567607306
ACH-000198,-0.323007060793
ACH-000204,-0.334733379467
ACH-000206,-0.12700059417600001
ACH-000207,-0.540213604091
ACH-000211,-0.35457478157
ACH-000215,-0.47327457288900004
ACH-000221,-0.252177388881
ACH-000222,-0.35495867274400006
ACH-000223,-0.24147074468000002
ACH-000226,-0.18568056108800002
ACH-000227,-0.253550420524
ACH-000228,-0.444508938262
ACH-000231,-0.423276217354
ACH-000232,-0.38655999278000003
ACH-000233,-0.338096403123
ACH-000234,-0.10668325142000001
ACH-000235,-0.36915358116400004
ACH-000237,0.029371224753099997
ACH-000238,-0.39200099750100004
ACH-000243,-0.43186614735699996
ACH-000244,-0.39796478653399997
ACH-000246,-0.554119317574
ACH-000248,-0.591992393571
ACH-000250,-0.31460723961
ACH-000251,-0.11040637681700001
ACH-000253,-0.285878896814
ACH-000255,-0.235398061179
ACH-000256,0.0248472511485
ACH-000257,-0.40589381774800004
ACH-000258,-0.32736918431699996
ACH-000259,-0.6443159072429999
ACH-000260,-0.501905935251
ACH-000261,-0.330255874486
ACH-000262,-0.536847041
ACH-000263,-0.18283325681499998
ACH-000264,-0.534014213251
ACH-000265,-0.113691928784
ACH-000266,-0.20193194967999997
ACH-000272,-0.498995311712
ACH-000273,-0.08197577751089999
ACH-000274,-0.26765247634100003
ACH-000277,-0.45194761951800005
ACH-000278,-0.201207752885
ACH-000279,-0.280261676109
ACH-000280,-0.34076599187299994
ACH-000281,-0.403213118323
