,USB1 (79650)
ACH-000004,-0.093282122006
ACH-000007,0.0727427888033
ACH-000009,-0.124468153186
ACH-000011,-0.07975740019060001
ACH-000012,-0.158665738185
ACH-000013,0.0293543570317
ACH-000014,0.0292492477141
ACH-000015,0.0112654979466
ACH-000017,-0.168494952334
ACH-000018,-0.034441549159
ACH-000019,-0.00749034555865
ACH-000021,-0.199919437694
ACH-000022,-0.134518790316
ACH-000025,-0.187605306657
ACH-000028,0.251503032744
ACH-000030,-0.0593624957044
ACH-000035,-0.107037036118
ACH-000036,-0.13373746507
ACH-000037,-0.16841331479200003
ACH-000039,-0.089541086759
ACH-000040,-0.0424638403533
ACH-000041,0.034659447817800004
ACH-000042,-0.180122585374
ACH-000045,-0.0026805370421500003
ACH-000047,-0.11013816841099999
ACH-000052,-0.156284515223
ACH-000053,-0.108366382684
ACH-000054,-0.0384513529104
ACH-000055,-0.0953925669013
ACH-000060,-0.09306814238189999
ACH-000067,-0.115422381094
ACH-000070,-0.13585833907
ACH-000075,-0.141740940416
ACH-000078,-0.053757402057400004
ACH-000082,-0.024513132792700003
ACH-000085,-0.08781664846989999
ACH-000086,-0.124507574464
ACH-000087,-0.169089945447
ACH-000092,0.000511630494198
ACH-000095,-0.0317417836754
ACH-000097,-0.258552967991
ACH-000098,-0.310050837519
ACH-000099,-0.0406280911199
ACH-000108,-0.0291840357548
ACH-000113,-0.144696149197
ACH-000115,-0.130969212886
ACH-000116,0.0368801452326
ACH-000118,-0.04918693062559999
ACH-000120,-0.119093002465
ACH-000123,-0.117951609618
ACH-000127,-0.19283673752500002
ACH-000128,-0.126008160383
ACH-000132,-0.479057048868
ACH-000133,-0.151077233939
ACH-000137,-0.11433857483899999
ACH-000138,-0.13788263082
ACH-000142,-0.398264358727
ACH-000143,-0.00829763016067
ACH-000146,-0.10299988875
ACH-000148,-0.08940795608629999
ACH-000150,-0.209882131376
ACH-000152,-0.17176372574499998
ACH-000153,-0.1191535587
ACH-000159,0.0216555238464
ACH-000160,-0.175504038142
ACH-000163,0.116946257156
ACH-000167,-0.222574737803
ACH-000168,0.103014574494
ACH-000169,0.00231626925869
ACH-000178,-0.176782561242
ACH-000182,-0.11452329556
ACH-000183,-0.023160012582299997
ACH-000188,-0.253468251586
ACH-000189,0.039340442516199996
ACH-000190,-0.22630291231999997
ACH-000198,-0.021749280888999998
ACH-000204,-0.210957045869
ACH-000206,-0.223121074495
ACH-000207,-0.111185451331
ACH-000211,-0.038701702805
ACH-000215,-0.0678889554646
ACH-000221,-0.118681485532
ACH-000222,-0.039594079697199996
ACH-000223,-0.0008143158186389999
ACH-000226,-0.37985984322599997
ACH-000227,-0.0187055447792
ACH-000228,-0.021500828325499998
ACH-000231,-0.30919805443799997
ACH-000232,-0.182771875256
ACH-000233,-0.07271673136189999
ACH-000234,-0.0147543813243
ACH-000235,-0.114554174822
ACH-000237,-0.15373201687000002
ACH-000238,-0.214922524178
ACH-000243,-0.148818246672
ACH-000244,-0.255676564535
ACH-000246,-0.0458617184473
ACH-000248,-0.250479396563
ACH-000250,-0.060217500694399996
ACH-000251,0.014920450944000001
ACH-000253,0.0815028380748
ACH-000255,0.0518644720811
ACH-000256,0.00217131994782
ACH-000257,0.0540791504631
ACH-000258,-0.10673237264699999
ACH-000259,-0.175862617371
ACH-000260,-0.194735167501
ACH-000261,-0.105082610055
ACH-000262,-0.12261509825200001
ACH-000263,-0.21461489475
ACH-000264,-0.220058758659
ACH-000265,0.006811991801689999
ACH-000266,-0.156818152229
ACH-000272,-0.100718277284
ACH-000273,-0.00458164229668
ACH-000274,-0.167283274783
ACH-000277,-0.07872589014760001
ACH-000278,-0.0648243722266
ACH-000279,-0.0482271917308
ACH-000280,-0.340936594159
ACH-000281,-0.324860735325
ACH-000288,-0.227567036212
ACH-000291,0.017447400246900002
ACH-000293,-0.442045688514
ACH-000294,-0.038427821693800004
ACH-000295,-0.27841033288
ACH-000296,-0.23189285169799997
ACH-000302,-0.0204704646103
ACH-000304,0.156445810565
ACH-000307,-0.12050344968599999
ACH-000308,-0.043723988722099996
ACH-000310,-0.25295387777899997
ACH-000311,-0.0733701271929
ACH-000312,-0.0183430387555
ACH-000315,-0.00857858702874
ACH-000316,0.106840744511
ACH-000317,0.19725436716400002
ACH-000318,-0.07345730525739999
ACH-000319,-0.218725641098
ACH-000320,-0.1627588169
ACH-000322,0.28960288114300003
ACH-000323,-0.015740034790700002
ACH-000324,-0.21195408876
ACH-000329,-0.060042826397900005
ACH-000330,-0.0181996993723
ACH-000331,-0.055385189181
ACH-000332,-0.028908098668700002
ACH-000334,0.0348954749667
ACH-000335,-0.252165890039
ACH-000336,-0.0685392896687
ACH-000337,-0.345683937628
ACH-000339,-0.0585294491371
ACH-000341,-0.051902596874400006
ACH-000348,-0.291579091034
ACH-000350,-0.584322103812
ACH-000352,0.038265910694199996
ACH-000356,-0.27847529496199996
ACH-000361,-0.0890869029758
ACH-000362,-0.10019124299799999
