,HIST1H4K (8362)
ACH-000004,-0.547100367273
ACH-000007,-0.321807738774
ACH-000009,-0.38760442396899997
ACH-000011,-0.614888089504
ACH-000012,-0.21027922660999998
ACH-000013,-0.24701774698800003
ACH-000014,-0.43467352876500004
ACH-000015,-0.419961766595
ACH-000017,-0.34348068971600004
ACH-000018,-0.52517554838
ACH-000019,-0.28702360583000003
ACH-000021,-0.134141991057
ACH-000022,-0.538357245376
ACH-000025,-0.482642821179
ACH-000028,-0.262122263552
ACH-000030,-0.46524663167499997
ACH-000035,-0.656801678792
ACH-000036,-0.250656579085
ACH-000037,-0.107639138355
ACH-000039,-0.285472966732
ACH-000040,-0.599447772325
ACH-000041,-0.370671182653
ACH-000042,-0.384483545196
ACH-000045,-0.5001440496
ACH-000047,-0.36647391968099996
ACH-000052,-0.5421884340850001
ACH-000053,-0.428166656918
ACH-000054,-0.5497471436429999
ACH-000055,-0.24222578920200002
ACH-000060,-0.6746036396080001
ACH-000067,-0.33859971858800003
ACH-000070,-0.426902206344
ACH-000075,-0.35728332347900005
ACH-000078,-0.270033975209
ACH-000082,-0.42422090007200003
ACH-000085,-0.25334791416499997
ACH-000086,-0.549748437065
ACH-000087,-0.279679564258
ACH-000092,-0.290645814679
ACH-000095,-0.552728894235
ACH-000097,-0.35937381625500003
ACH-000098,-0.57729044903
ACH-000099,-0.17509954204999997
ACH-000108,-0.281002263372
ACH-000113,-0.651509198742
ACH-000115,-1.0793929066299999
ACH-000116,-0.401016315199
ACH-000118,-0.601243711007
ACH-000120,-0.24006874962299998
ACH-000123,-0.500149860545
ACH-000127,-0.6484544482
ACH-000128,-0.309289791841
ACH-000132,-0.30913176174
ACH-000133,-0.200435570654
ACH-000137,-0.486014976708
ACH-000138,-0.680519600211
ACH-000142,-0.45609627349200005
ACH-000143,-0.44869432093500006
ACH-000146,-0.507010035471
ACH-000148,-0.347132226158
ACH-000150,-0.118936464699
ACH-000152,-0.469365240334
ACH-000153,-0.353006103538
ACH-000159,-0.549723152518
ACH-000160,-0.561690735367
ACH-000163,-0.5817843581109999
ACH-000167,-0.421627330127
ACH-000168,-0.5133085953540001
ACH-000169,-0.49315467910099997
ACH-000178,-0.628928428527
ACH-000182,-0.550549240535
ACH-000183,-0.37981606466300005
ACH-000188,-0.586664867782
ACH-000189,-0.239146094428
ACH-000190,-0.46276902756000005
ACH-000198,-0.6831641098100001
ACH-000204,-0.44924387573700003
ACH-000206,-1.35451242683
ACH-000207,-0.598286324949
ACH-000211,-0.33388578526
ACH-000215,-0.365025910682
ACH-000221,-0.30423867062300003
ACH-000222,-0.460964226472
ACH-000223,-0.512003989703
ACH-000226,-0.14788094775
ACH-000227,-0.238996542821
ACH-000228,-0.276868138577
ACH-000231,-0.589732536838
ACH-000232,-0.261171140496
ACH-000233,-0.387668135849
ACH-000234,-0.493652937073
ACH-000235,-0.38423587103900003
ACH-000237,-0.38309964074600006
ACH-000238,-0.495336419524
ACH-000243,-0.390169127824
ACH-000244,-0.56440526717
ACH-000246,-0.28575672078000003
ACH-000248,-0.17999106195700001
ACH-000250,-0.331047921441
ACH-000251,-1.36370971115
ACH-000253,-0.447328972658
ACH-000255,-0.33092959392099996
ACH-000256,-0.599503763841
ACH-000257,-0.253513142865
ACH-000258,-0.501150802149
ACH-000259,-0.330845521737
ACH-000260,-0.402949546802
ACH-000261,-0.382827953116
ACH-000262,-0.26284645048300004
ACH-000263,-0.4281576425
ACH-000264,-0.431350517333
ACH-000265,-0.509798598573
ACH-000266,-0.5497453969389999
ACH-000272,-0.501832074328
ACH-000273,-0.421241859446
ACH-000274,-0.325059953538
ACH-000277,-0.49502538731000006
ACH-000278,-0.440486254829
ACH-000279,-0.287222942069
ACH-000280,-0.810701341213
ACH-000281,-0.44584610848800005
ACH-000288,-0.0923474637955
ACH-000291,-0.280128266281
ACH-000293,-0.24539963701099998
ACH-000294,-0.225988419118
ACH-000295,-0.510314442672
ACH-000296,-0.367930268235
ACH-000302,-0.27811302183200004
ACH-000304,-0.36301425393299996
ACH-000307,-0.58663496253
ACH-000308,-0.335047605018
ACH-000310,-0.13210603609899998
