,RPL36AL (6166)
ACH-000004,-0.5609750702399999
ACH-000007,-0.881805096382
ACH-000009,-0.951349275108
ACH-000011,-0.871116525387
ACH-000012,-0.584285381608
ACH-000013,-0.474270256678
ACH-000014,-0.676081439534
ACH-000015,-0.6067687620109999
ACH-000017,-0.6892187651180001
ACH-000018,-0.683806254592
ACH-000019,-0.971550426252
ACH-000021,-0.589988279664
ACH-000022,-0.672053081523
ACH-000025,-0.653593867494
ACH-000028,-0.8437341314710001
ACH-000030,-0.847416166442
ACH-000035,-0.620056776987
ACH-000036,-0.6672154191790001
ACH-000037,-0.7953116288490001
ACH-000039,-0.968845921713
ACH-000040,-0.7704261699989999
ACH-000041,-0.713672654002
ACH-000042,-0.866636340288
ACH-000045,-0.8194447176399999
ACH-000047,-0.577450009145
ACH-000052,-0.922372802995
ACH-000053,-0.8584609421080001
ACH-000054,-0.942509813479
ACH-000055,-0.603338173009
ACH-000060,-0.839882745484
ACH-000067,-1.132490397
ACH-000070,-0.7132559207260001
ACH-000075,-1.0641469674600001
ACH-000078,-0.9818207766949999
ACH-000082,-0.9661469477369999
ACH-000085,-0.574184104334
ACH-000086,-0.888492427963
ACH-000087,-0.7018450747630001
ACH-000092,-1.00145255498
ACH-000095,-1.09704708514
ACH-000097,-0.7337162395990001
ACH-000098,-0.722963145847
ACH-000099,-0.820841524168
ACH-000108,-0.651401568905
ACH-000113,-0.8325028068320001
ACH-000115,-0.826745533164
ACH-000116,-0.772349981818
ACH-000118,-0.652801952468
ACH-000120,-0.640461476401
ACH-000123,-0.864367278644
ACH-000127,-0.749092912062
ACH-000128,-0.952748070619
ACH-000132,-0.539081190914
ACH-000133,-0.82728794741
ACH-000137,-0.92715905925
ACH-000138,-0.7102019032860001
ACH-000142,-0.769808479156
ACH-000143,-0.812912316693
ACH-000146,-0.801248527904
ACH-000148,-0.759714398724
ACH-000150,-0.790746642965
ACH-000152,-0.801367193659
ACH-000153,-0.307444616678
ACH-000159,-0.920689384334
ACH-000160,-0.613024050378
ACH-000163,-0.716604046088
ACH-000167,1.70137019626
ACH-000168,-1.03157486464
ACH-000169,-0.700701814717
ACH-000178,-0.765936068267
ACH-000182,-0.6801846304279999
ACH-000183,-0.568094916842
ACH-000188,-0.747566307901
ACH-000189,-0.613754662018
ACH-000190,-0.6767164212029999
ACH-000198,-0.925260359227
ACH-000204,-0.844622705606
ACH-000206,-0.8677927847589999
ACH-000207,-0.804468100391
ACH-000211,-0.9040675750749999
ACH-000215,-0.823725044428
ACH-000221,-0.364185626519
ACH-000222,-0.711405273729
ACH-000223,-0.7987275417899999
ACH-000226,-0.762486710918
ACH-000227,-0.7938901609479999
ACH-000228,-0.513589105959
ACH-000231,-0.805972876899
ACH-000232,-0.9190909134530001
ACH-000233,-0.6871769910459999
ACH-000234,-0.994513975523
ACH-000235,-0.719426994665
ACH-000237,-0.519102191948
ACH-000238,-0.610971847213
ACH-000243,-0.807862337788
ACH-000244,-0.502239422403
ACH-000246,-0.763689473461
ACH-000248,-0.584804711953
ACH-000250,-0.87438507016
ACH-000251,-0.953537706699
ACH-000253,-0.636931996479
ACH-000255,-0.648885235068
ACH-000256,-0.8438561563410001
ACH-000257,-0.7857495271770001
ACH-000258,-0.185357940892
ACH-000259,-0.542975069132
ACH-000260,-0.662070226402
ACH-000261,-0.85216431918
ACH-000262,-0.780489342769
ACH-000263,-0.830788337558
ACH-000264,-0.958745634858
ACH-000265,-0.637232340294
ACH-000266,-0.6900520268000001
ACH-000272,-0.827140654509
ACH-000273,-0.728842922232
ACH-000274,-1.00006964101
ACH-000277,-0.8367633212960001
ACH-000278,-0.7945886027179999
ACH-000279,-0.7669172499279999
ACH-000280,-0.870248150456
ACH-000281,-0.6249558160700001
ACH-000288,-0.8174862464079999
ACH-000291,-0.750246767097
ACH-000293,-0.6281378125720001
ACH-000294,-0.49105688728200003
ACH-000295,-0.622327264956
ACH-000296,-0.83311784104
ACH-000302,-0.642655031281
ACH-000304,-1.31037740566
ACH-000307,-0.584114036716
ACH-000308,-0.616067016157
ACH-000310,-1.09857008934
ACH-000311,-0.9852979749390001
ACH-000312,-0.555337968056
ACH-000315,-0.6736000431229999
ACH-000316,-0.848789470379
ACH-000317,-0.677236309519
ACH-000318,-0.813411462118
ACH-000319,-0.7723670060660001
ACH-000320,-0.671336434733
ACH-000322,-1.19383911938
ACH-000323,-0.528863014754
ACH-000324,-0.737037316277
ACH-000329,-0.9251229959630001
ACH-000330,-0.642939844423
ACH-000331,-0.8239393079940001
ACH-000332,-0.754775215915
ACH-000334,-0.9455909527420001
