,TXN (7295)
ACH-000004,-1.56591740509
ACH-000007,-1.4046594924899998
ACH-000009,-1.62488592016
ACH-000011,-1.1636725692799998
ACH-000012,-1.34745367505
ACH-000013,-1.48889656976
ACH-000014,-1.72384726387
ACH-000015,-1.5704949182499999
ACH-000017,-1.40113234317
ACH-000018,-1.2162208668799999
ACH-000019,-0.977486581685
ACH-000021,-1.613600893
ACH-000022,-1.63146896325
ACH-000025,-1.43219128701
ACH-000028,-1.13397011917
ACH-000030,-1.2786012495799999
ACH-000035,-1.4894960163
ACH-000036,-1.1997829475200001
ACH-000037,-2.2368791778799997
ACH-000039,-1.9516900151099998
ACH-000040,-1.64743876486
ACH-000041,-1.4511218741799998
ACH-000042,-1.31761223491
ACH-000045,-1.1608867545700001
ACH-000047,-1.38391909
ACH-000052,-1.53245655197
ACH-000053,-1.40363560215
ACH-000054,-1.30985614343
ACH-000055,-1.39084402414
ACH-000060,-1.27497260094
ACH-000067,-1.53849047129
ACH-000070,-1.55568162748
ACH-000075,-1.3788924263299998
ACH-000078,-1.8501337771700002
ACH-000082,-1.21856470075
ACH-000085,-1.36909749622
ACH-000086,-1.35135649903
ACH-000087,-1.26477734313
ACH-000092,-1.33338406749
ACH-000095,-1.5759413911500002
ACH-000097,-1.22482325459
ACH-000098,-1.27255173817
ACH-000099,-1.2408818975799998
ACH-000108,-1.3429113759
ACH-000113,-1.20425326974
ACH-000115,-1.3777210723
ACH-000116,-1.35331043945
ACH-000118,-1.20555357401
ACH-000120,-1.16571418387
ACH-000123,-1.3494998048
ACH-000127,-1.21287808377
ACH-000128,-1.0109439960200002
ACH-000132,-1.3115672341
ACH-000133,-1.16887946291
ACH-000137,-1.56758192245
ACH-000138,-1.64421865617
ACH-000142,-1.40448971706
ACH-000143,-1.2006604434600001
ACH-000146,-1.3040898225
ACH-000148,-1.51508049428
ACH-000150,-1.35777901592
ACH-000152,-1.5265726640900001
ACH-000153,-1.07399971222
ACH-000159,-1.7194261485900002
ACH-000160,-1.1951539522
ACH-000163,-1.25239779173
ACH-000167,-1.27533498933
ACH-000168,-1.48380602352
ACH-000169,-1.20572153372
ACH-000178,-1.1957739545000001
ACH-000182,-1.4721344767200002
ACH-000183,-1.2666610254100001
ACH-000188,-1.1498854114700001
ACH-000189,-1.43399189792
ACH-000190,-1.5985448184200002
ACH-000198,-1.40403278695
ACH-000204,-1.5496245680899998
ACH-000206,-1.28824990739
ACH-000207,-1.2536955456899999
ACH-000211,-1.28938475085
ACH-000215,-1.55115072086
ACH-000221,-1.66408369877
ACH-000222,-1.4299703696500001
ACH-000223,-1.1265974670299999
ACH-000226,-1.24297690315
ACH-000227,-1.5205704306799999
ACH-000228,-1.2108905833299999
ACH-000231,-1.42768125704
ACH-000232,-1.38367655747
ACH-000233,-1.33050209183
ACH-000234,-1.15627122256
ACH-000235,-1.44280891435
ACH-000237,-0.7835876016969999
ACH-000238,-1.1141371335899999
ACH-000243,-1.34369204067
ACH-000244,-1.61390865588
ACH-000246,-1.2372449679200002
ACH-000248,-1.2941280841
ACH-000250,-1.24321160738
ACH-000251,-1.78290855241
ACH-000253,-1.23173022832
ACH-000255,-1.27568254158
ACH-000256,-1.6557348858
ACH-000257,-1.73788006902
ACH-000258,-1.47368315621
ACH-000259,-1.38988059035
ACH-000260,-1.30369631164
ACH-000261,-1.61749807102
ACH-000262,-1.22289067614
ACH-000263,-1.36870096278
ACH-000264,-1.32191752964
ACH-000265,-1.27053848638
ACH-000266,-1.15034498412
ACH-000272,-1.4563279959
ACH-000273,-1.2283010507799998
ACH-000274,-1.1910599377200002
ACH-000277,-0.959550259124
ACH-000278,-1.64603403461
ACH-000279,-1.20964735195
ACH-000280,-1.3764167608700002
ACH-000281,-1.39591373303
ACH-000288,-1.5927707205000001
ACH-000291,-1.3542428302399998
ACH-000293,-1.58999574711
ACH-000294,-1.66035041813
ACH-000295,-1.8738420156599997
ACH-000296,-1.4799733917700002
ACH-000302,-1.4002300375499999
ACH-000304,-2.17159579197
ACH-000307,-1.0153216892599999
ACH-000308,-1.90592828942
ACH-000310,-1.6133847465900002
ACH-000311,-1.5207268228200002
ACH-000312,-1.4782747725
ACH-000315,-1.12620510881
ACH-000316,-1.14257765676
ACH-000317,-1.26693172817
ACH-000318,-1.43518760898
ACH-000319,-1.1254334694299999
ACH-000320,-1.4517892349200001
ACH-000322,-1.4849054161300002
ACH-000323,-1.48028228062
ACH-000324,-1.54523181671
ACH-000329,-1.7437841904099998
ACH-000330,-1.1758767023299999
ACH-000331,-1.2345217444499998
ACH-000332,-1.19036710798
ACH-000334,-1.3777065872
ACH-000335,-1.30438691335
ACH-000336,-1.1809655590700001
ACH-000337,-1.24140017214
ACH-000339,-1.4781677787099998
ACH-000341,-2.05489629175
ACH-000348,-1.55307680144
ACH-000350,-1.41012227257
ACH-000352,-1.0339318374
ACH-000356,-1.7661025363599998
ACH-000361,-1.5235795404899999
ACH-000362,-1.27329810689
ACH-000363,-0.7534415959540001
ACH-000364,-1.62524827646
ACH-000365,-1.3559482812099999
ACH-000366,-1.6043371267700002
ACH-000368,-1.6614830870100001
