,RAP1GAP2 (23108)
ACH-000004,0.371276775008
ACH-000007,0.282319077262
ACH-000009,0.21394671663400003
ACH-000011,0.30699066475299996
ACH-000012,0.277028168412
ACH-000013,0.11376651207699999
ACH-000014,0.22353432554400002
ACH-000015,0.223032287983
ACH-000017,0.275201533456
ACH-000018,-0.059936970144800004
ACH-000019,0.218158465638
ACH-000021,0.170878112698
ACH-000022,0.260444474306
ACH-000025,0.20693343796500002
ACH-000028,0.328126313424
ACH-000030,0.29801965888
ACH-000035,0.31420785105300003
ACH-000036,0.214668509969
ACH-000037,0.16148680251599998
ACH-000039,0.331331031377
ACH-000040,0.363854955815
ACH-000041,0.046920503134
ACH-000042,0.137780248878
ACH-000045,0.420593266249
ACH-000047,0.216020793746
ACH-000052,0.242386936439
ACH-000053,0.215264231419
ACH-000054,0.211343496536
ACH-000055,0.20332023178800002
ACH-000060,0.176646924469
ACH-000067,0.0895225542629
ACH-000070,0.257286163931
ACH-000075,0.30628579645799997
ACH-000078,0.204835788864
ACH-000082,0.119620097754
ACH-000085,0.43220244923900003
ACH-000086,0.401044080435
ACH-000087,0.35247952234700003
ACH-000092,0.237734379652
ACH-000095,0.130300713416
ACH-000097,0.174500836879
ACH-000098,0.269477754477
ACH-000099,0.268537122267
ACH-000108,0.166495452109
ACH-000113,0.334473413389
ACH-000115,0.160658137661
ACH-000116,0.116142456544
ACH-000118,0.0265791559895
ACH-000120,0.0569293046552
ACH-000123,0.139552133707
ACH-000127,0.170245928221
ACH-000128,0.259548258184
ACH-000132,0.224351965198
ACH-000133,0.30807101704100004
ACH-000137,0.224509022364
ACH-000138,0.21061191745700003
ACH-000142,0.284363662794
ACH-000143,0.14862359375
ACH-000146,0.304342325282
ACH-000148,0.278901636277
ACH-000150,0.15581055371
ACH-000152,0.14431493916
ACH-000153,0.428973191536
ACH-000159,0.25279698302700004
ACH-000160,0.27829711056999995
ACH-000163,0.17347310103
ACH-000167,-0.240240758222
ACH-000168,0.0204707713113
ACH-000169,0.369709334497
ACH-000178,0.28737279161400003
ACH-000182,0.134915359523
ACH-000183,0.166580749728
ACH-000188,0.139888083067
ACH-000189,0.24103419417599997
ACH-000190,0.19354787929099998
ACH-000198,0.418423616289
ACH-000204,0.175116483331
ACH-000206,0.277790347469
ACH-000207,0.220311705369
ACH-000211,0.294487693041
ACH-000215,0.08455712328439999
ACH-000221,0.22474646684799998
ACH-000222,-0.00646237906563
ACH-000223,0.20813297691399998
ACH-000226,0.174620597079
ACH-000227,0.278980463198
ACH-000228,0.20924523214899998
ACH-000231,-0.0117311808213
ACH-000232,0.242992652742
ACH-000233,0.153401231436
ACH-000234,0.19204422089200002
ACH-000235,0.0988122419645
ACH-000237,0.19242654517299998
ACH-000238,0.0352875106413
ACH-000243,0.25810010125300004
ACH-000244,0.0866966817553
ACH-000246,0.268818095253
ACH-000248,0.19787217695
ACH-000250,0.14888908456900002
ACH-000251,0.214554577756
ACH-000253,0.21974808158599998
ACH-000255,0.30311338227400003
ACH-000256,0.15777197884400002
ACH-000257,0.225940392091
ACH-000258,0.169502420427
