,EPSTI1 (94240)
ACH-000004,-0.36427125949100003
ACH-000007,-0.18689501329799998
ACH-000009,-0.335530759922
ACH-000011,-0.536030791564
ACH-000012,-0.388807436571
ACH-000013,-0.332644268746
ACH-000014,-0.246591219659
ACH-000015,-0.320643818053
ACH-000017,-0.240880464857
ACH-000018,-0.142282660941
ACH-000019,-0.07744404003960001
ACH-000021,-0.277844556266
ACH-000022,-0.224799305819
ACH-000025,-0.330927491501
ACH-000028,-0.242147599745
ACH-000030,-0.393366788717
ACH-000035,-0.30825435515
ACH-000036,-0.363173914076
ACH-000037,-0.265480300023
ACH-000039,-0.353698453863
ACH-000040,-0.183884883469
ACH-000041,-0.306939496532
ACH-000042,-0.302513450788
ACH-000045,-0.215812414433
ACH-000047,-0.222355138002
ACH-000052,-0.329803637192
ACH-000053,-0.180673383702
ACH-000054,-0.5021579542310001
ACH-000055,-0.18910064204500002
ACH-000060,-0.300071514796
ACH-000067,-0.301243406388
ACH-000070,-0.41659180713
ACH-000075,-0.183268331119
ACH-000078,-0.544843630595
ACH-000082,-0.471219760866
ACH-000085,-0.336373687136
ACH-000086,-0.455330173811
ACH-000087,0.0191492735728
ACH-000092,-0.391060361347
ACH-000095,-0.144993350397
ACH-000097,-0.272353161683
ACH-000098,-0.162960678744
ACH-000099,-0.353186988956
ACH-000108,-0.263622000412
ACH-000113,-0.404289114996
ACH-000115,-0.369224215186
ACH-000116,-0.279863267535
ACH-000118,-0.241738346327
ACH-000120,-0.444805355657
ACH-000123,-0.200528770121
ACH-000127,-0.42039661730300004
ACH-000128,-0.40394000786
ACH-000132,-0.359625273927
ACH-000133,-0.425647438275
ACH-000137,-0.30666545165
ACH-000138,-0.0731864600467
ACH-000142,-0.19746611545499998
ACH-000143,-0.363006696254
ACH-000146,-0.34200555049500003
ACH-000148,-0.479102608983
ACH-000150,-0.20458294843699998
ACH-000152,-0.324491053092
ACH-000153,-0.375262064926
ACH-000159,-0.325688284556
ACH-000160,-0.272143708676
ACH-000163,-0.46884809367299995
ACH-000167,-0.457765339709
ACH-000168,-0.11799885829000002
ACH-000169,-0.39714202294900003
ACH-000178,-0.41551745501299997
ACH-000182,-0.360057146103
ACH-000183,-0.366300645147
ACH-000188,-0.24546146496
ACH-000189,-0.664752419452
ACH-000190,-0.40393098955
ACH-000198,-0.253495593284
ACH-000204,-0.276732076281
ACH-000206,-0.191405694875
ACH-000207,-0.459758729207
ACH-000211,-0.25322934587699997
ACH-000215,-0.296411431857
ACH-000221,-0.125569245592
ACH-000222,-0.17924957765900001
ACH-000223,-0.367388237509
ACH-000226,-0.22209362182300002
ACH-000227,-0.727142526921
ACH-000228,-0.40155653133
ACH-000231,-0.334030053201
ACH-000232,-0.41913462265199997
ACH-000233,-0.139270386374
ACH-000234,-0.149639540519
ACH-000235,-0.20673142988200002
ACH-000237,-0.270793172872
ACH-000238,-0.318879046195
ACH-000243,-0.263331762074
ACH-000244,-0.29001500978
ACH-000246,-0.37893102211900004
ACH-000248,-0.13905698880200001
ACH-000250,-0.342431192227
ACH-000251,-0.59007233202
ACH-000253,-0.261478085105
ACH-000255,-0.34528660913900006
ACH-000256,-0.314780794477
