,FCHO1 (23149)
ACH-000004,-0.554819987313
ACH-000007,-0.314672070673
ACH-000009,-0.0264075911409
ACH-000011,-0.211465904167
ACH-000012,-0.140612563267
ACH-000013,-0.24716590130600002
ACH-000014,-0.0718132821785
ACH-000015,-0.21377968817499998
ACH-000017,-0.33171164791499996
ACH-000018,-0.415220938628
ACH-000019,-0.263208629046
ACH-000021,-0.34708066270000004
ACH-000022,-0.32718464284800003
ACH-000025,-0.310585212941
ACH-000028,-0.155741887411
ACH-000030,-0.317969530254
ACH-000035,-0.336321008422
ACH-000036,-0.09053728787799999
ACH-000037,-0.139013365623
ACH-000039,-0.33849133714699997
ACH-000040,-0.172497254226
ACH-000041,-0.214738884371
ACH-000042,-0.244053358316
ACH-000045,-0.23753391107400001
ACH-000047,-0.271335133485
ACH-000052,-0.14744174136399998
ACH-000053,-0.5124522703559999
ACH-000054,-0.233471141383
ACH-000055,-0.326095807583
ACH-000060,-0.12325009610099999
ACH-000067,-0.184323522624
ACH-000070,-0.8034127170550001
ACH-000075,-0.216975051484
ACH-000078,-0.181238454694
ACH-000082,-0.23789289426999996
ACH-000085,-0.178020964784
ACH-000086,-0.30907263286200004
ACH-000087,-0.37394053516599995
ACH-000092,-0.191260072203
ACH-000095,-0.194144105925
ACH-000097,-0.21210316649900002
ACH-000098,-0.255540283933
ACH-000099,-0.0714685503395
ACH-000108,-0.250163772863
ACH-000113,-0.307920867471
ACH-000115,-0.20588009877500002
ACH-000116,-0.29893066004999996
ACH-000118,-0.16916031459199998
ACH-000120,-0.182114137614
ACH-000123,-0.171053483454
ACH-000127,-0.257117618788
ACH-000128,-0.054812094868900006
ACH-000132,-0.229582295847
ACH-000133,-0.22744063351799998
ACH-000137,-0.121645812511
ACH-000138,-0.217407264355
ACH-000142,-0.281063967747
ACH-000143,-0.224261202188
ACH-000146,-0.24554999104699998
ACH-000148,-0.0781731816297
ACH-000150,-0.0946175644804
ACH-000152,-0.23142635858399999
ACH-000153,0.011318428568200001
ACH-000159,-0.251157369606
ACH-000160,-0.159776203858
ACH-000163,-0.137996643356
ACH-000167,-0.43866803946099997
ACH-000168,-0.359834946774
ACH-000169,-0.0998996664188
ACH-000178,-0.215923555143
ACH-000182,-0.045777115143
ACH-000183,-0.228967959339
ACH-000188,-0.230634357063
ACH-000189,-0.255234496542
ACH-000190,-0.159882815546
ACH-000198,-0.141557487112
ACH-000204,-0.137949406644
ACH-000206,-0.541282815857
ACH-000207,-0.199320021918
ACH-000211,-0.222503796984
ACH-000215,-0.12998778508199998
ACH-000221,-0.10423740422700001
ACH-000222,-0.100604364894
ACH-000223,-0.183528034511
ACH-000226,-0.566873902186
ACH-000227,-0.0408955398635
ACH-000228,-0.07078877932699999
ACH-000231,-0.11103098254100001
ACH-000232,-0.17470639425099999
ACH-000233,-0.124519896862
ACH-000234,-0.551945977418
ACH-000235,-0.271270778568
ACH-000237,-0.31384011447
ACH-000238,-0.22134985080800001
ACH-000243,-0.364687650089
ACH-000244,-0.133059874547
ACH-000246,-0.242788950145
ACH-000248,-0.420633132123
ACH-000250,-0.184151786061
ACH-000251,-0.027927296604900002
ACH-000253,-0.175984485342
ACH-000255,-0.21883275418
ACH-000256,-0.0237593556483
ACH-000257,-0.129827964377
ACH-000258,-0.166394531602
ACH-000259,-0.133437637077
ACH-000260,-0.223149897781
ACH-000261,-0.12873814216499999
ACH-000262,-0.129336646733
ACH-000263,0.393460221666
ACH-000264,-0.17330331153200002
ACH-000265,-0.19902261879799998
ACH-000266,-0.24193891408100002
ACH-000272,-0.21437891224599998
ACH-000273,-0.152380521629
ACH-000274,-0.11759846124500001
ACH-000277,-0.129988913632
ACH-000278,-0.210826081173
ACH-000279,-0.00048297802846499995
ACH-000280,-0.32754272451
ACH-000281,-0.0647425854047
ACH-000288,0.0872847938743
ACH-000291,-0.292580030288
ACH-000293,-0.42081363416
ACH-000294,-0.130924318648
