,TSG101 (7251)
ACH-000004,-0.964613569841
ACH-000007,-1.33222693565
ACH-000009,-0.721848263286
ACH-000011,-0.999223248609
ACH-000012,-0.99889592377
ACH-000013,-0.914606206434
ACH-000014,-0.752995499575
ACH-000015,-0.9007295213050001
ACH-000017,-0.906085339797
ACH-000018,-0.504283972255
ACH-000019,-1.1497597603799998
ACH-000021,-1.0880606460100002
ACH-000022,-0.866472763555
ACH-000025,-0.783848184264
ACH-000028,-0.898940570645
ACH-000030,-0.928642681267
ACH-000035,-1.21487204691
ACH-000036,-0.7550787717540001
ACH-000037,-1.05635571021
ACH-000039,-0.9398953060959999
ACH-000040,-0.983123592808
ACH-000041,-1.10897813643
ACH-000042,-0.7866092533460001
ACH-000045,-1.1151076814899998
ACH-000047,-0.7488689981129999
ACH-000052,-1.1205020397399998
ACH-000053,-0.8606942744789999
ACH-000054,-1.2344999181999998
ACH-000055,-0.9731254692039999
ACH-000060,-0.7526406781720001
ACH-000067,-1.0178957914700002
ACH-000070,-1.0
ACH-000075,-0.751287410796
ACH-000078,-1.02015485657
ACH-000082,-1.0164996968200002
ACH-000085,-0.6864890985
ACH-000086,-0.858136433715
ACH-000087,-0.721798781987
ACH-000092,-0.637618631488
ACH-000095,-1.05036438162
ACH-000097,-0.936763222355
ACH-000098,-0.754364252975
ACH-000099,-1.04835425529
ACH-000108,-1.04923687365
ACH-000113,-1.00765820613
ACH-000115,-1.4464282374000001
ACH-000116,-1.30647808397
ACH-000118,-1.10130214582
ACH-000120,-1.33322449456
ACH-000123,-1.06814243265
ACH-000127,-1.0110783385
ACH-000128,-0.886118727055
ACH-000132,-0.968786014125
ACH-000133,-0.853032785064
ACH-000137,-1.32015773199
ACH-000138,-1.16243452954
ACH-000142,-1.2035811113700001
ACH-000143,-1.11360261016
ACH-000146,-1.1477954810700002
ACH-000148,-0.7858082644859999
ACH-000150,-0.682143553565
ACH-000152,-0.862161216099
ACH-000153,-0.746223870412
ACH-000159,-0.944517499748
ACH-000160,-0.405353508477
ACH-000163,-0.868118973695
ACH-000167,-0.415208691684
ACH-000168,-1.09028888705
ACH-000169,-1.14382797589
ACH-000178,-0.88115040537
ACH-000182,-1.27793631007
ACH-000183,-1.1026809322600002
ACH-000188,-0.9932925388089999
ACH-000189,-0.847529248221
ACH-000190,-0.475490108994
ACH-000198,-0.906441805723
ACH-000204,-1.0115006023200002
ACH-000206,-0.9702856785189999
ACH-000207,-1.2855817440700001
ACH-000211,-1.0123688046200001
ACH-000215,-0.869608013394
ACH-000221,-0.772051715037
ACH-000222,-0.526257667146
ACH-000223,-1.28967770359
ACH-000226,-0.877482642226
ACH-000227,-0.9908304947299998
ACH-000228,-1.06806360447
ACH-000231,-0.933438362759
ACH-000232,-0.9910409969990001
ACH-000233,-1.12632766672
ACH-000234,-0.73114839939
ACH-000235,-0.986566866851
ACH-000237,-1.0862732974
ACH-000238,-0.737308622211
ACH-000243,-1.0848557092
ACH-000244,-0.709000196809
ACH-000246,-0.731651133291
ACH-000248,-0.921743358233
ACH-000250,-0.7220438886570001
ACH-000251,-1.10677621777
ACH-000253,-0.9518626482379999
ACH-000255,-1.0357109222
ACH-000256,-1.0091025604600001
ACH-000257,-1.05415768451
ACH-000258,-1.09185915196
ACH-000259,-1.2660132559100001
ACH-000260,-0.9025998971870001
ACH-000261,-1.0153907725799998
ACH-000262,-0.6895373911750001
ACH-000263,-1.1596116103799998
ACH-000264,-0.8640848185109999
ACH-000265,-0.931241078984
ACH-000266,-0.9373399028399999
ACH-000272,-0.721705061756
ACH-000273,-1.02354951763
ACH-000274,-0.6818732252330001
ACH-000277,-1.15297072438
ACH-000278,-1.05891515
ACH-000279,-1.18753305614
ACH-000280,-0.9977140275759999
ACH-000281,-0.981123493265
ACH-000288,-1.0611508608
