,FBRSL1 (57666)
ACH-000004,0.07771966703750001
ACH-000007,0.162193551847
ACH-000009,-0.116988737303
ACH-000011,-0.327187637515
ACH-000012,0.035055542405699996
ACH-000013,-0.007757021826920001
ACH-000014,0.016672514963499998
ACH-000015,-0.019584450546599998
ACH-000017,-0.175206936782
ACH-000018,0.172167575881
ACH-000019,-0.065955505303
ACH-000021,-0.0406740971268
ACH-000022,-0.054908226608300005
ACH-000025,-0.0487049021359
ACH-000028,0.0544970557438
ACH-000030,0.0639182859005
ACH-000035,0.12674175942
ACH-000036,-0.025299681691400004
ACH-000037,-0.0891533189168
ACH-000039,-0.135921139703
ACH-000040,0.0780345296641
ACH-000041,-0.23679014520799999
ACH-000042,0.079715357911
ACH-000045,0.114705897522
ACH-000047,0.004233520578550001
ACH-000052,-0.0632224698454
ACH-000053,0.0211130253309
ACH-000054,-0.06161767627069999
ACH-000055,-0.267300299959
ACH-000060,-0.0905519637393
ACH-000067,-0.141890988736
ACH-000070,-0.0609400447889
ACH-000075,0.066863319994
ACH-000078,-0.00447186508171
ACH-000082,-0.10297015090600001
ACH-000085,-0.0857971436417
ACH-000086,-0.21210029485399998
ACH-000087,-0.0505155848713
ACH-000092,-0.0763583283093
ACH-000095,-0.10012376103199999
ACH-000097,-0.0403374374349
ACH-000098,-0.0704200199141
ACH-000099,-0.0215845996312
ACH-000108,0.13042328566199998
ACH-000113,-0.0113389349872
ACH-000115,-0.227247919096
ACH-000116,-0.0736489249455
ACH-000118,0.13694244568800001
ACH-000120,0.057647923157800006
ACH-000123,-0.0208952745818
ACH-000127,0.058698064615599996
ACH-000128,-0.173494350567
ACH-000132,0.10517028398700001
ACH-000133,-0.016609304116200003
ACH-000137,0.205292367999
ACH-000138,0.158918477998
ACH-000142,-0.031941711648400005
ACH-000143,-0.09608926439919999
ACH-000146,0.0145877617332
ACH-000148,0.0411155011925
ACH-000150,-0.287223154636
ACH-000152,-0.135035961456
ACH-000153,-0.08789203281649999
ACH-000159,-0.00252690725325
ACH-000160,0.0196611689489
ACH-000163,-0.21448425149999997
ACH-000167,0.13638633587000001
ACH-000168,-0.0279931099426
