,EDIL3 (10085)
ACH-000004,-0.160990750687
ACH-000007,-0.34636148540100004
ACH-000009,-0.196339949017
ACH-000011,-0.0414303272965
ACH-000012,-0.210896281603
ACH-000013,-0.097054974286
ACH-000014,-0.264494230316
ACH-000015,-0.36745548701499997
ACH-000017,-0.0958635919465
ACH-000018,-0.015684193790299998
ACH-000019,-0.261455980902
ACH-000021,-0.306012264501
ACH-000022,-0.11382996420600001
ACH-000025,-0.14800034301599999
ACH-000028,-0.258919915564
ACH-000030,-0.226782160235
ACH-000035,-0.10172788398
ACH-000036,-0.30597341456300003
ACH-000037,-0.188145116627
ACH-000039,-0.252623771788
ACH-000040,-0.273522956803
ACH-000041,-0.297792306809
ACH-000042,-0.254097388392
ACH-000045,-0.23834244044199998
ACH-000047,-0.0382514251972
ACH-000052,-0.11455177715999998
ACH-000053,-0.18933958386100003
ACH-000054,-0.229371335438
ACH-000055,-0.492722147478
ACH-000060,-0.18239231749499998
ACH-000067,-0.270866041111
ACH-000070,-0.297347960761
ACH-000075,-0.247279230284
ACH-000078,-0.108441645639
ACH-000082,-0.297788523294
ACH-000085,-0.0298302764025
ACH-000086,-0.301833798618
ACH-000087,-0.236640030501
ACH-000092,-0.23894169791099998
ACH-000095,-0.174324991976
ACH-000097,-0.135753047361
ACH-000098,-0.216998362881
ACH-000099,-0.112711625188
ACH-000108,-0.289429146461
ACH-000113,-0.0579009806449
ACH-000115,-0.13648019801300001
ACH-000116,-0.22199340406800003
ACH-000118,-0.06980205317589999
ACH-000120,-0.032736984131
ACH-000123,-0.148099842236
ACH-000127,-0.179447841972
ACH-000128,-0.055435870108
ACH-000132,-0.23058151849599998
ACH-000133,-0.319741328027
ACH-000137,-0.24272198216999996
ACH-000138,-0.257341936758
ACH-000142,-0.24702483172400003
ACH-000143,-0.113166179561
ACH-000146,-0.156677317916
ACH-000148,-0.31254468510600003
ACH-000150,-0.406534262306
ACH-000152,-0.238981534605
ACH-000153,-0.062412191887499996
ACH-000159,-0.23269999350200002
ACH-000160,-0.334314759015
ACH-000163,-0.230210667934
ACH-000167,0.0508485835227
ACH-000168,-0.0566016743406
ACH-000169,-0.10065849072000001
ACH-000178,-0.0995001356925
ACH-000182,-0.21186164013
ACH-000183,-0.20710569300099999
ACH-000188,-0.171429954578
ACH-000189,-0.26819742861400003
ACH-000190,-0.31751120554699996
ACH-000198,-0.217819210225
ACH-000204,-0.38893957052
ACH-000206,-0.125992595539
ACH-000207,-0.189649240771
ACH-000211,-0.171661659804
ACH-000215,-0.214815209034
ACH-000221,0.015457914110600001
ACH-000222,-0.285761041778
ACH-000223,-0.255683888731
ACH-000226,-0.192709207641
ACH-000227,-0.404428279312
ACH-000228,-0.333394078686
ACH-000231,-0.249517913426
ACH-000232,-0.249745267067
ACH-000233,-0.295699937764
ACH-000234,-0.120932017367
ACH-000235,-0.277024010322
ACH-000237,-0.152595966906
ACH-000238,-0.151315261643
ACH-000243,-0.22067683636500002
ACH-000244,-0.25182825225600003
ACH-000246,-0.39522690894100004
ACH-000248,-0.24459743690699998
ACH-000250,-0.121987617719
ACH-000251,-0.357792581074
ACH-000253,-0.0306939967038
ACH-000255,-0.18851882505999998
ACH-000256,-0.12498123968800001
ACH-000257,-0.198815843922
ACH-000258,-0.0371883012524
ACH-000259,-0.221016154303
ACH-000260,-0.299913965482
ACH-000261,-0.0613557735236
ACH-000262,-0.107520914128
ACH-000263,-0.351498566814
ACH-000264,-0.312745762827
ACH-000265,-0.197474582018
ACH-000266,-0.28661811609
ACH-000272,-0.166577143473
ACH-000273,-0.213643605352
ACH-000274,-0.24849285266499999
ACH-000277,-0.117112299292
ACH-000278,-0.158120571755
ACH-000279,-0.23937943737300002
ACH-000280,-0.243419640253
ACH-000281,-0.19110267506700002
ACH-000288,-0.0365551834501
ACH-000291,-0.21536656231400003
ACH-000293,-0.367523562884
ACH-000294,-0.26980485674000004
ACH-000295,-0.25798647670499997
ACH-000296,-0.0821076216514
ACH-000302,-0.18290303670400002
ACH-000304,-0.0436084494836
ACH-000307,-0.273324749731
ACH-000308,-0.225836865893
ACH-000310,-0.29743710892700004
ACH-000311,-0.163966229052
ACH-000312,-0.09829693010269999
ACH-000315,-0.112360922478
ACH-000316,-0.232642036778
ACH-000317,-0.21009602443300002
ACH-000318,-0.179040613692
ACH-000319,-0.156301492599
ACH-000320,-0.474114849499
ACH-000322,-0.138885960968
ACH-000323,0.0019775504363900003
ACH-000324,-0.180797378366
ACH-000329,-0.379243884073
ACH-000330,-0.26159510839600003
ACH-000331,-0.195690040671
ACH-000332,-0.126933960713
ACH-000334,-0.362939351576
ACH-000335,-0.460200595941
ACH-000336,-0.439771801642
ACH-000337,0.0603824895553
ACH-000339,-0.082682614603
ACH-000341,-0.25134077568700003
ACH-000348,-0.27158646843600004
ACH-000350,-0.33910764978600005
ACH-000352,-0.25608169816799997
ACH-000356,-0.296434576695
ACH-000361,-0.33260963182799996
ACH-000362,-0.112671131502
ACH-000363,-0.130733871763
ACH-000364,-0.288120072426
ACH-000365,-0.215303604555
ACH-000366,-0.255600095062
ACH-000368,-0.202041492695
ACH-000374,-0.13449635878900001
ACH-000375,-0.0927934695459
ACH-000376,-0.0810950370803
ACH-000381,-0.255256613245
ACH-000383,-0.21276718420600002
ACH-000387,-0.21225812655
ACH-000389,-0.331702060834
ACH-000390,-0.24005091148899999
ACH-000393,-0.30854440512200004
ACH-000395,-0.111846472361
ACH-000397,-0.316907261534
ACH-000401,-0.168326478433
ACH-000402,-0.136861169595
ACH-000403,-0.07947126400639999
ACH-000404,-0.0466107524118
ACH-000406,-0.217021739883
ACH-000407,-0.256684192147
ACH-000408,-0.129876686451
ACH-000410,-0.29638302001999994
ACH-000411,-0.24360059695
ACH-000414,-0.138575966773
ACH-000415,-0.104774621616
ACH-000416,-0.22450138086100002
ACH-000420,-0.20698634463399998
ACH-000421,-0.203113196547
ACH-000424,-0.436067309862
ACH-000425,-0.301907195795
ACH-000426,-0.184046691433
ACH-000427,-0.096939594343
ACH-000433,-0.362489546564
ACH-000436,-0.331067327006
ACH-000444,-0.0707280398792
ACH-000445,-0.426912746604
ACH-000448,-0.127395414606
ACH-000450,-0.20098905829799998
ACH-000452,-0.0742276952686
ACH-000454,-0.0507595272293
ACH-000458,-0.113492720941
ACH-000459,0.08392340117460001
ACH-000460,-0.263840741171
ACH-000461,-0.267369366863
ACH-000463,-0.11712337941199999
ACH-000464,0.15426173080299999
ACH-000466,-0.30262146820999997
ACH-000467,-0.127309485541
ACH-000468,-0.48301724794100004
ACH-000469,-0.09014547045939998
ACH-000470,-0.0829588800476
ACH-000471,-0.259055044224
ACH-000472,-0.205247472341
ACH-000473,-0.114081725679
ACH-000475,-0.27467596565499997
ACH-000476,-0.263300699298
ACH-000477,-0.24361740934099999
ACH-000480,-0.21042738751200002
ACH-000481,-0.258929136017
ACH-000483,-0.267684710838
ACH-000484,-0.15118980351
ACH-000485,-0.0678596605124
ACH-000486,-0.172173675842
ACH-000487,-0.0502995506003
ACH-000488,-0.254648383072
ACH-000490,-0.164628238155
ACH-000491,-0.190330018711
ACH-000495,-0.246776452818
ACH-000496,-0.17407174712600001
ACH-000499,-0.0430734542337
ACH-000500,0.102311683289
ACH-000502,-0.157872209755
ACH-000503,-0.23963749754799998
ACH-000505,-0.261658292709
ACH-000507,-0.233583562423
ACH-000510,-0.315849454584
ACH-000511,-0.211104135911
ACH-000512,-0.261674206245
ACH-000516,-0.25016833511799996
ACH-000517,-0.15671761124000003
ACH-000518,-0.213094516092
ACH-000520,-0.464651876072
ACH-000521,-0.150443511801
