,N4BP2L2 (10443)
ACH-000004,0.17486891814599997
ACH-000007,-0.0735876530773
ACH-000009,0.0730584774077
ACH-000011,-0.00874052282648
ACH-000012,0.0137053128401
ACH-000013,-0.12770786017799998
ACH-000014,0.0627718874593
ACH-000015,-0.15343662941
ACH-000017,0.201933005212
ACH-000018,0.00681441110637
ACH-000019,0.30044029569499997
ACH-000021,-0.04601309564130001
ACH-000022,0.07233976247160001
ACH-000025,0.0112903417223
ACH-000028,-0.057086885286
ACH-000030,-0.07885754643710001
ACH-000035,-0.064331746454
ACH-000036,-0.015548512223200002
ACH-000037,-0.0590594831895
ACH-000039,-0.0203988698781
ACH-000040,0.119337911132
ACH-000041,-0.0330118427367
ACH-000042,0.0180869428627
ACH-000045,-0.127389680979
ACH-000047,-0.059064040977099996
ACH-000052,-0.112251509563
ACH-000053,-0.0564460022568
ACH-000054,0.017022866683399997
ACH-000055,-0.0998267217725
ACH-000060,-0.0886793563043
ACH-000067,0.160424703933
ACH-000070,-0.038738130418
ACH-000075,0.0160876125346
ACH-000078,-0.269780041873
ACH-000082,0.0253255022339
ACH-000085,0.13665885207999998
ACH-000086,-0.057190129618600004
ACH-000087,0.0362330815141
ACH-000092,-0.0902115758097
ACH-000095,-0.16377622958
ACH-000097,-0.0222524144149
ACH-000098,0.0207177629883
ACH-000099,-0.136870823306
ACH-000108,0.07665948960249999
ACH-000113,-0.127669033169
ACH-000115,-0.0977810098126
ACH-000116,0.0199608972258
ACH-000118,-0.08712028039999999
ACH-000120,-0.143929485297
ACH-000123,-0.18388959002099997
ACH-000127,0.0490327747114
ACH-000128,-0.20579814348
ACH-000132,-0.221785940865
ACH-000133,-0.0903812349485
ACH-000137,-0.0891037901431
ACH-000138,0.0138617195825
ACH-000142,-0.0335042333578
ACH-000143,0.0921373551535
ACH-000146,0.146350505056
ACH-000148,-0.0690095362131
ACH-000150,0.0334627324598
ACH-000152,-0.0178700559815
ACH-000153,0.0700686884258
ACH-000159,-0.0310581499702
ACH-000160,0.461134532974
ACH-000163,-0.0565733755224
ACH-000167,0.607317922245
ACH-000168,-0.183024124962
ACH-000169,-0.031333467881299995
ACH-000178,0.0915564665066
ACH-000182,-0.013541373493700002
ACH-000183,0.21679489219599998
ACH-000188,-0.0125171227326
ACH-000189,0.139827486458
ACH-000190,0.40489365496299995
ACH-000198,0.090680515241
ACH-000204,0.105656134286
ACH-000206,0.012472245046099999
ACH-000207,-0.0841401118698
ACH-000211,0.0247016934285
ACH-000215,0.09945502206980002
ACH-000221,0.0416594841743
ACH-000222,0.0721401024998
ACH-000223,-0.0597436639874
ACH-000226,-0.010085097754
ACH-000227,-0.007010579921949999
ACH-000228,-0.236761502823
ACH-000231,0.11946171521
ACH-000232,-0.173702856186
ACH-000233,-0.0386576175462
ACH-000234,-0.13467679235899999
ACH-000235,0.0659206268152
ACH-000237,0.044683745671199995
ACH-000238,0.060932309286099995
ACH-000243,0.00744229179265
ACH-000244,-0.0579856963131
ACH-000246,0.0349177920195
ACH-000248,0.11286548958499999
ACH-000250,-0.0709597510908
ACH-000251,-0.028551165710700002
ACH-000253,0.0815844945867
ACH-000255,0.025865830133500002
ACH-000256,-0.059364120817900004
ACH-000257,-0.108284285161
ACH-000258,0.0548458354727
ACH-000259,-0.0417880066596
ACH-000260,0.0034027634026999997
ACH-000261,0.0308163719767
ACH-000262,-0.14883777771
ACH-000263,0.295346011907
ACH-000264,-0.007746047311699999
ACH-000265,-0.08871217494380002
ACH-000266,-0.00793016418925
ACH-000272,0.0340339946995
ACH-000273,-0.00019226808914099997
ACH-000274,0.041560304901300006
ACH-000277,0.09220810398649999
ACH-000278,-0.0683769146769
ACH-000279,0.027523224143900002
ACH-000280,0.0775567626601
ACH-000281,-0.0653943149039
ACH-000288,-0.022748469785000003
ACH-000291,0.0534384338744
ACH-000293,-0.0454790130509
ACH-000294,-0.0222271085673
ACH-000295,0.251940093555
ACH-000296,-0.0242908564078
ACH-000302,-0.0768148164217
ACH-000304,-0.0982351397667
ACH-000307,0.0564117085181
ACH-000308,0.055484244218300005
ACH-000310,-0.135529416341
ACH-000311,-0.09683841679510001
ACH-000312,0.0624399330679
ACH-000315,0.242407968442
ACH-000316,0.12138479867900001
ACH-000317,-0.00954853898074
ACH-000318,0.200602393824
ACH-000319,0.0567215420239
ACH-000320,0.0836118523621
ACH-000322,-0.0972720924491
ACH-000323,0.06340267158610001
ACH-000324,-0.052055759120199996
ACH-000329,0.0669436879225
ACH-000330,0.024671681038900002
ACH-000331,-0.014163168326000002
ACH-000332,0.022213539226199997
ACH-000334,-0.12663226471300001
ACH-000335,-0.151148434739
ACH-000336,0.187079059523
ACH-000337,0.21892081503600003
ACH-000339,-0.014989326651200001
ACH-000341,0.131079619965
ACH-000348,0.0289259411138
ACH-000350,0.08319339151
ACH-000352,0.0744976065253
ACH-000356,0.0515617461455
ACH-000361,0.0166039696343
ACH-000362,-0.21186066423799998
ACH-000363,-0.056416294923300005
ACH-000364,0.0904281000273
ACH-000365,-0.11840011869799999
ACH-000366,0.018907115136299998
ACH-000368,-0.0165819172679
ACH-000374,-0.15486281057
ACH-000375,-0.032157419933
ACH-000376,0.0473421732995
ACH-000381,-0.0886032275891
ACH-000383,0.08715840905780001
ACH-000387,0.0118319357124
ACH-000389,-0.103198592367
ACH-000390,-0.0236057132563
ACH-000393,-0.124106022129
ACH-000395,-0.202124130207
ACH-000397,0.07038946357669999
ACH-000401,0.04263482158509999
ACH-000402,-0.102877954997
ACH-000403,-0.12616185072799999
ACH-000404,-0.131593936891
ACH-000406,0.00585183352769
ACH-000407,0.10490191193
ACH-000408,0.000941309526592
ACH-000410,-0.0349046128525
ACH-000411,-0.0120491138574
ACH-000414,-0.0493886188407
ACH-000415,-0.073522916205
ACH-000416,-0.0498157189305
ACH-000420,0.029729645033900003
ACH-000421,-0.0734030008228
ACH-000424,-0.196829109289
ACH-000425,-0.09647907709720001
ACH-000426,0.215530483019
ACH-000427,-0.029438425400099996
ACH-000433,-0.11414274855999999
ACH-000436,0.0350324268644
ACH-000444,-0.0600303309308
ACH-000445,0.0395638444136
ACH-000448,0.17299749633
ACH-000450,-0.0873152957672
ACH-000452,0.08832483170250001
ACH-000454,-0.0076197022885100005
ACH-000458,-0.0424635458143
ACH-000459,-0.00997669965807
ACH-000460,0.09903895874089999
ACH-000461,-0.101290933576
ACH-000463,-0.0603318479407
ACH-000464,0.332556926763
ACH-000466,0.11356642939999999
ACH-000467,0.06479833902689999
