,PIGB (9488)
ACH-000004,-0.296016254985
ACH-000007,-0.608821160895
ACH-000009,-0.436298692813
ACH-000011,-0.326424481453
ACH-000012,-0.232782800486
ACH-000013,-0.309881355687
ACH-000014,-0.530127536157
ACH-000015,-0.22144662505399998
ACH-000017,0.0195094150398
ACH-000018,-0.353459279148
ACH-000019,0.174398645698
ACH-000021,-0.24312258377300003
ACH-000022,-0.14606569628399999
ACH-000025,-0.587927902499
ACH-000028,-0.208945145343
ACH-000030,-0.5123128805089999
ACH-000035,-0.27050462864
ACH-000036,-0.195846860092
ACH-000037,-0.40678826509000005
ACH-000039,-0.499266693014
ACH-000040,-0.43270623130099994
ACH-000041,-0.368033169152
ACH-000042,-0.370544593329
ACH-000045,-0.37116240449500004
ACH-000047,-0.464806923147
ACH-000052,-0.407598976091
ACH-000053,-0.167933613745
ACH-000054,-0.36034995614200005
ACH-000055,-0.0641197492305
ACH-000060,-0.326804703385
ACH-000067,-0.271256765192
ACH-000070,-0.388832585408
ACH-000075,-0.14054844205
ACH-000078,-0.451675473986
ACH-000082,-0.412255763402
ACH-000085,-0.77705118383
ACH-000086,-0.281825608225
ACH-000087,-0.24266105286200002
ACH-000092,-0.337257106975
ACH-000095,-0.491656385132
ACH-000097,-0.504417010238
ACH-000098,-0.44214748868799997
ACH-000099,-0.41314322434600004
ACH-000108,-0.5387039367090001
ACH-000113,-0.339857988482
ACH-000115,-0.10552090215900001
ACH-000116,-0.27518095202599996
ACH-000118,-0.38790731558700003
ACH-000120,-0.414142035224
ACH-000123,-0.31712940332
ACH-000127,-0.128187030533
ACH-000128,-0.48747179896799997
ACH-000132,-0.721311319216
ACH-000133,-0.241478645885
ACH-000137,-0.421063522657
ACH-000138,-0.229888430677
ACH-000142,-0.304018117929
ACH-000143,-0.22116564038400002
ACH-000146,-0.392692762144
ACH-000148,-0.314158404931
ACH-000150,-0.032423517919299996
ACH-000152,-0.458819091593
ACH-000153,-0.560769327339
ACH-000159,-0.324286592817
ACH-000160,-0.22455236731199998
ACH-000163,-0.17138829884100001
ACH-000167,0.257851966994
ACH-000168,-0.412486555503
ACH-000169,-0.39393352261200004
ACH-000178,-0.293248147421
ACH-000182,-0.328027980193
ACH-000183,-0.241980952876
ACH-000188,-0.349981941127
ACH-000189,-0.363464157952
ACH-000190,-0.31048960983
ACH-000198,-0.343597938897
ACH-000204,-0.229196997139
ACH-000206,-0.411299694508
ACH-000207,-0.40512429991
ACH-000211,-0.370950770357
ACH-000215,-0.287909694395
ACH-000221,-0.103766379223
ACH-000222,-0.333071157311
ACH-000223,-0.552519367811
ACH-000226,-0.220971381974
ACH-000227,-0.474058737627
ACH-000228,-0.669489435743
ACH-000231,-0.447254234454
ACH-000232,-0.473184173054
ACH-000233,-0.36951009278999997
ACH-000234,-0.574199055278
ACH-000235,-0.47920925457099994
ACH-000237,-0.21008017401
ACH-000238,-0.27145700969500003
ACH-000243,-0.393702042428
ACH-000244,-0.51078177047
ACH-000246,-0.22354181028700001
ACH-000248,-0.320540861382
ACH-000250,-0.36037464058700003
ACH-000251,-0.177254779386
ACH-000253,-0.40550909437399996
ACH-000255,-0.38189882498899996
ACH-000256,-0.191155944974
ACH-000257,-0.464316061765
ACH-000258,-0.39170163398900004
ACH-000259,-0.479144954822
ACH-000260,-0.569145525919
ACH-000261,-0.515132577094
ACH-000262,-0.06994382198560001
ACH-000263,-0.591084425803
ACH-000264,-0.39836185064199997
ACH-000265,-0.406511412727
ACH-000266,-0.372192948925
ACH-000272,-0.466083598235
ACH-000273,-0.288218520103
ACH-000274,-0.49477395797300006
ACH-000277,-0.151513156622
ACH-000278,-0.187250656156
ACH-000279,-0.28116916144799997
ACH-000280,-0.528283919087
ACH-000281,-0.386472628034
ACH-000288,-0.39981570081699996
ACH-000291,-0.409422774321
ACH-000293,-0.306666992614
ACH-000294,-0.34047501209700004
ACH-000295,-0.31862865997699996
ACH-000296,-0.103447007425
ACH-000302,-0.375982843193
ACH-000304,-0.595816314242
ACH-000307,-0.42321392316699996
ACH-000308,-0.326772462653
ACH-000310,-0.630874414046
ACH-000311,-0.37008132699600005
ACH-000312,-0.47017270459
ACH-000315,-0.492845375013
ACH-000316,-0.40191664701499996
ACH-000317,-0.305707931756
ACH-000318,-0.348068308903
ACH-000319,-0.283941566924
ACH-000320,-0.625320427207
