,CTR9 (9646)
ACH-000004,-1.44766191683
ACH-000007,-0.532342614436
ACH-000009,-0.727181719858
ACH-000011,-0.780958088298
ACH-000012,-0.750713817778
ACH-000013,-0.5341772862849999
ACH-000014,-0.777863469106
ACH-000015,-0.329907176877
ACH-000017,-0.453931908469
ACH-000018,-0.8289741165350001
ACH-000019,-0.911322663921
ACH-000021,-0.7540186744290001
ACH-000022,-0.510609778829
ACH-000025,-0.969538327859
ACH-000028,-0.9484098834389999
ACH-000030,-0.883496436121
ACH-000035,-1.03218388685
ACH-000036,-0.911820660075
ACH-000037,-1.4415106713499999
ACH-000039,-0.932523177687
ACH-000040,-0.846260047764
ACH-000041,-0.597400070074
ACH-000042,-0.5250303283860001
ACH-000045,-1.0783278916399999
ACH-000047,-0.809146700965
ACH-000052,-1.1253723124500001
ACH-000053,-0.915718624102
ACH-000054,-0.869914586233
ACH-000055,-0.898612853209
ACH-000060,-0.785460000395
ACH-000067,-0.727060019086
ACH-000070,-0.9598886483069999
ACH-000075,-0.798337161522
ACH-000078,-0.5098665487080001
ACH-000082,-0.879553268016
ACH-000085,-0.699368957598
ACH-000086,-0.602901166484
ACH-000087,-0.687528202507
ACH-000092,-0.9495055184119999
ACH-000095,-0.727489912915
ACH-000097,-0.549872965907
ACH-000098,-0.881378982553
ACH-000099,-0.817675453049
ACH-000108,-0.511978125133
ACH-000113,-0.9395844431200001
ACH-000115,-0.7055089709990001
ACH-000116,-0.829937952869
ACH-000118,-0.8356614034990001
ACH-000120,-0.9422199554549999
ACH-000123,-0.645666083716
ACH-000127,-0.8495795418359999
ACH-000128,-0.740945269622
ACH-000132,-0.851481406397
ACH-000133,-1.15924153759
ACH-000137,-0.8986832823280001
ACH-000138,-1.02789236504
ACH-000142,-0.9356186938150001
ACH-000143,-0.7938375184890001
ACH-000146,-0.9502563369120001
ACH-000148,-0.886025361636
ACH-000150,-1.0496765072799998
ACH-000152,-0.6887521336660001
ACH-000153,-0.8446655335809999
ACH-000159,-0.925173369949
ACH-000160,-0.252698641299
ACH-000163,-0.910853497891
ACH-000167,-0.48965846141400005
ACH-000168,-0.7955214968790001
ACH-000169,-0.820316099175
ACH-000178,-0.681730836269
ACH-000182,-0.914757231601
ACH-000183,-0.8070063679739999
ACH-000188,-0.799040118967
ACH-000189,-0.83759991682
ACH-000190,-0.634001037633
ACH-000198,-1.38031691522
ACH-000204,-1.22299996037
ACH-000206,-1.0585802506200002
ACH-000207,-1.31152792084
ACH-000211,-0.973107058453
ACH-000215,-0.8310077229620001
ACH-000221,-0.689947733603
ACH-000222,-0.81341982381
ACH-000223,-0.7683339992839999
ACH-000226,-1.1910347758
ACH-000227,-0.654095095928
ACH-000228,-0.610620143808
ACH-000231,-1.14626276235
ACH-000232,-1.10143736301
ACH-000233,-1.1366341691500002
ACH-000234,-0.6153972857760001
ACH-000235,-0.638977650325
ACH-000237,-1.0949801053100001
ACH-000238,-0.907724699579
ACH-000243,-0.755494747021
ACH-000244,-1.05048973168
ACH-000246,-1.0646235789899998
ACH-000248,-0.6715956966140001
ACH-000250,-1.13125067448
ACH-000251,-1.01058984426
ACH-000253,-0.391296892618
ACH-000255,-0.9833890729379999
ACH-000256,-1.2479676540200002
ACH-000257,-1.0
ACH-000258,-0.8157343207719999
ACH-000259,-1.03623534138
ACH-000260,-0.707977117342
ACH-000261,-0.921487035366
ACH-000262,-0.8499074110770001
ACH-000263,-0.952746962682
ACH-000264,-0.9100518143109999
ACH-000265,-0.772964465933
ACH-000266,-0.384298851176
ACH-000272,-0.667233450727
ACH-000273,-0.9386517691670001
ACH-000274,-1.02272653461
ACH-000277,-0.7676757175130001
ACH-000278,-0.905236149797
ACH-000279,-0.956313277192
ACH-000280,-0.756661155862
ACH-000281,-0.40147886872199995
ACH-000288,-1.00461913547
ACH-000291,-1.21637205466
ACH-000293,-0.9674695183859999
ACH-000294,-0.894179147498
ACH-000295,-0.8235687544499999
ACH-000296,-0.798320474936
ACH-000302,-0.64134088372
ACH-000304,-0.863974728747
ACH-000307,-0.735790190229
ACH-000308,-0.60853046133
ACH-000310,-1.0147372667899999
ACH-000311,-0.8719865954799999
ACH-000312,-0.6836259332790001
ACH-000315,-0.6744720345190001
ACH-000316,-0.557959802997
ACH-000317,-0.644595043253
ACH-000318,-0.562948479917
ACH-000319,-0.9711822103200001
ACH-000320,-0.7561957934219999
ACH-000322,-1.02335129761
ACH-000323,-0.82058549034
ACH-000324,-0.930301915909
ACH-000329,-1.1504178446100002
ACH-000330,-0.9060578398360001
ACH-000331,-0.7436713843420001
ACH-000332,-0.794371874271
ACH-000334,-1.31613718341
ACH-000335,-0.645390525566
ACH-000336,-0.415077916545
ACH-000337,-0.45362102311700003
ACH-000339,-0.898681228254
ACH-000341,-0.8429153621269999
ACH-000348,-0.849808659952
ACH-000350,-0.7310407342640001
ACH-000352,-0.781919526866
ACH-000356,-0.747940411826
ACH-000361,-1.04628823561
