,POLH (5429)
ACH-000004,-0.104610543377
ACH-000007,-0.101117202441
ACH-000009,-0.22369006691399998
ACH-000011,-0.21647648995700003
ACH-000012,-0.382478946532
ACH-000013,-0.32109200830699997
ACH-000014,-0.22082258308000002
ACH-000015,-0.09642341017439998
ACH-000017,-0.399288460884
ACH-000018,-0.45052222671000003
ACH-000019,-0.39467419748899996
ACH-000021,-0.228270229613
ACH-000022,-0.142407207995
ACH-000025,-0.406224995937
ACH-000028,-0.43700911696
ACH-000030,-0.20171496842099998
ACH-000035,-0.173771439858
ACH-000036,-0.353361088293
ACH-000037,-0.0542614610662
ACH-000039,-0.209257180027
ACH-000040,-0.217940540286
ACH-000041,-0.11866505068600001
ACH-000042,-0.270414971828
ACH-000045,-0.0690866409799
ACH-000047,-0.219688568332
ACH-000052,-0.450989985084
ACH-000053,-0.206191027564
ACH-000054,-0.125091364453
ACH-000055,-0.54692406001
ACH-000060,-0.224103199777
ACH-000067,-0.547229350726
ACH-000070,-0.241075979183
ACH-000075,-0.26700348983600003
ACH-000078,-0.413449279117
ACH-000082,-0.191866833202
ACH-000085,-0.359971886064
ACH-000086,-0.247372622264
ACH-000087,-0.17741378547800002
ACH-000092,-0.24010117831099997
ACH-000095,-0.0707538862186
ACH-000097,-0.199901969432
ACH-000098,-0.261968883111
ACH-000099,-0.41689153855899996
ACH-000108,-0.28033700277
ACH-000113,-0.20121690981600002
ACH-000115,-0.302789260181
ACH-000116,-0.255412291138
ACH-000118,-0.319075147922
ACH-000120,-0.0378105788111
ACH-000123,-0.10886512859200001
ACH-000127,-0.309899245531
ACH-000128,-0.15820946931500002
ACH-000132,-0.215078946439
ACH-000133,-0.23848961101100002
ACH-000137,-0.41487121399300003
ACH-000138,-0.343025024441
ACH-000142,-0.339841074512
ACH-000143,-0.176981430614
ACH-000146,-0.177895862183
ACH-000148,-0.219916985924
ACH-000150,-0.16125790004499999
ACH-000152,-0.21006092273600002
ACH-000153,-0.607688253555
ACH-000159,-0.274359267523
ACH-000160,-0.275364461406
ACH-000163,-0.192833481599
ACH-000167,0.05350613951640001
ACH-000168,-0.217713524914
ACH-000169,-0.23945217835700003
ACH-000178,-0.17683520290600002
ACH-000182,-0.244620013469
ACH-000183,-0.132471955649
ACH-000188,-0.288777046973
ACH-000189,-0.21894484987399998
ACH-000190,-0.426558723001
ACH-000198,-0.215637780538
ACH-000204,-0.407162454005
ACH-000206,-0.22555924730500002
ACH-000207,-0.5523235192329999
ACH-000211,-0.20462499648
ACH-000215,-0.26764062092199997
ACH-000221,-0.08601739640730001
ACH-000222,-0.360824257643
ACH-000223,-0.38299553190700003
ACH-000226,-0.14635628669
ACH-000227,-0.440879020723
ACH-000228,-0.257797307168
ACH-000231,-0.231329663375
ACH-000232,-0.158895142703
ACH-000233,-0.35825849266000004
ACH-000234,-0.140736994308
ACH-000235,-0.18332605454700002
ACH-000237,-0.22634802616
ACH-000238,-0.23885118921
ACH-000243,-0.302930522825
ACH-000244,-0.09459106304739999
ACH-000246,-0.127991589047
ACH-000248,-0.518378771088
ACH-000250,-0.30936695214000004
ACH-000251,-0.22293274852699999
ACH-000253,-0.282570636767
ACH-000255,-0.278611628554
ACH-000256,-0.29944757819
ACH-000257,0.00071406286373
ACH-000258,-0.12120619911399999
ACH-000259,-0.219597959963
ACH-000260,-0.21948112641800002
ACH-000261,-0.159595908018
ACH-000262,0.0891789145883
ACH-000263,-0.126335311883
ACH-000264,-0.192565329459
ACH-000265,-0.42140988151299996
ACH-000266,-0.20827459699200002
ACH-000272,-0.141252780748
ACH-000273,-0.343363905661
ACH-000274,-0.07952210843669999
ACH-000277,-0.159129950218
ACH-000278,-0.182027367975
ACH-000279,-0.241060776154
ACH-000280,-0.154887686076
ACH-000281,-0.38915696386299997
ACH-000288,-0.16810067807
ACH-000291,-0.17258097182799997
ACH-000293,-0.380303733235
ACH-000294,-0.09173132418230001
ACH-000295,-0.42484918459700005
ACH-000296,-0.418981771478
ACH-000302,-0.19164247166200002
ACH-000304,-0.0439590550305
ACH-000307,-0.135698566087
ACH-000308,-0.190873793947
ACH-000310,-0.233946524313
ACH-000311,-0.26917077376
ACH-000312,-0.378998513099
ACH-000315,-0.122050199387
ACH-000316,-0.191759364575
ACH-000317,0.006271856486890001
ACH-000318,-0.155620369892
ACH-000319,-0.13842321785199999
ACH-000320,-0.39756750284599995
ACH-000322,-0.39314039974799997
ACH-000323,-0.29136981993
ACH-000324,-0.129984321747
ACH-000329,-0.243405881151
ACH-000330,-0.44695276396000005
ACH-000331,-0.314328542355
ACH-000332,-0.361131801458
ACH-000334,-0.368190258298
ACH-000335,-0.28349956943000004
ACH-000336,-0.35731624683799995
ACH-000337,-0.394001527818
ACH-000339,-0.329549388933
ACH-000341,-0.282018242537
ACH-000348,-0.227396233244
ACH-000350,0.09751111708069998
ACH-000352,-0.272043532431
ACH-000356,-0.177110605652
ACH-000361,-0.456864159022
ACH-000362,-0.18860860680599997
ACH-000363,-0.23011583469900002
ACH-000364,-0.346023022315
ACH-000365,-0.141770320399
ACH-000366,-0.206381199721
ACH-000368,-0.299409548553
ACH-000374,-0.253856832839
ACH-000375,-0.41123882363
ACH-000376,-0.106330471534
ACH-000381,-0.18084163045200002
ACH-000383,-0.153734702457
ACH-000387,-0.250102216855
ACH-000389,-0.34755545320799996
ACH-000390,-0.195963029877
ACH-000393,-0.40310394853500003
ACH-000395,0.090025083288
ACH-000397,-0.182745995119
ACH-000401,-0.272539376383
ACH-000402,0.0371118024432
ACH-000403,-0.201916624708
ACH-000404,-0.148134731908
ACH-000406,-0.22756507300200002
ACH-000407,-0.226163215581
