,JSRP1 (126306)
ACH-000004,-0.24926821203400001
ACH-000007,-0.34464652806400004
ACH-000009,-0.246584938802
ACH-000011,-0.131722567303
ACH-000012,-0.40286257254
ACH-000013,-0.24548485013399998
ACH-000014,0.0259554104874
ACH-000015,-0.25423748768300003
ACH-000017,-0.292608956876
ACH-000018,-0.288590871357
ACH-000019,-0.34726324516900003
ACH-000021,-0.325592316986
ACH-000022,-0.151313190216
ACH-000025,-0.204710101262
ACH-000028,-0.42745510611599996
ACH-000030,-0.15008696659499998
ACH-000035,-0.242544383246
ACH-000036,-0.348538249849
ACH-000037,-0.268040947515
ACH-000039,-0.21237052253400002
ACH-000040,0.040174522921599995
ACH-000041,-0.31193735833700004
ACH-000042,-0.17330500970899998
ACH-000045,-0.288723567026
ACH-000047,-0.18190153787500002
ACH-000052,-0.14197042782400002
ACH-000053,-0.10898139143100001
ACH-000054,-0.32124485528200003
ACH-000055,-0.403995953054
ACH-000060,-0.13960388269500001
ACH-000067,-0.400027485995
ACH-000070,-0.139964272536
ACH-000075,-0.7516566060169999
ACH-000078,0.00252803353017
ACH-000082,-0.204950658343
ACH-000085,-0.23395649370000002
ACH-000086,-0.0715230894232
ACH-000087,-0.299368886686
ACH-000092,-0.108910872217
ACH-000095,-0.263803883229
ACH-000097,-0.36456493249099997
ACH-000098,-0.267040211231
ACH-000099,-0.30318395620099997
ACH-000108,-0.126807097574
ACH-000113,-0.28349710115800003
ACH-000115,0.0143274860107
ACH-000116,-0.326116671645
ACH-000118,-0.152654969288
ACH-000120,-0.207826121537
ACH-000123,-0.16785778463799997
ACH-000127,-0.467439538024
ACH-000128,-0.261905531248
ACH-000132,-0.18062232130300002
ACH-000133,-0.20939468188700003
ACH-000137,-0.254949837799
ACH-000138,-0.134492376848
ACH-000142,0.0337473730095
ACH-000143,-0.334743055262
ACH-000146,-0.178290105402
ACH-000148,-0.270367232401
ACH-000150,-0.313983814371
ACH-000152,-0.314795931017
ACH-000153,-0.467619000926
ACH-000159,-0.109123591866
ACH-000160,-0.161559340898
ACH-000163,-0.199341820621
ACH-000167,-0.203376531611
ACH-000168,-0.230386652418
ACH-000169,-0.16231212529
ACH-000178,-0.08793030644099999
ACH-000182,-0.372426785102
ACH-000183,-0.017780833540599998
ACH-000188,-0.12450081219699999
ACH-000189,-0.0100786324455
ACH-000190,-0.417348650529
ACH-000198,-0.188754033526
ACH-000204,-0.453775730176
ACH-000206,-0.280896723953
ACH-000207,-0.0838616413883
ACH-000211,-0.346291516799
ACH-000215,-0.132955812769
ACH-000221,-0.24093213043900003
ACH-000222,-0.0357340936346
ACH-000223,-0.231651672101
ACH-000226,-0.166769481424
ACH-000227,-0.21909047121999997
ACH-000228,-0.36804414776699995
ACH-000231,-0.10762010146199999
ACH-000232,-0.137805819721
ACH-000233,-0.135786194213
ACH-000234,-0.261393601661
ACH-000235,-0.23484979037099998
ACH-000237,-0.228348642827
ACH-000238,-0.22774841311900001
ACH-000243,-0.18667254652600002
ACH-000244,-0.16068680202400001
ACH-000246,-0.314085203354
ACH-000248,-0.36303605987099996
ACH-000250,-0.272603746653
ACH-000251,-0.304940074852
ACH-000253,-0.0958899093633
ACH-000255,-0.230953378484
ACH-000256,-0.246050281688
ACH-000257,-0.206064353937
ACH-000258,-0.187605284265
ACH-000259,-0.132023914622
ACH-000260,-0.160321994832
ACH-000261,-0.31221257110100004
ACH-000262,-0.608364520476
ACH-000263,-0.295845273518
ACH-000264,-0.301163359311
ACH-000265,-0.123615934469
ACH-000266,-0.20066607437399997
ACH-000272,-0.159060796458
ACH-000273,-0.293770471961
ACH-000274,-0.300845018475
ACH-000277,-0.226165959292
ACH-000278,-0.07240611773130001
ACH-000279,-0.22079793976
ACH-000280,-0.0554969065717
ACH-000281,-0.035561250572800004
ACH-000288,-0.123183163892
ACH-000291,-0.304743671106
ACH-000293,-0.118229589035
ACH-000294,-0.116809769703
ACH-000295,-0.46381864879199997
ACH-000296,-0.27561955515000003
ACH-000302,-0.305416410698
ACH-000304,0.18999521736900002
ACH-000307,-0.24747959264199998
ACH-000308,-0.103606410815
ACH-000310,-0.018382329348
ACH-000311,-0.224254455543
ACH-000312,-0.133711599266
ACH-000315,-0.602152375895
ACH-000316,-0.139340088285
ACH-000317,0.00239823294421
ACH-000318,-0.249598146963
ACH-000319,-0.433253104538
ACH-000320,-0.291019045541
ACH-000322,-0.237298560826
ACH-000323,-0.17862528504
ACH-000324,-0.205460525709
ACH-000329,-0.09880990066989999
ACH-000330,-0.183910407163
ACH-000331,-0.294126296003
ACH-000332,-0.237996966368
ACH-000334,-0.500690921066
ACH-000335,-0.304623948378
ACH-000336,-0.16816732374499999
ACH-000337,-0.284083666011
ACH-000339,-0.265217442754
ACH-000341,-0.254663649012
ACH-000348,-0.19836728525800001
ACH-000350,-0.124774742973
ACH-000352,-0.231651294249
ACH-000356,-0.0551456478907
ACH-000361,-0.241039381651
ACH-000362,-0.18299633969300003
ACH-000363,-0.30187869317899996
ACH-000364,-0.0985471433815
ACH-000365,-0.202104590194
ACH-000366,-0.325300774118
ACH-000368,-0.273679858744
ACH-000374,-0.0319223914323
ACH-000375,-0.17108144426
ACH-000376,-0.10446450034
ACH-000381,-0.057964579793
ACH-000383,-0.34456870261399997
ACH-000387,-0.08630512932019999
ACH-000389,-0.19061038276
ACH-000390,-0.116312848388
ACH-000393,-0.378749147802
ACH-000395,-0.10191183554300001
ACH-000397,-0.158842101125
ACH-000401,-0.07142747918430001
ACH-000402,-0.210878115511
ACH-000403,-0.0896795823017
ACH-000404,-0.44532561158600004
ACH-000406,-0.0931207272212
ACH-000407,-0.25872004313700003
ACH-000408,0.000615871140449
ACH-000410,-0.253853249119
ACH-000411,-0.230934539921
ACH-000414,-0.09550159663889998
ACH-000415,-0.07205195272
ACH-000416,-0.23884114164200002
ACH-000420,-0.117588287435
ACH-000421,-0.265229860356
ACH-000424,-0.640695694983
ACH-000425,-0.138915460688
ACH-000426,0.0345549732888
ACH-000427,-0.0897233745503
ACH-000433,-0.291352601556
ACH-000436,-0.195759923855
ACH-000444,-0.288005406244
ACH-000445,-0.45270307097400003
ACH-000448,-0.27082663235
ACH-000450,-0.381614021425
ACH-000452,-0.22650720621399997
ACH-000454,-0.496396544433
ACH-000458,-0.163289724484
ACH-000459,-0.131379948922
ACH-000460,-0.056980898002000006
ACH-000461,-0.31633699345800004
ACH-000463,-0.234375036739
ACH-000464,-0.120300348498
ACH-000466,-0.394959419744
ACH-000467,-0.33397089044
ACH-000468,-0.20719129673599998
ACH-000469,-0.275633475308
ACH-000470,-0.17947905592900001
ACH-000471,-0.0865264398102
ACH-000472,-0.259348108093
ACH-000473,-0.299064243097
ACH-000475,-0.187171945905
ACH-000476,-0.10228510394200001
