,SNRPC (6631)
ACH-000004,-1.6153794548299998
ACH-000007,-1.22558739013
ACH-000009,-1.4939951057499998
ACH-000011,-1.14948510881
ACH-000012,-1.4572206371
ACH-000013,-1.5179481549399998
ACH-000014,-1.32077756435
ACH-000015,-1.26674855905
ACH-000017,-1.30661454736
ACH-000018,-1.3257383441600001
ACH-000019,-1.1675197795799999
ACH-000021,-1.1511601083299998
ACH-000022,-1.30185946834
ACH-000025,-1.43565284148
ACH-000028,-1.3547298734600002
ACH-000030,-1.29073243747
ACH-000035,-1.26752373328
ACH-000036,-0.925432287079
ACH-000037,-1.1353137263600002
ACH-000039,-1.5865972848899998
ACH-000040,-1.20933492776
ACH-000041,-1.4208033165
ACH-000042,-1.47570970988
ACH-000045,-1.0409723339399999
ACH-000047,-1.12889230395
ACH-000052,-1.31475136588
ACH-000053,-1.29189542481
ACH-000054,-0.9100733524860001
ACH-000055,-1.38003179042
ACH-000060,-1.4847314798700002
ACH-000067,-1.19382550686
ACH-000070,-0.9352392413639999
ACH-000075,-1.4632115856499999
ACH-000078,-1.4242289373199999
ACH-000082,-1.22848063724
ACH-000085,-0.989839233636
ACH-000086,-1.14871739723
ACH-000087,-1.0770453572499998
ACH-000092,-1.3063994644399999
ACH-000095,-1.54055207361
ACH-000097,-1.44435416192
ACH-000098,-1.27240166963
ACH-000099,-1.28191921275
ACH-000108,-1.43346405597
ACH-000113,-1.14757791221
ACH-000115,-1.4438458681400002
ACH-000116,-1.27533515893
ACH-000118,-1.2168663894299998
ACH-000120,-1.2699625193200001
ACH-000123,-1.18083596276
ACH-000127,-1.22924838661
ACH-000128,-1.5843444536000002
ACH-000132,-1.33595828028
ACH-000133,-1.33329370177
ACH-000137,-1.4367448215399998
ACH-000138,-1.19920520786
ACH-000142,-1.1940526713600002
ACH-000143,-1.21603781932
ACH-000146,-1.17021306043
ACH-000148,-1.3742484303600002
ACH-000150,-1.18679454483
ACH-000152,-0.746664727752
ACH-000153,-1.56281197592
ACH-000159,-1.4733239955700002
ACH-000160,-1.71771667258
