,XRCC6BP1 (91419)
ACH-000004,-0.0310445350214
ACH-000007,-0.31979365476599997
ACH-000009,-0.332503500113
ACH-000011,-0.410076218293
ACH-000012,-0.36203663286300003
ACH-000013,-0.46509067233
ACH-000014,-0.29346182021699996
ACH-000015,-0.43664796289499996
ACH-000017,-0.496671094778
ACH-000018,-0.276630142909
ACH-000019,-0.23679164664900001
ACH-000021,-0.435386750802
ACH-000022,-0.455639878375
ACH-000025,-0.501864914039
ACH-000028,-0.4835498088600001
ACH-000030,-0.299821648228
ACH-000035,-0.405002288803
ACH-000036,-0.38267609006700004
ACH-000037,-0.757426209047
ACH-000039,-0.09466389211510001
ACH-000040,-0.195456538661
ACH-000041,-0.41841344346799997
ACH-000042,-0.282245376358
ACH-000045,-0.448819308849
ACH-000047,-0.34009636934799997
ACH-000052,-0.217180029384
ACH-000053,-0.25378230080499997
ACH-000054,-0.363390583011
ACH-000055,-0.42963473692299997
ACH-000060,-0.250224395813
ACH-000067,-0.510809360735
ACH-000070,-0.313030852539
ACH-000075,-0.319666190985
ACH-000078,-0.49891081872000004
ACH-000082,-0.800031587508
ACH-000085,-0.425566441836
ACH-000086,-0.37363337044399997
ACH-000087,-0.489986384484
ACH-000092,-0.3129505718
ACH-000095,-0.295964160978
ACH-000097,-0.418018713416
ACH-000098,-0.374936573491
ACH-000099,-0.378362097048
ACH-000108,-0.259975435438
ACH-000113,-0.536101645334
ACH-000115,-0.394011082674
ACH-000116,-0.230423560816
ACH-000118,-0.38245627535
ACH-000120,-0.24316702279199998
ACH-000123,-0.640965174259
ACH-000127,-0.24546551361699998
ACH-000128,-0.619386455848
ACH-000132,-0.208756965324
ACH-000133,-0.5035038799830001
ACH-000137,-0.451092838349
ACH-000138,-0.35002029101899995
ACH-000142,-0.535456051315
ACH-000143,-0.5584840618770001
ACH-000146,-0.395100520308
ACH-000148,-0.46105274347400005
ACH-000150,-0.49361136276900003
ACH-000152,-0.5476644298
ACH-000153,-0.37524745461
ACH-000159,-0.322915948147
ACH-000160,-0.499637609973
ACH-000163,-0.32657866841999994
ACH-000167,-0.45757361919699996
ACH-000168,-0.23708189721700001
ACH-000169,-0.462387998688
ACH-000178,-0.40253313861999995
ACH-000182,-0.47951637262900004
ACH-000183,-0.363770206298
ACH-000188,-0.435463550934
ACH-000189,-0.380181764716
ACH-000190,-0.356790580028
ACH-000198,-0.491035435763
ACH-000204,-0.6593865267979999
ACH-000206,-0.0615505688188
ACH-000207,-0.38611405306
ACH-000211,-0.360963726188
ACH-000215,-0.353678525017
ACH-000221,-0.452437717016
ACH-000222,-0.315800433504
ACH-000223,-0.320186803072
ACH-000226,-0.389429629585
ACH-000227,-0.362083522034
ACH-000228,-0.34083946164000006
ACH-000231,-0.38706149164000003
ACH-000232,-0.45166369728
ACH-000233,-0.42638632310099994
ACH-000234,-0.710633073017
ACH-000235,-0.443790344376
ACH-000237,-0.187951445
ACH-000238,-0.309582501165
ACH-000243,-0.337283909606
ACH-000244,-0.159325104137
ACH-000246,-0.38896945935500005
ACH-000248,-0.399523925015
ACH-000250,-0.34351548423600003
ACH-000251,-0.17110000337099998
ACH-000253,-0.29044134508999997
ACH-000255,-0.301426080064
ACH-000256,-0.23044821513
ACH-000257,-0.326483146617
ACH-000258,0.10593187124299999
ACH-000259,-0.452460339587
ACH-000260,-0.34328698305
ACH-000261,-0.48766860806100004
ACH-000262,-0.42163932430699996
ACH-000263,-0.843503192064
ACH-000264,-0.381805074648
ACH-000265,-0.43859832195
ACH-000266,-0.335011729796
ACH-000272,-0.356511695496
ACH-000273,-0.49863310536300004
ACH-000274,-0.43982907948
ACH-000277,-0.26252467231800003
ACH-000278,-0.292046319637
ACH-000279,-0.38207482898199996
ACH-000280,-0.49089017206200003
ACH-000281,-0.28325751890900003
ACH-000288,-0.471908573656
ACH-000291,-0.447403168177
ACH-000293,-0.5822350547730001
ACH-000294,-0.301797401138
ACH-000295,-0.16943763038100002
ACH-000296,-0.48521983495899995
ACH-000302,-0.283951564892
ACH-000304,-0.242808662078
ACH-000307,-0.413188221179
ACH-000308,-0.40957461784599997
ACH-000310,-0.250121217039
ACH-000311,-0.37340139174500003
ACH-000312,-0.362452402466
ACH-000315,-0.051724909130199996
ACH-000316,-0.43290608395
ACH-000317,-0.251634053208
ACH-000318,-0.420352345789
ACH-000319,-0.184509080986
ACH-000320,-0.21373822717399998
ACH-000322,-0.67398943677
ACH-000323,-0.366834786826
ACH-000324,-0.413729956588
ACH-000329,-0.462902648997
ACH-000330,-0.4385397397
ACH-000331,-0.45214983326
ACH-000332,-0.365347569441
ACH-000334,-0.616214264116
ACH-000335,-0.5430315835849999
ACH-000336,-0.320031329217
ACH-000337,-0.374736317552
ACH-000339,-0.516633161264
ACH-000341,-0.33763896673
ACH-000348,-0.428007149792
ACH-000350,-0.287832862798
ACH-000352,-0.323512613146
ACH-000356,-0.5596103118060001
ACH-000361,-0.598229275749
ACH-000362,-0.5022348382249999
ACH-000363,-0.353612629734
ACH-000364,-0.36995888411
ACH-000365,-0.489187856522
ACH-000366,-0.44527042350100005
ACH-000368,-0.372930430869
ACH-000374,-0.477081515722
ACH-000375,-0.0975661089492
ACH-000376,-0.0869694608595
ACH-000381,-0.193715317368
ACH-000383,-0.335207842737
ACH-000387,-0.28109988786
ACH-000389,-0.186359641653
