,ANP32A (8125)
ACH-000004,-0.200593124979
ACH-000007,-0.177310134963
ACH-000009,-0.321496593341
ACH-000011,-0.0889681653917
ACH-000012,-0.29696601062100003
ACH-000013,-0.26137300661400004
ACH-000014,-0.0007752902299099999
ACH-000015,0.0330527343347
ACH-000017,-0.213833932562
ACH-000018,0.279943999875
ACH-000019,-0.22294666381099998
ACH-000021,-0.0496821860099
ACH-000022,-0.165977951491
ACH-000025,-0.0974764735412
ACH-000028,-0.234365924794
ACH-000030,-0.239084537105
ACH-000035,-0.290850900884
ACH-000036,0.011184740418200001
ACH-000037,-0.127721764375
ACH-000039,-0.147970991425
ACH-000040,0.0935580972648
ACH-000041,-0.297877584949
ACH-000042,-0.22257095915999997
ACH-000045,-0.09713774193800001
ACH-000047,-0.0604234017263
ACH-000052,-0.150259847528
ACH-000053,-0.258217133215
ACH-000054,-0.18691861753199998
ACH-000055,-0.704313691605
ACH-000060,-0.33863897514200003
ACH-000067,-0.13656051439
ACH-000070,-0.15313353219599998
ACH-000075,-0.0584203199156
ACH-000078,-0.129897939835
ACH-000082,-0.174818103418
ACH-000085,-0.291471199779
ACH-000086,-0.0975466172669
ACH-000087,-0.14086506259099998
ACH-000092,-0.193508689174
ACH-000095,-0.20707585224800001
ACH-000097,-0.07176322922969999
ACH-000098,0.0120348256765
ACH-000099,-0.35311263702699996
ACH-000108,-0.135848986642
ACH-000113,-0.305014859792
ACH-000115,-0.498728572552
ACH-000116,-0.175713905327
ACH-000118,-0.203807747755
ACH-000120,-0.249039282041
ACH-000123,-0.216257591229
ACH-000127,-0.119827069516
ACH-000128,-0.18936328475400002
ACH-000132,-0.36292953788599996
ACH-000133,-0.11360774168400001
ACH-000137,-0.09427211196070001
ACH-000138,-0.17636432050200002
ACH-000142,-0.069186659879
ACH-000143,-0.548957329332
ACH-000146,-0.17004559430799998
ACH-000148,-0.0938615701225
ACH-000150,-0.0649547891092
ACH-000152,-0.109123075921
ACH-000153,-0.129090810981
ACH-000159,-0.2216599906
ACH-000160,-0.35677741393600004
ACH-000163,-0.09182546646839998
ACH-000167,-0.263940184403
ACH-000168,-0.138537575159
ACH-000169,-0.29923899022
ACH-000178,-0.108515812467
ACH-000182,-0.27014319089899996
ACH-000183,-0.239955271083
ACH-000188,-0.191578613808
ACH-000189,-0.11494486538200001
ACH-000190,-0.287959522104
ACH-000198,-0.101457473338
ACH-000204,-0.121332979415
ACH-000206,-0.696226021848
ACH-000207,0.0407930240631
ACH-000211,-0.176119610192
ACH-000215,-0.126672940301
ACH-000221,-0.08499941169410001
ACH-000222,-0.00525165612839
ACH-000223,-0.45059064127899995
ACH-000226,-0.38684320449799997
ACH-000227,-0.365272558276
ACH-000228,-0.17523678426300002
ACH-000231,-0.159060447288
ACH-000232,-0.0255783721389
ACH-000233,-0.262764418717
ACH-000234,-0.27613332071999996
ACH-000235,-0.30653684087
ACH-000237,-0.303348104616
ACH-000238,-0.227617769848
ACH-000243,-0.29490820642
ACH-000244,-0.271238283295
ACH-000246,-0.181900768178
ACH-000248,-0.328053665504
ACH-000250,-0.149048244266
ACH-000251,-0.230833060676
ACH-000253,-0.211413273535
ACH-000255,-0.18715931726399998
ACH-000256,-0.179688379022
ACH-000257,-0.0682321907594
ACH-000258,-0.33623664450900004
ACH-000259,-0.152564281325
ACH-000260,-0.170024006381
ACH-000261,-0.19179854301899998
ACH-000262,-0.125316441804
ACH-000263,-0.0760225414738
ACH-000264,-0.18496992954500002
ACH-000265,-0.269250141079
ACH-000266,-0.32800889096999997
ACH-000272,-0.340494539459
ACH-000273,-0.123282890258
ACH-000274,-0.327943436704
ACH-000277,-0.434869629698
ACH-000278,-0.212362942112
ACH-000279,-0.228408764786
ACH-000280,-0.114451206743
ACH-000281,-0.417779584825
ACH-000288,-0.20846765180799998
ACH-000291,-0.083671396183
ACH-000293,-0.285834991241
ACH-000294,-0.20735283270100002
ACH-000295,-0.114011803875
ACH-000296,-0.0537384765283
ACH-000302,-0.360057611501
ACH-000304,-0.32286957806999994
ACH-000307,-0.30972582424899997
ACH-000308,-0.156199837059
ACH-000310,-0.35222049833400004
ACH-000311,-0.7411391528560001
ACH-000312,-0.26235681611
ACH-000315,-0.33568916244900004
ACH-000316,-0.0254978518017
ACH-000317,-0.228241410443
ACH-000318,-0.23403660831599998
ACH-000319,-0.211192909186
ACH-000320,-0.22210686444699998
ACH-000322,-0.042205824086100005
ACH-000323,0.00409896691989
ACH-000324,-0.11957727866699999
ACH-000329,-0.188313982866
ACH-000330,-0.16374456918
ACH-000331,-0.307718196106
ACH-000332,-0.275569202095
ACH-000334,0.140479420222
ACH-000335,-0.573704418548
ACH-000336,-0.181551180414
ACH-000337,-0.5545835575460001
ACH-000339,-0.21635513616399998
ACH-000341,-0.45955126081799996
ACH-000348,-0.0720118498162
ACH-000350,-0.242318964404
ACH-000352,-0.08066476628739999
ACH-000356,0.09188710339810001
ACH-000361,-0.319713483897
ACH-000362,-0.279347566683
ACH-000363,-0.143768382249
ACH-000364,-0.184206939179
ACH-000365,-0.140294191116
ACH-000366,-0.223930466693
ACH-000368,-0.40426542936899995
ACH-000374,-0.200205931564
ACH-000375,0.012533018312999999
ACH-000376,-0.21271289077599997
ACH-000381,-0.29295990776999997
ACH-000383,-0.26685710899099996
ACH-000387,-0.402302854138
ACH-000389,-0.10942144423800002
ACH-000390,-0.260811756472
ACH-000393,-0.217964398091
ACH-000395,-0.11215597330999999
ACH-000397,-0.139002145163
ACH-000401,-0.198136711358
ACH-000402,-0.341190115891
ACH-000403,-0.22684674585499998
ACH-000404,0.050264164230000005
ACH-000406,-0.24354984595600002
ACH-000407,-0.34995241935500004
ACH-000408,-0.0556130032666
ACH-000410,-0.081796898301
ACH-000411,-0.127301400335
ACH-000414,-0.251618144606
ACH-000415,-0.08611552895469998
ACH-000416,-0.154189967919
ACH-000420,-0.155334345054
ACH-000421,-0.128453748228
ACH-000424,-0.18216589219
ACH-000425,-0.167192741255
ACH-000426,0.42295300766099997
ACH-000427,-0.17912172986900002
ACH-000433,-0.193840923707
ACH-000436,-0.314042420968
ACH-000444,-0.265102175627
ACH-000445,-0.0860503284603
ACH-000448,-0.304974869287
ACH-000450,-0.0640491503096
ACH-000452,-0.0342267041049
ACH-000454,-0.398886086058
ACH-000458,0.128788112392
ACH-000459,-0.122053875461
ACH-000460,-0.160399551099
ACH-000461,-0.387160588121
ACH-000463,-0.17637513784400002
ACH-000464,-0.422733813953
ACH-000466,0.0657451262417
ACH-000467,-0.23366200311299998
ACH-000468,-0.14029929589
ACH-000469,-0.065221525209
ACH-000470,-0.318276420198
ACH-000471,-0.0265818244528
ACH-000472,-0.182093919589
ACH-000473,-0.13403464478399998
ACH-000475,-0.06872697542
ACH-000476,-0.229298384027
ACH-000477,0.0202653607599
ACH-000480,-0.429236476348
ACH-000481,-0.407616839219
ACH-000483,-0.277134119816
ACH-000484,-0.324339134182
ACH-000485,-0.230099226985
ACH-000486,-0.285367994913
ACH-000487,-0.232560033338
ACH-000488,-0.1918254474
ACH-000490,-0.163723137851
ACH-000491,-0.29725941884
ACH-000495,-0.34418610057300003
ACH-000496,-0.283090696424
ACH-000499,0.0481029389597
ACH-000500,-0.26961001315
ACH-000502,-0.174064427107
ACH-000503,-0.124539134768
ACH-000505,-0.260973389487
ACH-000507,-0.263112496037
ACH-000510,-0.252713477265
ACH-000511,-0.24583231885499998
ACH-000512,-0.32293799721099997
ACH-000516,-0.252619542456
ACH-000517,-0.29881415006400003
ACH-000518,-0.289726006145
ACH-000520,-0.251391293649
ACH-000521,-0.208432572507
ACH-000522,-0.262545694043
ACH-000524,-0.24494048115400002
ACH-000527,-0.30481208161699996
ACH-000528,-0.315333137984
ACH-000537,-0.164293159849
ACH-000541,-0.333546097494
ACH-000542,-0.34985418513899996
ACH-000544,-0.22016859830899999
ACH-000545,-0.20905866049199998
ACH-000547,-0.105790239019
ACH-000548,-0.207888623025
ACH-000549,-0.109279188575
ACH-000550,-0.17909659657699997
ACH-000552,-0.0335701879663
ACH-000556,-0.111201760547
ACH-000557,-0.298232215986
ACH-000570,-0.129200766114
ACH-000571,-0.178897662694
ACH-000573,-0.0727109586736
ACH-000576,-0.20813311598700002
ACH-000580,0.0665854245422
ACH-000584,-0.178923540039
ACH-000585,-0.10019414826300001
ACH-000588,-0.172247217388
ACH-000589,-0.152198754298
ACH-000591,-0.340746639012
ACH-000593,-0.18221326741799998
ACH-000600,-0.08698789651389999
ACH-000601,-0.310534076396
ACH-000604,-0.151509393242
ACH-000605,-0.0954112959767
ACH-000606,-0.0050947356942200005
ACH-000608,-0.268344541705
ACH-000614,-0.0959702742154
ACH-000616,-0.217057863514
ACH-000618,-0.272266747466
ACH-000619,-0.270240485814
ACH-000620,-0.261330843345
ACH-000621,-0.031824538420099996
ACH-000622,-0.128833463519
ACH-000623,-0.248473300817
ACH-000624,-0.21430200335900002
ACH-000627,-0.186130163361
ACH-000630,-0.176246955018
ACH-000632,-0.202142361595
ACH-000633,-0.142923938844
ACH-000637,-0.159985838252
ACH-000638,-0.19822006063499997
ACH-000646,0.0540005484416
ACH-000647,-0.44022791938
ACH-000648,-0.326564470064
ACH-000649,-0.304293841299
ACH-000651,-0.151290540242
ACH-000652,0.022149936781500002
ACH-000653,-0.319419764862
ACH-000657,-0.124065055627
ACH-000658,-0.18430504685600002
ACH-000661,-0.048662995222500005
ACH-000662,-0.166516898245
ACH-000663,-0.128801062665
ACH-000665,-0.45420177798
ACH-000671,-0.466029389832
ACH-000673,-0.17945804753199998
ACH-000676,-0.184585695217
ACH-000677,-0.196095478325
ACH-000681,-0.193755701651
ACH-000682,-0.265813930791
ACH-000683,-0.319679616733
ACH-000684,-0.110676578569
ACH-000688,-0.18502758914099998
ACH-000693,-0.18279692164099998
ACH-000694,-0.293676237832
