,AGPAT4 (56895)
ACH-000004,-0.316463137744
ACH-000007,0.104381137906
ACH-000009,0.0151847523569
ACH-000011,0.134759131592
ACH-000012,-0.06667626027000001
ACH-000013,0.0113911727486
ACH-000014,-0.13778683741599998
ACH-000015,0.0174439239588
ACH-000017,0.0622285966115
ACH-000018,-0.010075674888200001
ACH-000019,0.0870153310642
ACH-000021,-0.178290571604
ACH-000022,-0.131435270454
ACH-000025,-0.0431122714526
ACH-000028,0.0827572638798
ACH-000030,0.04660156801530001
ACH-000035,0.134955274052
ACH-000036,0.050220147906
ACH-000037,0.284713163985
ACH-000039,-0.266819708373
ACH-000040,-0.0827433972277
ACH-000041,0.0403102023669
ACH-000042,-0.120016517904
ACH-000045,0.0581363564477
ACH-000047,-0.029505980965299997
ACH-000052,-0.0743863200917
ACH-000053,0.037152843995
ACH-000054,-0.067637927563
ACH-000055,-0.187881781102
ACH-000060,-0.113034745584
ACH-000067,0.11546415347899999
ACH-000070,-0.057502627637300005
ACH-000075,0.224961073441
ACH-000078,-0.186824798048
ACH-000082,-0.09716933038429999
ACH-000085,0.09850106314649999
ACH-000086,0.07358221294369999
ACH-000087,-0.105183347808
ACH-000092,-0.123680479621
ACH-000095,-0.08649105716839998
ACH-000097,-0.19666503164299998
ACH-000098,-0.303043344536
ACH-000099,0.06474113474519999
ACH-000108,-0.049731497663199994
ACH-000113,0.0520866834442
ACH-000115,0.169759615179
ACH-000116,-0.00291906328994
ACH-000118,-0.08025044290939999
ACH-000120,-0.0598323472757
ACH-000123,-0.004836663181609999
ACH-000127,-0.0232193251087
ACH-000128,-0.097964277838
ACH-000132,-0.212509376494
ACH-000133,-0.069462450611
ACH-000137,0.05984069674
ACH-000138,0.16473253594
ACH-000142,0.146108191013
ACH-000143,-0.212813937111
ACH-000146,0.021458092508099998
ACH-000148,-0.0421042740391
ACH-000150,0.0350089364569
ACH-000152,0.00318294624282
ACH-000153,-0.114884067735
ACH-000159,0.152160990448
ACH-000160,0.104588138579
ACH-000163,-0.2861314579
ACH-000167,-0.00446940059372
ACH-000168,0.073994695741
ACH-000169,0.158794076746
ACH-000178,-0.118485695872
ACH-000182,0.0344989954719
ACH-000183,0.0530627347525
ACH-000188,-0.00589287408382
ACH-000189,0.276629487896
ACH-000190,-0.121882136415
ACH-000198,-0.08564417096640001
ACH-000204,-0.269588178971
ACH-000206,-0.282524497569
ACH-000207,-0.12354190130300001
ACH-000211,-0.044182762467900004
ACH-000215,-0.00131664336431
ACH-000221,-0.173721297133
ACH-000222,-0.21332759348000002
ACH-000223,0.04500494482009999
ACH-000226,0.12943856887
ACH-000227,0.0156678250157
ACH-000228,-0.05650312552469999
ACH-000231,-0.07303868235330001
ACH-000232,-0.09816823679539999
ACH-000233,-0.0661713518261
ACH-000234,-0.10204866720599999
ACH-000235,0.0137110692048
ACH-000237,0.140796374425
ACH-000238,-0.0280434150277
ACH-000243,0.029293299205
ACH-000244,-0.340454337156
ACH-000246,-0.0337801381671
ACH-000248,-0.0250749241317
ACH-000250,-0.085823211279
ACH-000251,0.0751309729887
ACH-000253,-0.0554727076313
ACH-000255,0.019416295960099996
ACH-000256,-0.05584534574180001
ACH-000257,-0.161132481799
ACH-000258,-0.21973289165100002
ACH-000259,-0.07938767832489999
ACH-000260,0.0188627746208
ACH-000261,-0.087415574981
ACH-000262,-0.0157147558136
ACH-000263,0.36490473142200003
ACH-000264,0.036922207779
ACH-000265,0.0762249380161
ACH-000266,-0.0848127437362
ACH-000272,-0.10909193240999998
ACH-000273,0.09871441090510001
ACH-000274,-0.011658801261100001
ACH-000277,0.141664447127
ACH-000278,0.20334331926899998
ACH-000279,-0.00384329252041
ACH-000280,-0.115450594825
ACH-000281,-0.14181246335
ACH-000288,-0.17319308043499998
ACH-000291,0.0208782977277
ACH-000293,0.0731760632277
ACH-000294,0.109587486823
ACH-000295,-0.278648511417
ACH-000296,0.0730183272355
ACH-000302,-0.0197112570268
ACH-000304,-0.0342761308572
ACH-000307,-0.0470386692698
ACH-000308,-0.0427219577006
ACH-000310,0.044182105937800004
