,MPV17L (255027)
ACH-000004,-0.42488098539
ACH-000007,-0.10793916751299999
ACH-000009,-0.131628168924
ACH-000011,-0.476725769482
ACH-000012,-0.215579874958
ACH-000013,-0.315824439925
ACH-000014,-0.28828296931499997
ACH-000015,-0.370200176844
ACH-000017,-0.250430581161
ACH-000018,-0.40025571924599995
ACH-000019,-0.38023426514499997
ACH-000021,-0.345117589154
ACH-000022,-0.35297016971699996
ACH-000025,-0.446480434824
ACH-000028,-0.0691660176635
ACH-000030,-0.224435718955
ACH-000035,-0.5263831683910001
ACH-000036,-0.161374438741
ACH-000037,-0.272749378589
ACH-000039,-0.24725685496199998
ACH-000040,-0.391254988083
ACH-000041,-0.30248609369
ACH-000042,-0.201801718746
ACH-000045,-0.234253900735
ACH-000047,-0.09325708356000001
ACH-000052,-0.192201067072
ACH-000053,-0.20607792327399999
ACH-000054,-0.272920346886
ACH-000055,-0.179084516662
ACH-000060,-0.16653399105299999
ACH-000067,-0.20964620361900002
ACH-000070,-0.258890332888
ACH-000075,-0.5394180565919999
ACH-000078,-0.21018765406800002
ACH-000082,-0.34840398016999996
ACH-000085,-0.144271915374
ACH-000086,-0.163641592873
ACH-000087,-0.285052790304
ACH-000092,-0.46511128159500004
ACH-000095,-0.302861632777
ACH-000097,-0.146819202999
ACH-000098,-0.37761527738300005
ACH-000099,-0.252651531815
ACH-000108,-0.185771859276
ACH-000113,-0.37424520131899996
ACH-000115,-0.604372367729
ACH-000116,-0.34105669549199996
ACH-000118,-0.290982659421
ACH-000120,-0.164684720557
ACH-000123,-0.312590122455
ACH-000127,-0.439035051371
ACH-000128,-0.185099170776
ACH-000132,-0.44477566068499996
ACH-000133,-0.259508240572
ACH-000137,-0.41875218980800005
ACH-000138,-0.269838914884
ACH-000142,-0.38219940421
ACH-000143,-0.434285901242
ACH-000146,-0.287751583389
ACH-000148,-0.35029958313799997
ACH-000150,-0.382485333628
ACH-000152,-0.208673280711
ACH-000153,-0.36700783559199995
ACH-000159,-0.13859201603000001
ACH-000160,-0.243119194525
ACH-000163,-0.36427942167099997
ACH-000167,-0.303845016163
ACH-000168,-0.476052547838
ACH-000169,-0.191085832795
ACH-000178,-0.336653690036
ACH-000182,-0.174774326847
ACH-000183,-0.45144790489299996
ACH-000188,-0.17689836849100002
ACH-000189,-0.238872136853
ACH-000190,-0.14484787991800002
ACH-000198,-0.279748198542
ACH-000204,-0.437956122543
ACH-000206,-0.10185555193700001
ACH-000207,-0.242136554196
ACH-000211,-0.27424258134
ACH-000215,-0.424197202934
ACH-000221,-0.316014754178
ACH-000222,-0.464077026444
ACH-000223,-0.229997111834
ACH-000226,-0.349985758759
ACH-000227,-0.41886547360200005
ACH-000228,-0.346199328244
ACH-000231,-0.412334812121
ACH-000232,-0.364625166177
ACH-000233,-0.251502928401
ACH-000234,-0.161859161347
ACH-000235,-0.26450192122
ACH-000237,-0.24608978491900002
ACH-000238,-0.0269731053368
ACH-000243,-0.395920905132
ACH-000244,-0.0759684316714
ACH-000246,-0.170888436715
ACH-000248,-0.339452423846
ACH-000250,-0.255132966189
ACH-000251,-0.41144015067100004
ACH-000253,-0.352491157554
ACH-000255,-0.36051244519299996
ACH-000256,-0.203581097269
ACH-000257,-0.09437368048049999
ACH-000258,-0.511184535665
ACH-000259,-0.163178821805
ACH-000260,-0.29553265583599997
ACH-000261,-0.316588684725
ACH-000262,-0.186010692478
ACH-000263,-0.313728897044
ACH-000264,-0.296462581745
ACH-000265,-0.28291541798500003
ACH-000266,-0.352758207359
ACH-000272,-0.045028168751499995
ACH-000273,-0.147448976212
ACH-000274,-0.281612656339
ACH-000277,-0.213213551189
ACH-000278,-0.183021706552
ACH-000279,-0.101418130699
ACH-000280,-0.49187860907
ACH-000281,-0.180768332603
ACH-000288,-0.381829903236
ACH-000291,-0.187033359127
ACH-000293,-0.093154703412
ACH-000294,-0.297247524452
ACH-000295,-0.27596767433
ACH-000296,0.0473981861855
ACH-000302,-0.35579126082699997
ACH-000304,-0.142973317468
ACH-000307,-0.448549554018
ACH-000308,-0.343210028033
ACH-000310,-0.321269232553
ACH-000311,-0.417857207645
ACH-000312,-0.36025391434199994
ACH-000315,-0.259674045061
ACH-000316,-0.197572035363
ACH-000317,-0.282213141404
ACH-000318,-0.278291618404
ACH-000319,-0.36365414753700004
ACH-000320,-0.328517206251
ACH-000322,-0.167606116897
ACH-000323,-0.28069766813499997
ACH-000324,-0.14306433621300002
ACH-000329,-0.34669910647299995
ACH-000330,-0.46995065045400003
ACH-000331,-0.237469960619
ACH-000332,-0.18817886562
ACH-000334,-0.134519225186
ACH-000335,-0.309585628384
ACH-000336,-0.473205786737
ACH-000337,-0.578399023349
ACH-000339,-0.238043698186
ACH-000341,-0.2980773215
ACH-000348,-0.526346386067
ACH-000350,-0.151594094871
ACH-000352,-0.134797030454
ACH-000356,-0.573786777352
ACH-000361,-0.301616429247
ACH-000362,-0.313724683169
ACH-000363,-0.223689625036
ACH-000364,-0.17557651348499997
ACH-000365,-0.219036596953
ACH-000366,-0.213567477398
ACH-000368,-0.382551477053
ACH-000374,-0.310769457718
ACH-000375,-0.248881216135
ACH-000376,-0.254618300948
ACH-000381,-0.221711453122
ACH-000383,-0.17739865647599998
ACH-000387,-0.23364199397
ACH-000389,-0.221394665647
ACH-000390,-0.166889380191
ACH-000393,-0.136400729468
ACH-000395,0.130705677983
ACH-000397,-0.298728792553
ACH-000401,-0.35524397512199996
ACH-000402,-0.32518273203299997
ACH-000403,-0.278961727675
ACH-000404,-0.282871619403
ACH-000406,-0.162137647393
ACH-000407,-0.361916723186
ACH-000408,-0.243341773131
ACH-000410,-0.214014890459
ACH-000411,-0.057429554941300004
ACH-000414,-0.18835894438
ACH-000415,-0.39897006943
ACH-000416,-0.32228709239799996
ACH-000420,-0.382898440197
ACH-000421,-0.269394387205
ACH-000424,-0.42081835839599996
ACH-000425,-0.23650621859499998
ACH-000426,-0.400929627367
ACH-000427,-0.35941232515199995
ACH-000433,-0.14395616453600002
ACH-000436,-0.659416051011
ACH-000444,-0.291597736263
ACH-000445,-0.439892326369
ACH-000448,-0.147978183126
ACH-000450,-0.117245541032
ACH-000452,-0.421529563082
ACH-000454,-0.353867855841
ACH-000458,-0.275557695928
ACH-000459,0.106134400935
ACH-000460,-0.301025830969
ACH-000461,-0.313855619887
ACH-000463,-0.425724365678
ACH-000464,-0.225312891283
ACH-000466,-0.4219422515
ACH-000467,-0.120329475522
ACH-000468,-0.26530795866
ACH-000469,-0.06302162238
ACH-000470,0.0349095956745
ACH-000471,-0.34442747470799995
ACH-000472,-0.320403656749
ACH-000473,-0.324249965894
ACH-000475,-0.334519292716
ACH-000476,-0.308363418537
ACH-000477,-0.491051848789
ACH-000480,-0.441698790353
ACH-000481,-0.240167266244
ACH-000483,-0.46638329818999996
ACH-000484,-0.338413548191
ACH-000485,-0.058549135806
ACH-000486,-0.327397805867
ACH-000487,-0.217261406897
ACH-000488,-0.168397390678
ACH-000490,-0.34009685929600003
ACH-000491,-0.517070793499
ACH-000495,-0.504337797499
ACH-000496,-0.467954307088
ACH-000499,-0.0260651819815
ACH-000500,0.28750262511
ACH-000502,-0.18189810031
ACH-000503,-0.18434211665300002
ACH-000505,-0.32859436249400004
ACH-000507,-0.466153058901
ACH-000510,-0.41358318969499996
ACH-000511,-0.15250278670999998
ACH-000512,-0.125956882884
ACH-000516,-0.425863529089
ACH-000517,-0.275420824192
ACH-000518,-0.245646145618
ACH-000520,-0.434775746328
ACH-000521,-0.23577629171199999
ACH-000522,-0.366184457865
ACH-000524,-0.178257785582
ACH-000527,-0.232582687006
ACH-000528,-0.187063428601
ACH-000537,-0.37507327269100005
ACH-000541,-0.500319558684
ACH-000542,-0.28040560366399997
ACH-000544,-0.198454193008
ACH-000545,-0.055068695254300006
ACH-000547,-0.281215973954
ACH-000548,-0.269555145601
ACH-000549,-0.233466468791
ACH-000550,-0.21574681647100002
ACH-000552,-0.254021947377
ACH-000556,-0.286252579
ACH-000557,-0.24194777448199997
ACH-000570,-0.283771112343
ACH-000571,-0.290899210677
ACH-000573,-0.020146978539099997
ACH-000576,-0.289075226815
ACH-000580,-0.159629043078
ACH-000584,-0.271696575034
ACH-000585,-0.36306341036399997
ACH-000588,-0.197427490633
ACH-000589,-0.175240351077
ACH-000591,-0.382690447478
ACH-000593,-0.231271988773
ACH-000600,-0.302445384952
ACH-000601,-0.34449842373899997
ACH-000604,-0.19504480962600002
ACH-000605,-0.43523715987800005
ACH-000606,-0.340120098797
ACH-000608,-0.136794229254
ACH-000614,-0.087410475412
ACH-000616,-0.259795299043
ACH-000618,-0.370982459668
ACH-000619,-0.206052209159
ACH-000620,-0.36274865355400004
ACH-000621,-0.287136118832
ACH-000622,-0.32547843294100004
ACH-000623,-0.232856512348
ACH-000624,-0.365431858643
ACH-000627,-0.016952314638200003
ACH-000630,-0.35927700423500003
ACH-000632,-0.46590370686300003
ACH-000633,-0.11358497897299999
ACH-000637,-0.292882592445
ACH-000638,-0.314717213329
ACH-000646,-0.610457660273
ACH-000647,-0.312208765761
ACH-000648,-0.213075061063
ACH-000649,-0.198013003259
ACH-000651,-0.23125396980300003
ACH-000652,-0.27065283500799997
ACH-000653,-0.233654288045
ACH-000657,-0.318525211577
ACH-000658,-0.36953821572800005
ACH-000661,-0.113142727141
ACH-000662,-0.0338696688232
ACH-000663,-0.0872269762479
ACH-000665,-0.109386333709
ACH-000671,-0.37132764155000003
ACH-000673,-0.359321587826
ACH-000676,-0.24412905757199999
ACH-000677,-0.201018653567
