,NMD3 (51068)
ACH-000004,-1.15491383911
ACH-000007,-1.3502337637900002
ACH-000009,-1.4327395317299998
ACH-000011,-1.1287594648700001
ACH-000012,-1.21959851392
ACH-000013,-0.9495323433849999
ACH-000014,-1.1913393348
ACH-000015,-1.2982067271700002
ACH-000017,-0.913067173617
ACH-000018,-1.31565651389
ACH-000019,-0.9997092493899999
ACH-000021,-1.51721405713
ACH-000022,-1.18253110535
ACH-000025,-1.1313848299200002
ACH-000028,-1.21927431822
ACH-000030,-1.05516047789
ACH-000035,-1.34170853933
ACH-000036,-1.2365228054700002
ACH-000037,-1.89849017102
ACH-000039,-1.19548025063
ACH-000040,-1.21296226469
ACH-000041,-1.48141191694
ACH-000042,-1.23870098281
ACH-000045,-1.17872120055
ACH-000047,-1.11710747141
ACH-000052,-1.62319501621
ACH-000053,-1.3689207511300001
ACH-000054,-1.1105547502
ACH-000055,-1.21442986955
ACH-000060,-1.10847486216
ACH-000067,-1.34192775975
ACH-000070,-0.983719955716
ACH-000075,-1.4462350170700002
ACH-000078,-1.62997251551
ACH-000082,-1.34013384158
ACH-000085,-1.18331254847
ACH-000086,-1.33788799198
ACH-000087,-1.19723228576
ACH-000092,-1.1493955794
ACH-000095,-1.3834532537600002
ACH-000097,-1.2725422447799999
ACH-000098,-1.1062683145799999
ACH-000099,-1.62525510903
ACH-000108,-1.3795150793200002
ACH-000113,-0.959438808458
ACH-000115,-1.31764178661
ACH-000116,-0.9805929002600001
ACH-000118,-1.1968090980600001
ACH-000120,-1.33121263885
ACH-000123,-1.2297127886499999
ACH-000127,-1.46370392921
ACH-000128,-1.31963674662
ACH-000132,-0.9512928645090001
ACH-000133,-1.23585009963
ACH-000137,-1.24784269059
ACH-000138,-1.26215261695
ACH-000142,-1.18770729658
ACH-000143,-1.14809921059
ACH-000146,-1.3100127245200002
ACH-000148,-1.2463346330399998
ACH-000150,-1.2855960734
ACH-000152,-1.45223675439
ACH-000153,-1.12979031369
ACH-000159,-1.35895938613
ACH-000160,-1.32198425754
ACH-000163,-1.28261387192
ACH-000167,-1.27485058994
ACH-000168,-1.08640454947
ACH-000169,-1.30864074702
ACH-000178,-1.23698513241
ACH-000182,-0.9323726674799999
ACH-000183,-1.21817116713
ACH-000188,-0.954994362005
ACH-000189,-1.26923584109
ACH-000190,-1.36122898769
ACH-000198,-1.0687620671100002
ACH-000204,-1.1384509525
ACH-000206,-1.24373848973
ACH-000207,-1.12600159091
ACH-000211,-1.07316871989
ACH-000215,-1.3146283730600001
ACH-000221,-1.3847064957
ACH-000222,-1.45907079054
ACH-000223,-1.1129839416399998
