,CTSH (1512)
ACH-000004,-0.128524436834
ACH-000007,-0.162824504391
ACH-000009,-0.17591708473700002
ACH-000011,-0.145005156538
ACH-000012,-0.0653096394155
ACH-000013,-0.207539578206
ACH-000014,-0.10501538951099999
ACH-000015,-0.263889561847
ACH-000017,-0.186617422585
ACH-000018,-0.376767483826
ACH-000019,0.011951949713399999
ACH-000021,-0.164141766722
ACH-000022,-0.21732341317099999
ACH-000025,-0.258979222987
ACH-000028,-0.16247381842800002
ACH-000030,-0.156874733475
ACH-000035,-0.18231311225400001
ACH-000036,-0.273559204795
ACH-000037,-0.12296618259299999
ACH-000039,-0.32194379216499996
ACH-000040,-0.20323059183699999
ACH-000041,-0.278689991721
ACH-000042,-0.086758359201
ACH-000045,-0.147071732767
ACH-000047,-0.16226270096200002
ACH-000052,0.181477622649
ACH-000053,-0.308262011026
ACH-000054,-0.19901689258699998
ACH-000055,-0.1206408717
ACH-000060,-0.0552846029198
ACH-000067,-0.214868138569
ACH-000070,0.015122686502700001
ACH-000075,-0.0943688571205
ACH-000078,-0.364932110169
ACH-000082,-0.283153045133
ACH-000085,-0.11673238558499999
ACH-000086,-0.145823436505
ACH-000087,0.0344844343753
ACH-000092,-0.291186097399
ACH-000095,-0.13326828748199998
ACH-000097,-0.198033217457
ACH-000098,-0.251381894685
ACH-000099,-0.38962313173600005
ACH-000108,-0.150597577914
ACH-000113,-0.193666898679
ACH-000115,-0.313445980111
ACH-000116,-0.304504944536
ACH-000118,-0.113299753017
ACH-000120,-0.438990101929
ACH-000123,-0.24734919997
ACH-000127,-0.188932465946
ACH-000128,-0.17105014317899997
ACH-000132,-0.297009013294
ACH-000133,-0.18488574322299997
ACH-000137,-0.134906563556
ACH-000138,-0.088001180491
ACH-000142,-0.20714812680599998
ACH-000143,-0.221662213706
ACH-000146,-0.0637285352601
ACH-000148,-0.11479692223200001
ACH-000150,-0.238177851763
ACH-000152,-0.09272226191619999
ACH-000153,-0.217958396392
ACH-000159,-0.221955633814
ACH-000160,-0.235179805934
ACH-000163,-0.195128743707
ACH-000167,-0.20473787230700002
ACH-000168,-0.0404056825385
ACH-000169,-0.0809250824717
ACH-000178,-0.277202982641
ACH-000182,-0.0719128765856
ACH-000183,-0.198266415167
ACH-000188,0.0134515768508
ACH-000189,-0.0455626753875
ACH-000190,0.282877449663
ACH-000198,-0.172089408162
ACH-000204,0.0420412373056
ACH-000206,-0.35012851196
ACH-000207,-0.0030380809966
ACH-000211,-0.200019011331
ACH-000215,-0.126858418463
ACH-000221,-0.15789899179199998
ACH-000222,-0.362873460665
ACH-000223,-0.09366245597930001
ACH-000226,-0.17465506323399999
ACH-000227,-0.287741793532
ACH-000228,-0.00645681621286
ACH-000231,-0.0507639743204
ACH-000232,-0.232025728499
ACH-000233,-0.0661478945905
ACH-000234,-0.0643545616302
ACH-000235,-0.163519001894
ACH-000237,-0.230410882087
ACH-000238,-0.102455892753
ACH-000243,-0.142970617359
ACH-000244,0.143479093226
ACH-000246,-0.161592143687
ACH-000248,-0.231959382421
ACH-000250,-0.22928495194899998
ACH-000251,-0.16391812065199998
ACH-000253,-0.084852509054
ACH-000255,-0.22643277469700002
ACH-000256,0.026252916055499998
ACH-000257,0.109318327775
ACH-000258,-0.281880258531
ACH-000259,-0.11621061232100001
ACH-000260,-0.176680661702
ACH-000261,-0.170677961668
ACH-000262,0.13731304437
ACH-000263,-0.050050001662499996
ACH-000264,-0.212108763297
ACH-000265,-0.298288273803
