,CSTF2T (23283)
ACH-000004,0.08657848041110001
ACH-000007,-0.125278556333
ACH-000009,0.0640348571074
ACH-000011,0.133725609563
ACH-000012,0.102422383807
ACH-000013,-0.0184220794896
ACH-000014,-0.029631253689799998
ACH-000015,-0.06557546615860001
ACH-000017,0.102709808894
ACH-000018,0.14686703666
ACH-000019,-0.08500612817669999
ACH-000021,0.0596999499518
ACH-000022,0.0616781811505
ACH-000025,-0.156322294675
ACH-000028,0.0728734990718
ACH-000030,-0.11120722327400001
ACH-000035,0.00556270154361
ACH-000036,-0.0265014966095
ACH-000037,0.12899524634600001
ACH-000039,-0.0184815541313
ACH-000040,0.0317734060867
ACH-000041,-0.077821809134
ACH-000042,0.089155159119
ACH-000045,-0.747778384462
ACH-000047,0.20067534941
ACH-000052,-0.0168205694041
ACH-000053,-0.041600908158300004
ACH-000054,-0.0411531942401
ACH-000055,0.147631347677
ACH-000060,0.0952673922119
ACH-000067,-0.010672113879799999
ACH-000070,-0.427801411787
ACH-000075,-0.08854901712169999
ACH-000078,0.12320315556900001
ACH-000082,-0.147968395971
ACH-000085,0.00648339547513
ACH-000086,-0.0254963372431
ACH-000087,-0.17969914132599998
ACH-000092,-0.017988726503800002
ACH-000095,-0.09494817863489999
ACH-000097,0.0748143550194
ACH-000098,0.0473825835128
ACH-000099,-0.178052314417
ACH-000108,0.0304791003837
ACH-000113,0.087675881677
ACH-000115,-0.356708760237
ACH-000116,-0.026176586434900003
ACH-000118,0.0537236982027
ACH-000120,-0.0209065987262
ACH-000123,-0.0389274283327
ACH-000127,0.0100847157491
ACH-000128,0.09066655684080001
ACH-000132,-0.054994105390499995
ACH-000133,-0.0698013714257
ACH-000137,-0.054309521282699995
ACH-000138,0.116214933541
ACH-000142,0.178542359735
ACH-000143,0.0428622474709
ACH-000146,0.11651067535199999
ACH-000148,-0.187725202693
ACH-000150,0.24782573618
ACH-000152,-0.056067446535599995
ACH-000153,-0.0032209998611
ACH-000159,0.08275797252139999
ACH-000160,-0.07700134305510001
ACH-000163,-0.113086615488
ACH-000167,0.181151099178
ACH-000168,-0.11560880525900001
ACH-000169,-0.274383174517
ACH-000178,0.0875862830139
ACH-000182,-0.043483756043499994
ACH-000183,-0.0650965406637
ACH-000188,0.08233765064899999
ACH-000189,0.0399875725636
ACH-000190,-0.0323171952116
ACH-000198,-0.7058235253440001
ACH-000204,0.19559445953
ACH-000206,-0.021627633153099998
ACH-000207,-0.23034504426600003
ACH-000211,-0.00377098217451
ACH-000215,0.0960360721656
ACH-000221,0.0481160409458
ACH-000222,0.0204244107842
ACH-000223,-0.0027708104650500005
ACH-000226,-0.0470763926352
ACH-000227,-0.0655578288991
ACH-000228,-0.10499556022399999
ACH-000231,0.066863188384
ACH-000232,-0.130905722941
ACH-000233,-0.0100024805282
ACH-000234,0.140781286337
ACH-000235,-0.030258551762200003
ACH-000237,0.07427289632289999
ACH-000238,0.0236209477861
ACH-000243,0.036581861913199995
ACH-000244,-0.146143429278
ACH-000246,-0.0660000282934
ACH-000248,0.0350088666157
ACH-000250,-0.07675439565610001
ACH-000251,0.20397878227000002
ACH-000253,0.07147096816080001
ACH-000255,0.12346083671599999
ACH-000256,-0.078405286011
ACH-000257,-0.245821392465
ACH-000258,-0.517597081172
ACH-000259,0.08160823605419999
ACH-000260,-0.0901874613204
ACH-000261,-0.0926753880029
ACH-000262,-0.0430466515065
ACH-000263,0.49586054713100003
ACH-000264,-0.054999958609800004
ACH-000265,-0.0732308882757
ACH-000266,0.08167376151330001
ACH-000272,0.087164078437
ACH-000273,0.17779186054200002
ACH-000274,0.123587419847
ACH-000277,0.114377866541
ACH-000278,0.0778791617041
ACH-000279,-0.046472865494599995
ACH-000280,0.078317424835
ACH-000281,0.090214728794
ACH-000288,0.129170334336
ACH-000291,-0.103383994037
ACH-000293,-0.125013885921
